Date,Open,High,Low,Close,Volume
2017-03-23,224.37,224.85,223.83,223.83,133.0
2017-03-24,224.46,224.76,224.24,224.24,466.0
2017-03-27,224.11,225.3,224.11,224.22,512.0
2017-03-28,224.56,224.86,224.55,224.55,242.0
2017-03-29,224.84,225.27,224.84,224.91,1503.0
2017-03-30,224.91,225.03,224.72,224.89,547.0
2017-03-31,224.67,225.09,224.62,224.62,1582.0
2017-04-03,225.03,225.79,225.03,225.03,232.0
2017-04-04,225.62,225.82,225.01,225.01,954.0
2017-04-05,225.59,225.59,225.04,225.04,364.0
2017-04-06,225.25,225.48,224.98,224.98,6443.0
2017-04-07,225.74,225.87,225.06,225.06,622.0
2017-04-10,225.08,225.7,225.08,225.25,1939.0
2017-04-11,225.71,225.99,225.31,225.31,924.0
2017-04-12,226.02,226.09,225.61,225.61,418.0
2017-04-13,226.53,226.71,225.97,225.97,655.0
2017-04-18,226.12,226.99,226.12,226.34,116.0
2017-04-19,226.97,226.97,226.23,226.23,163.0
2017-04-20,226.91,226.91,226.13,226.13,511.0
2017-04-21,226.27,226.68,226.19,226.19,299.0
2017-04-24,226.23,226.24,225.9,225.94,641.0
2017-04-25,225.98,226.28,225.31,225.31,362.0
2017-04-26,226.04,226.12,225.3,225.44,164.0
2017-04-27,226.03,226.03,225.56,225.56,85.0
2017-04-28,226.13,226.16,225.39,225.39,1687.0
2017-05-02,225.36,225.82,225.2,225.41,7368.0
2017-05-03,225.88,226.28,225.44,225.6,1832.0
2017-05-04,225.88,225.88,224.94,224.94,638.0
2017-05-05,225.96,225.96,225.22,225.22,56.0
2017-05-08,225.23,226.07,224.78,224.88,906.0
2017-05-09,224.86,225.22,224.49,224.63,835.0
2017-05-10,225.01,225.54,224.74,224.74,398.0
2017-05-11,224.78,224.91,224.32,224.41,172.0
2017-05-12,225.11,225.11,224.59,225.04,104.0
2017-05-15,225.69,225.69,224.38,224.38,2019.0
2017-05-16,225.07,225.12,224.37,224.41,765.0
2017-05-17,225.41,226.33,225.41,225.55,567.0
2017-05-18,226.13,226.35,225.25,225.25,507.0
2017-05-19,225.83,225.83,225.83,225.83,0.0
2017-05-22,226.36,226.36,225.47,225.47,136.0
2017-05-23,226.21,226.27,225.51,225.51,297.0
2017-05-24,225.42,226.04,225.37,225.37,233.0
2017-05-25,225.9,225.94,225.9,225.94,5.0
2017-05-26,225.94,226.65,225.2,226.08,730.0
2017-05-29,226.49,226.49,224.955,225.99,2108.0
2017-05-30,226.745,226.75,226.0,226.22,1875.0
2017-05-31,226.67,226.86,225.84,225.84,281.0
2017-06-01,225.9,225.9,225.9,225.9,0.0
2017-06-02,226.85,226.85,225.45,225.45,125.0
2017-06-06,226.9,226.99,226.05,226.99,270.0
2017-06-07,226.88,227.17,226.38,226.41,96.0
2017-06-08,226.0,226.535,225.87,226.06,370.0
2017-06-09,226.47,226.48,226.05,226.12,360.0
2017-06-12,226.81,226.81,226.05,226.26,412.0
2017-06-13,226.26,226.81,226.26,226.33,29.0
2017-06-14,227.09,227.8,226.52,227.8,161.0
2017-06-15,227.145,227.86,226.71,226.71,575.0
2017-06-16,226.74,227.04,226.31,227.04,578.0
2017-06-19,227.2,227.38,226.46,226.68,478.0
2017-06-20,226.71,227.2,226.52,226.82,724.0
2017-06-21,227.37,227.85,226.9,227.07,356.0
2017-06-22,227.12,227.89,227.03,227.03,65.0
2017-06-23,227.25,227.77,227.02,227.22,2638.0
2017-06-26,227.03,227.07,227.03,227.07,3.0
2017-06-27,228.16,228.16,226.16,226.16,31.0
2017-06-28,226.13,226.78,226.01,226.42,1080.0
2017-06-29,226.605,226.65,224.97,225.46,409.0
2017-06-30,225.57,226.0,224.83,224.83,153.0
2017-07-03,225.615,225.84,224.57,224.57,414.0
2017-07-04,225.66,225.66,224.66,224.66,281.0
2017-07-05,225.4,225.65,224.89,224.89,681.0
2017-07-06,225.6,225.6,223.99,223.99,1625.0
2017-07-07,224.52,224.52,224.0,224.0,12.0
2017-07-10,223.71,225.03,223.71,224.19,328.0
2017-07-11,224.68,224.68,224.08,224.11,58.0
2017-07-12,224.82,225.2,224.58,224.58,501.0
2017-07-13,225.23,225.23,224.58,224.59,195.0
2017-07-14,224.35,225.37,224.33,224.45,170.0
2017-07-17,224.82,225.3,224.58,224.58,814.0
2017-07-18,224.57,225.51,224.57,225.44,235.0
2017-07-19,225.23,225.8,225.13,225.13,1469.0
2017-07-20,225.72,225.77,224.89,225.02,1372.0
2017-07-21,225.92,225.92,224.99,225.4,147.0
2017-07-24,226.08,226.08,225.02,225.02,10974.0
2017-07-25,225.48,225.49,224.38,224.38,2669.0
2017-07-26,224.17,225.44,224.16,224.5,469.0
2017-07-27,225.38,225.38,224.8,224.8,132.0
2017-07-28,224.56,224.56,224.51,224.51,4.0
2017-07-31,225.74,225.74,225.02,225.02,16.0
2017-08-01,225.52,225.92,225.52,225.59,261.0
2017-08-02,225.95,225.95,225.63,225.63,410.0
2017-08-03,225.2,226.33,225.2,225.76,406.0
2017-08-04,226.6,226.6,225.5,225.5,354.0
2017-08-07,225.71,226.16,225.47,225.47,114.0
2017-08-08,225.77,225.77,225.53,225.53,8.0
2017-08-09,226.38,226.38,226.04,226.15,202.0
2017-08-10,226.29,226.76,226.29,226.52,128.0
2017-08-11,226.61,227.36,226.3,226.3,142.0
2017-08-14,226.8,227.5,225.06,226.12,1823.0
2017-08-15,226.2,226.28,225.23,225.86,5755.0
2017-08-16,225.88,226.7,225.45,226.01,810.0
2017-08-17,226.47,226.68,226.15,226.15,469.0
2017-08-18,226.92,226.97,226.33,226.33,454.0
2017-08-21,226.81,227.19,226.25,226.25,562.0
2017-08-22,226.91,226.94,226.06,226.06,94.0
2017-08-23,226.7,226.99,226.59,226.59,117.0
2017-08-24,226.92,227.06,226.22,226.22,232.0
2017-08-25,226.21,226.64,226.14,226.41,140.0
2017-08-28,226.37,227.06,226.37,226.48,358.0
2017-08-29,226.26,227.44,226.26,227.08,524.0
2017-08-30,226.37,227.49,226.37,226.49,54.0
2017-08-31,226.77,227.28,226.77,226.83,322.0
2017-09-01,227.12,227.13,226.43,226.43,17.0
2017-09-04,227.785,227.96,226.62,226.62,494.0
2017-09-05,227.36,227.66,227.06,227.5,299.0
2017-09-06,227.98,227.98,227.15,227.15,31.0
2017-09-07,227.83,228.62,227.63,227.63,58.0
2017-09-08,227.89,228.74,227.37,227.37,136.0
2017-09-11,227.385,228.46,226.91,226.91,489.0
2017-09-12,227.36,228.03,226.41,226.41,516.0
2017-09-13,226.73,226.85,225.74,226.34,363.0
2017-09-14,226.6,226.74,225.94,225.94,351.0
2017-09-15,226.04,226.91,225.05,225.9,1624.0
2017-09-18,226.78,226.78,224.8,225.43,664.0
2017-09-19,225.91,225.91,225.28,225.28,12.0
2017-09-20,226.11,226.92,224.86,225.59,617.0
2017-09-21,225.36,225.85,224.51,225.03,5203.0
2017-09-22,225.59,225.6,225.2,225.2,418.0
2017-09-25,225.65,226.01,225.62,225.83,31.0
2017-09-26,226.2,227.17,224.88,225.35,635.0
2017-09-27,225.0,225.53,223.86,225.06,1301.0
2017-09-28,225.9,225.9,224.93,225.15,443.0
2017-09-29,225.3,225.84,225.3,225.37,253.0
2017-10-02,225.1,226.66,224.89,224.89,719.0
2017-10-04,225.3,225.46,224.23,224.49,2171.0
2017-10-05,224.84,225.7,224.56,224.56,1053.0
2017-10-06,224.75,225.34,224.57,224.66,365.0
2017-10-09,225.365,225.365,224.45,224.72,153.0
2017-10-10,225.09,225.66,224.95,225.08,1523.0
2017-10-11,224.94,225.35,224.79,224.79,425.0
2017-10-12,225.42,225.42,224.87,224.87,55.0
2017-10-13,225.08,226.03,224.33,225.4,1231.0
2017-10-16,225.54,226.03,225.54,225.57,887.0
2017-10-17,225.9,226.31,225.78,225.78,90.0
2017-10-18,226.26,226.26,225.56,225.56,74.0
2017-10-19,225.85,226.07,225.34,225.34,262.0
2017-10-20,225.5,225.59,224.97,225.09,711.0
2017-10-23,225.69,225.69,224.82,225.22,991.0
2017-10-24,226.0,226.0,224.63,224.88,597.0
2017-10-25,224.86,225.87,224.45,224.52,760.0
2017-10-26,224.35,225.56,224.35,225.0,188.0
2017-10-27,225.01,225.54,224.1,225.33,423.0
2017-10-30,225.29,226.08,224.43,224.43,767.0
2017-11-01,225.5,226.07,224.66,225.63,160.0
2017-11-02,226.72,226.72,225.89,225.95,218.0
2017-11-03,226.32,226.87,226.03,226.23,488.0
2017-11-06,227.74,227.74,226.18,226.18,984.0
2017-11-07,226.83,227.49,226.48,226.48,465.0
2017-11-08,227.09,227.32,226.47,226.47,1336.0
2017-11-09,226.95,226.95,226.0,226.0,334.0
2017-11-10,226.2,227.32,225.71,225.82,6684.0
2017-11-13,225.76,226.69,224.71,225.43,2879.0
2017-11-14,225.78,227.08,224.7,225.84,6444.0
2017-11-15,226.27,226.45,225.78,225.78,173.0
2017-11-16,226.4,226.4,225.7,225.7,130.0
2017-11-17,225.92,226.7,225.92,226.09,490.0
2017-11-20,226.77,226.77,225.81,225.81,224.0
2017-11-21,226.75,226.92,226.12,226.12,1279.0
2017-11-22,226.56,226.8,226.39,226.49,155.0
2017-11-23,226.63,227.0,226.47,226.47,675.0
2017-11-24,226.37,226.8,226.28,226.28,217.0
2017-11-27,226.97,226.97,226.05,226.35,234.0
2017-11-28,226.69,226.69,226.25,226.25,131.0
2017-11-29,226.48,226.75,225.93,226.0,3358.0
2017-11-30,226.05,226.54,225.8,225.91,279.0
2017-12-01,226.86,227.71,226.45,226.45,259.0
2017-12-04,226.95,227.22,226.32,226.32,1637.0
2017-12-05,226.9,227.14,226.31,226.31,2317.0
2017-12-06,225.73,227.31,225.73,226.81,400.0
2017-12-07,226.96,226.96,226.73,226.73,102.0
2017-12-08,228.01,228.01,226.52,226.52,2298.0
2017-12-11,225.95,227.22,225.95,226.69,162.0
2017-12-12,227.11,227.11,226.4,226.4,269.0
2017-12-13,226.88,226.91,226.21,226.37,868.0
2017-12-14,226.2,226.94,226.2,226.78,648.0
2017-12-15,227.15,227.41,226.63,226.63,163.0
2017-12-18,226.64,228.05,226.635,226.75,1789.0
2017-12-19,228.0,228.0,225.7,225.7,1035.0
2017-12-20,227.09,227.09,225.15,225.25,210.0
2017-12-21,225.65,225.8,225.61,225.62,5336.0
2017-12-22,225.57,226.78,225.21,225.21,2043.0
2017-12-27,225.88,226.94,225.38,225.77,432.0
2017-12-28,226.0,226.03,225.46,225.46,81.0
2017-12-29,226.91,226.91,225.64,225.64,3.0
2018-01-02,226.75,226.75,224.55,224.55,661.0
2018-01-03,225.34,225.74,225.16,225.16,365.0
2018-01-04,225.2,225.45,224.95,225.07,2030.0
2018-01-05,225.53,226.44,224.87,224.87,174.0
2018-01-08,225.56,225.8,225.16,225.16,1334.0
2018-01-09,225.145,225.4,224.38,224.38,1444.0
2018-01-10,224.76,224.76,224.18,224.18,4326.0
2018-01-11,225.25,225.25,224.08,224.08,188.0
2018-01-12,224.54,224.54,224.14,224.42,757.0
2018-01-15,224.85,224.9,224.34,224.36,602.0
2018-01-16,225.09,225.1,224.52,224.52,1162.0
2018-01-17,224.85,224.96,224.38,224.38,109.0
2018-01-18,224.18,224.71,224.01,224.1,3361.0
2018-01-19,224.36,224.71,224.1,224.1,3455.0
2018-01-22,224.75,225.53,224.1,224.1,26649.0
2018-01-23,224.82,224.89,224.38,224.38,2402.0
2018-01-24,224.57,224.57,223.92,223.92,515.0
2018-01-25,224.54,224.54,223.66,223.66,1095.0
2018-01-26,224.32,224.46,223.8,223.8,1817.0
2018-01-29,223.61,223.75,223.4,223.4,646.0
2018-01-30,223.63,223.815,223.06,223.06,1452.0
2018-01-31,223.72,223.99,222.96,222.96,424.0
2018-02-01,223.44,223.5,222.9,222.9,494.0
2018-02-02,222.48,223.27,222.48,222.82,705.0
2018-02-05,221.81,223.18,221.81,223.02,2428.0
2018-02-06,223.34,224.04,222.6,222.6,2115.0
2018-02-07,222.25,223.92,222.25,222.88,1127.0
2018-02-08,223.1,223.1,222.36,222.36,2811.0
2018-02-09,223.04,223.15,222.52,222.52,2371.0
2018-02-12,222.47,223.02,222.44,222.44,305.0
2018-02-13,223.27,223.27,222.42,222.42,2744.0
2018-02-14,222.76,222.76,221.96,221.96,169.0
2018-02-15,222.53,222.71,222.02,222.02,1181.0
2018-02-16,223.29,223.92,222.18,222.68,1413.0
2018-02-19,222.52,222.92,221.72,221.72,1459.0
2018-02-20,222.69,222.89,222.11,222.32,7565.0
2018-02-21,222.89,222.99,222.12,222.12,775.0
2018-02-22,222.66,222.86,222.3,222.3,272.0
2018-02-23,222.65,223.1,222.6,222.6,3252.0
2018-02-26,223.53,223.77,222.9,222.9,2067.0
2018-02-27,222.85,223.24,222.32,222.32,2090.0
2018-02-28,222.19,223.21,222.19,222.7,3342.0
2018-03-01,222.86,223.79,222.86,223.38,783.0
2018-03-02,224.14,224.14,222.9,222.9,573.0
2018-03-05,224.2,224.2,222.8,222.8,911.0
2018-03-06,223.21,223.42,222.78,222.78,1272.0
2018-03-07,223.79,223.79,222.81,222.82,5312.0
2018-03-08,223.42,223.93,223.21,223.24,1530.0
2018-03-09,223.29,223.58,222.9,222.9,1441.0
2018-03-12,222.9,223.76,222.9,223.1,351.0
2018-03-13,223.22,223.79,223.22,223.4,1051.0
2018-03-14,224.04,224.37,223.7,223.86,179.0
2018-03-15,224.33,224.39,223.74,223.78,1706.0
2018-03-16,224.74,224.74,223.8,223.8,552.0
2018-03-19,224.46,224.46,223.86,223.94,313.0
2018-03-20,223.61,224.33,223.34,223.34,476.0
2018-03-21,224.07,224.2,223.62,223.62,546.0
2018-03-22,223.86,225.18,223.84,224.58,98.0
2018-03-23,224.42,224.83,224.42,224.52,90.0
2018-03-26,224.78,224.78,224.22,224.24,232.0
2018-03-27,225.09,225.2,224.5,224.6,164.0
2018-03-28,225.33,225.62,224.72,224.72,503.0
2018-03-29,225.31,225.67,225.06,225.06,1154.0
2018-04-03,225.745,226.31,224.85,224.88,17847.0
2018-04-04,225.43,225.56,224.98,224.98,1256.0
2018-04-05,224.5,225.01,224.44,224.44,714.0
2018-04-06,225.0,225.28,224.51,224.72,1781.0
2018-04-09,225.3,225.34,224.57,224.7,816.0
2018-04-10,224.68,225.15,224.56,224.56,610.0
2018-04-11,225.18,225.34,224.88,224.88,2669.0
2018-04-12,225.1,225.1,224.38,224.38,1963.0
2018-04-13,224.81,224.88,224.4,224.58,4272.0
2018-04-16,224.59,224.69,224.05,224.24,445.0
2018-04-17,223.95,224.9,223.95,224.52,1016.0
2018-04-18,224.92,225.03,224.4,224.4,429.0
2018-04-19,224.4,224.4,223.66,223.66,261.0
2018-04-20,224.05,224.05,223.52,223.52,281.0
2018-04-23,223.75,223.75,223.02,223.02,756.0
2018-04-24,222.66,223.63,222.66,222.84,522.0
2018-04-25,222.84,223.43,221.86,221.86,398.0
2018-04-26,223.34,224.15,223.09,223.34,315.0
2018-04-27,223.9,223.99,223.32,223.32,171.0
2018-04-30,223.74,224.07,223.56,223.56,1610.0
2018-05-02,223.65,224.0,223.65,223.66,2033.0
2018-05-03,224.17,224.54,223.74,223.74,187.0
2018-05-04,224.4,224.49,223.75,223.78,207.0
2018-05-07,224.01,224.33,223.78,223.78,132.0
2018-05-08,224.24,224.24,223.32,223.32,549.0
2018-05-09,223.3,223.51,223.06,223.08,284.0
2018-05-10,222.95,223.65,222.95,223.24,264.0
2018-05-11,223.77,224.05,223.16,223.16,1146.0
2018-05-14,223.43,223.6,223.0,223.0,429.0
2018-05-15,223.15,223.26,222.34,222.34,330.0
2018-05-16,222.8,222.87,222.22,222.22,688.0
2018-05-17,221.96,222.63,221.82,221.82,478.0
2018-05-18,222.36,222.56,221.44,221.44,137.0
2018-05-22,222.59,222.59,221.985,222.02,507.0
2018-05-23,222.39,222.83,222.39,222.44,356.0
2018-05-24,223.19,223.29,222.68,222.92,334.0
2018-05-25,223.55,224.24,223.06,223.16,608.0
2018-05-28,223.795,223.795,223.18,223.18,163.0
2018-05-29,223.45,224.18,222.88,222.9,1260.0
2018-05-30,223.16,223.8,222.68,222.68,825.0
2018-05-31,223.36,223.93,222.9,222.9,684.0
2018-06-01,223.3,224.1,222.4,222.4,2112.0
2018-06-04,223.35,223.87,223.08,223.08,558.0
2018-06-05,223.49,223.67,222.72,222.72,2544.0
2018-06-06,222.61,223.19,221.86,221.86,446.0
2018-06-07,222.7,222.7,221.68,221.68,281.0
2018-06-08,222.89,222.89,221.96,221.96,351.0
2018-06-11,222.5,222.75,222.08,222.28,348.0
2018-06-12,222.965,222.97,221.94,221.94,648.0
2018-06-13,222.57,222.84,222.06,222.06,613.0
2018-06-14,223.02,223.13,222.76,222.82,390.0
2018-06-15,223.61,223.91,223.14,223.14,15373.0
2018-06-18,223.83,223.83,222.98,222.98,277.0
2018-06-19,224.0,224.19,223.08,223.08,79.0
2018-06-20,224.3,224.3,223.52,223.52,648.0
2018-06-21,223.6,223.78,222.4,222.4,1105.0
2018-06-22,224.0,224.0,222.98,222.98,247.0
2018-06-25,224.26,224.3,222.86,222.86,5791.0
2018-06-26,223.81,223.81,222.98,222.98,1405.0
2018-06-27,223.99,224.06,223.66,223.68,676.0
2018-06-28,223.92,224.24,223.4,223.4,46.0
2018-06-29,223.91,224.5,223.38,223.38,1784.0
2018-07-02,224.4,224.46,223.68,223.68,389.0
2018-07-03,224.22,224.42,224.0,224.06,443.0
2018-07-04,224.5,224.72,224.2,224.2,366.0
2018-07-05,224.24,224.72,223.98,224.32,158.0
2018-07-06,224.7,224.7,224.28,224.28,1.0
2018-07-09,224.5,224.62,224.23,224.24,1904.0
2018-07-10,224.4,224.44,223.96,223.96,1386.0
2018-07-11,224.31,224.62,223.82,223.82,11761.0
2018-07-12,224.69,224.69,223.92,223.92,73.0
2018-07-13,224.5,224.84,224.28,224.28,16.0
2018-07-16,224.145,224.94,223.74,223.74,233.0
2018-07-17,224.41,224.82,223.94,223.94,883.0
2018-07-18,224.85,224.86,224.0,224.0,272.0
2018-07-19,224.15,224.84,224.04,224.04,160.0
2018-07-20,225.0,225.0,223.8,223.8,294.0
2018-07-23,224.52,224.52,223.04,223.04,105.0
2018-07-24,223.34,223.49,222.8,222.8,174.0
2018-07-25,223.01,223.82,222.16,222.16,419.0
2018-07-26,223.09,223.52,223.02,223.02,219.0
2018-07-27,223.07,223.35,222.82,222.82,75.0
2018-07-30,222.96,223.0,222.52,222.52,270.0
2018-07-31,222.61,223.2,222.35,222.48,6935.0
