Date,Open,High,Low,Close,Volume
2017-03-23,121.88,122.28,121.81,122.18,1201.0
2017-03-24,122.1,122.42,121.54,122.08,3100.0
2017-03-27,121.0,121.01,119.68,120.9,2849.0
2017-03-28,121.55,121.68,121.26,121.59,1286.0
2017-03-29,123.09,123.63,122.78,123.44,3734.0
2017-03-30,123.79,124.23,123.7,124.23,737.0
2017-03-31,124.37,124.79,124.16,124.72,2720.0
2017-04-03,125.11,125.13,124.5,124.81,14253.0
2017-04-04,124.75,124.78,124.27,124.72,5823.0
2017-04-05,124.68,125.71,124.68,125.62,897.0
2017-04-06,124.06,124.96,124.02,124.96,2038.0
2017-04-07,124.84,125.08,124.29,124.98,10550.0
2017-04-10,125.47,125.84,125.2,125.2,2849.0
2017-04-11,125.25,125.35,123.63,123.99,21247.0
2017-04-12,124.78,124.86,124.23,124.24,2680.0
2017-04-13,123.76,124.43,123.34,124.27,2270.0
2017-04-18,126.27,126.28,123.16,123.84,2242.0
2017-04-19,123.4,124.19,123.14,124.19,3791.0
2017-04-20,123.8,123.81,123.1,123.43,10651.0
2017-04-21,124.27,124.93,124.27,124.7,1774.0
2017-04-24,124.09,124.22,123.82,123.96,2005.0
2017-04-25,124.16,124.28,123.97,124.11,285.0
2017-04-26,124.42,125.08,124.42,125.08,682.0
2017-04-27,124.49,125.42,124.34,125.29,2922.0
2017-04-28,125.74,125.76,125.13,125.36,4377.0
2017-05-02,126.19,128.57,126.19,126.59,10384.0
2017-05-03,126.2,126.43,125.95,126.08,7400.0
2017-05-04,126.59,126.59,125.59,126.04,1930.0
2017-05-05,125.5,125.84,125.22,125.29,1530.0
2017-05-08,125.83,126.5,125.83,126.41,1566.0
2017-05-09,127.04,127.86,126.86,127.79,7780.0
2017-05-10,127.67,128.02,127.48,127.89,69872.0
2017-05-11,127.79,127.86,127.11,127.43,2033.0
2017-05-12,127.71,127.74,127.21,127.48,1002.0
2017-05-15,127.61,127.76,126.89,127.18,1999.0
2017-05-16,126.78,126.78,126.07,126.43,701.0
