Date,Open,High,Low,Close,Volume
2017-03-23,27.55,27.55,26.96,26.97,16698.0
2017-03-24,26.99,27.34,26.87,27.2,79955.0
2017-03-27,26.88,27.08,26.58,26.8,22182.0
2017-03-28,27.11,27.41,27.09,27.29,9698.0
2017-03-29,27.28,28.06,27.28,28.03,11034.0
2017-03-30,28.33,28.33,27.87,28.03,38626.0
2017-03-31,27.96,27.96,27.5,27.66,75725.0
2017-04-03,27.79,28.26,27.79,28.19,9710.0
2017-04-04,28.27,28.32,27.935,28.32,22060.0
2017-04-05,28.75,28.76,28.5,28.5,3766.0
2017-04-06,27.88,28.0,27.64,28.0,22067.0
2017-04-07,27.21,27.9,27.21,27.83,46767.0
2017-04-10,27.97,28.0,27.55,27.69,3521.0
2017-04-11,27.8,27.98,27.21,27.37,2446.0
2017-04-12,27.55,27.8,27.5,27.55,31544.0
2017-04-13,27.53,27.74,27.46,27.48,2958.0
2017-04-18,27.77,28.05,27.3,27.97,24025.0
2017-04-19,27.63,27.69,27.3,27.39,10028.0
2017-04-20,27.12,27.2,26.89,27.01,42462.0
2017-04-21,27.0,27.0,26.79,26.88,77319.0
2017-04-24,26.85,27.11,26.82,27.0,19034.0
2017-04-25,26.91,27.15,26.36,26.58,39462.0
2017-04-26,26.75,26.92,26.58,26.87,19932.0
2017-04-27,26.65,26.92,26.55,26.63,3630.0
2017-04-28,26.69,26.69,26.34,26.67,6767.0
2017-05-02,26.87,27.49,26.76,27.35,14264.0
2017-05-03,27.36,27.54,27.3,27.37,54939.0
2017-05-04,27.6,27.6,26.66,26.66,11439.0
2017-05-05,26.61,26.86,26.21,26.86,23898.0
2017-05-08,27.04,27.04,26.68,26.85,27144.0
2017-05-09,26.6,27.32,26.6,27.32,5669.0
2017-05-10,27.31,27.96,27.22,27.94,10387.0
2017-05-11,28.0,28.06,27.78,28.06,10169.0
2017-05-12,28.2,28.49,28.02,28.34,24724.0
2017-05-15,28.76,28.76,28.37,28.45,30486.0
2017-05-16,28.4,28.52,28.3,28.38,13399.0
2017-05-17,28.48,28.48,27.84,27.84,14266.0
2017-05-18,25.63,25.75,22.75,23.78,130414.0
2017-05-19,23.82,25.07,23.8,24.98,118515.0
2017-05-22,24.9,24.92,23.68,23.68,141450.0
2017-05-23,24.355,24.79,23.95,24.73,47252.0
2017-05-24,24.86,25.23,24.63,25.16,39634.0
2017-05-25,25.0,25.14,24.65,24.68,9726.0
2017-05-26,24.78,25.24,24.62,25.23,39968.0
2017-05-29,25.25,25.46,25.09,25.13,44554.0
2017-05-30,25.15,25.3,25.02,25.24,9922.0
2017-05-31,25.1,25.46,24.86,24.91,25854.0
2017-06-01,24.88,25.06,24.67,24.95,15583.0
2017-06-02,24.59,24.77,24.53,24.69,23746.0
2017-06-05,24.75,24.79,24.16,24.3,1068.0
2017-06-06,24.25,24.56,24.2,24.36,57614.0
2017-06-07,24.71,25.04,24.47,24.79,5231.0
2017-06-08,24.96,24.96,24.42,24.42,5919.0
2017-06-09,24.74,24.99,24.49,24.65,4513.0
2017-06-12,24.01,24.45,23.98,24.16,2686.0
2017-06-13,24.19,24.22,23.8,23.99,11571.0
2017-06-14,23.78,24.3,23.78,24.28,13741.0
2017-06-15,24.24,24.24,23.8,23.94,3359.0
2017-06-16,23.92,24.23,23.9,23.9,4144.0
2017-06-19,24.0,24.27,23.93,24.21,13214.0
2017-06-20,24.49,24.49,24.0,24.07,35568.0
2017-06-21,23.7,23.74,23.38,23.67,9776.0
2017-06-22,23.29,23.71,23.29,23.71,63353.0
2017-06-23,23.81,23.81,23.48,23.59,38589.0
2017-06-26,23.6,23.91,23.52,23.82,3922.0
2017-06-27,24.05,24.18,23.68,23.83,36191.0
2017-06-28,23.68,23.83,23.24,23.57,15789.0
2017-06-29,23.63,23.87,23.6,23.6,13223.0
2017-06-30,23.58,23.83,23.58,23.76,5485.0
2017-07-03,24.21,24.21,23.85,24.01,40234.0
2017-07-04,23.94,24.18,23.94,24.18,16060.0
2017-07-05,24.25,24.25,23.7,24.02,6452.0
2017-07-06,23.78,23.95,23.72,23.81,16181.0
2017-07-07,23.6,23.98,23.57,23.65,20411.0
2017-07-10,23.75,24.13,23.74,24.13,11286.0
2017-07-11,24.25,24.26,24.13,24.13,10663.0
2017-07-12,24.34,25.0,24.34,24.6,38969.0
2017-07-13,25.2,25.4,25.1,25.25,55303.0
2017-07-14,25.39,25.57,25.25,25.42,16183.0
2017-07-17,25.38,25.66,25.38,25.41,48043.0
2017-07-18,25.16,25.3,25.16,25.28,7201.0
2017-07-19,25.42,25.56,25.4,25.5,6426.0
2017-07-20,25.51,25.51,25.135,25.17,6931.0
2017-07-21,25.26,25.32,25.12,25.13,8698.0
2017-07-24,25.13,25.2,24.86,24.95,10109.0
2017-07-25,24.94,25.33,24.94,25.33,388107.0
2017-07-26,25.18,25.44,25.18,25.3,994.0
2017-07-27,25.36,25.48,25.24,25.48,820.0
2017-07-28,25.33,25.33,25.05,25.16,2788.0
2017-07-31,25.33,25.5,25.31,25.37,38152.0
2017-08-01,25.36,25.72,25.36,25.71,26412.0
2017-08-02,25.76,25.76,25.46,25.68,9981.0
2017-08-03,25.9,26.02,25.67,25.67,11943.0
2017-08-04,25.69,25.98,25.65,25.98,21189.0
2017-08-07,25.94,25.99,25.56,25.99,1622.0
2017-08-08,26.06,26.34,26.02,26.3,29765.0
2017-08-09,25.97,26.08,25.81,25.97,2635.0
2017-08-10,26.02,26.02,25.66,25.66,1925.0
2017-08-11,25.25,25.6,24.78,25.6,6845.0
2017-08-14,25.2,25.54,25.2,25.54,21084.0
2017-08-15,25.73,26.1,25.73,25.98,2871.0
2017-08-16,26.1,26.47,25.99,26.07,7340.0
2017-08-17,26.14,26.39,25.97,26.18,25920.0
2017-08-18,25.97,26.25,25.75,26.25,1850.0
2017-08-21,26.19,26.45,26.18,26.39,5756.0
2017-08-22,26.09,26.87,26.08,26.83,6191.0
2017-08-23,26.88,26.89,26.5,26.85,14750.0
2017-08-24,26.87,27.23,26.85,27.17,19188.0
2017-08-25,27.34,27.37,26.92,26.92,6433.0
2017-08-28,26.83,26.87,26.58,26.77,5941.0
2017-08-29,26.44,26.51,26.12,26.51,3866.0
2017-08-30,26.87,26.87,26.57,26.57,3265.0
2017-08-31,26.58,27.05,26.56,26.85,5884.0
2017-09-01,26.93,27.56,26.85,27.56,19295.0
2017-09-04,27.32,27.32,27.0,27.2,2700.0
2017-09-05,27.32,28.34,27.29,27.59,15591.0
2017-09-06,27.72,28.0,27.54,27.83,13773.0
2017-09-07,28.13,28.36,28.08,28.16,13317.0
2017-09-08,28.29,28.29,27.95,28.02,2204.0
2017-09-11,28.29,28.55,28.02,28.55,5104.0
2017-09-12,28.37,28.57,28.33,28.55,15787.0
2017-09-13,28.37,28.44,28.06,28.44,20301.0
2017-09-14,28.5,28.56,28.27,28.56,8751.0
2017-09-15,28.35,28.57,28.19,28.54,13368.0
2017-09-18,28.91,29.16,28.82,29.0,68504.0
2017-09-19,28.53,29.07,28.53,28.62,9093.0
2017-09-20,28.87,29.0,28.71,28.71,11678.0
2017-09-21,28.88,29.21,28.78,28.93,52134.0
2017-09-22,28.72,28.82,28.6,28.8,34097.0
2017-09-25,28.7,28.77,28.49,28.5,20316.0
2017-09-26,28.41,28.61,28.23,28.47,16079.0
2017-09-27,28.52,28.52,27.89,27.96,28371.0
2017-09-28,27.88,27.95,27.54,27.82,18403.0
2017-09-29,27.83,28.21,27.63,28.15,965.0
2017-10-02,28.18,28.39,28.15,28.34,8621.0
2017-10-03,28.38,28.93,28.28,28.93,4166.0
2017-10-04,29.26,29.53,29.24,29.46,34407.0
2017-10-05,29.41,29.92,29.21,29.76,5922.0
2017-10-06,29.36,29.36,28.79,28.97,12787.0
2017-10-09,28.9,29.04,28.48,28.48,5793.0
2017-10-10,28.69,28.98,28.41,28.86,13923.0
2017-10-11,28.81,28.99,28.77,28.8,3228.0
2017-10-12,28.69,28.75,28.63,28.74,10820.0
2017-10-13,28.73,29.05,28.73,28.97,6563.0
2017-10-16,29.12,29.23,28.86,28.96,37238.0
2017-10-17,29.09,29.09,28.73,28.74,1811.0
2017-10-18,29.04,29.04,28.69,28.69,21575.0
2017-10-19,28.6,28.93,28.21,28.21,63763.0
2017-10-20,28.62,28.92,28.55,28.83,893.0
2017-10-23,28.74,28.86,28.16,28.18,7007.0
2017-10-24,27.81,28.11,27.65,27.87,22171.0
2017-10-25,27.96,28.22,27.81,27.81,9985.0
2017-10-26,28.01,28.35,28.01,28.24,4089.0
