Date,Open,High,Low,Close,Volume
2017-03-23,24.5775,24.69,24.5,24.505,272537.0
2017-03-24,24.4575,24.6325,24.4575,24.615,190656.0
2017-03-27,24.795,24.8475,24.6875,24.6875,68855.0
2017-03-28,24.67,24.795,24.67,24.7525,217317.0
2017-03-29,24.64,24.705,24.6275,24.6825,214055.0
2017-03-30,24.6475,24.6575,24.53,24.6075,150885.0
2017-03-31,24.48,24.58,24.4575,24.55,59835.0
2017-04-03,24.5475,24.695,24.525,24.695,52308.0
2017-04-04,24.7775,24.845,24.725,24.7475,107019.0
2017-04-05,24.75,24.76,24.52,24.59,78511.0
2017-04-06,24.71,24.7225,24.645,24.6575,545144.0
2017-04-07,24.8975,25.01,24.8775,24.93,952986.0
2017-04-10,24.7075,24.715,24.58,24.71,286821.0
2017-04-11,24.78,25.09,24.765,25.075,172884.0
2017-04-12,25.115,25.175,25.075,25.1225,495342.0
2017-04-13,25.295,25.3875,25.255,25.31,422037.0
2017-04-18,25.2825,25.425,25.22,25.425,308293.0
2017-04-19,25.3125,25.33,25.1025,25.22,180372.0
2017-04-20,25.24,25.285,25.17,25.2475,716406.0
2017-04-21,25.21,25.3375,25.185,25.2925,430494.0
2017-04-24,25.055,25.125,24.965,25.11,667869.0
2017-04-25,25.0675,25.0675,24.9475,24.98,123463.0
2017-04-26,24.885,24.94,24.8675,24.89,36893.0
2017-04-27,24.8925,24.94,24.8525,24.935,83573.0
2017-04-28,24.935,24.9925,24.915,24.9775,88481.0
2017-05-02,24.7475,24.75,24.68,24.7175,43085.0
2017-05-03,24.72,24.72,24.56,24.585,79030.0
2017-05-04,24.32,24.35,24.15,24.2225,254706.0
2017-05-05,24.2625,24.325,24.175,24.21,107953.0
2017-05-08,24.2325,24.335,24.19,24.1925,83036.0
2017-05-09,24.195,24.195,23.97,23.985,330068.0
2017-05-10,24.0575,24.17,24.05,24.05,113931.0
2017-05-11,24.0675,24.1775,24.045,24.1175,313743.0
2017-05-12,24.215,24.26,24.195,24.2025,73388.0
2017-05-15,24.265,24.37,24.22,24.29,214179.0
2017-05-16,24.3325,24.395,24.3,24.37,248067.0
2017-05-17,24.4925,24.825,24.4825,24.77,161434.0
2017-05-18,24.73,24.915,24.62,24.685,1035062.0
2017-05-19,24.63,24.725,24.62,24.6975,83120.0
2017-05-22,24.7225,24.835,24.69,24.81,54398.0
2017-05-23,24.84,24.8725,24.8,24.81,60007.0
2017-05-24,24.62,24.7025,24.62,24.68,157200.0
2017-05-25,24.775,24.79,24.71,24.735,789493.0
2017-05-26,24.8625,24.97,24.8525,24.955,125198.0
2017-05-30,24.9775,24.98,24.815,24.8775,290610.0
2017-05-31,24.9025,24.9725,24.89,24.97,100808.0
2017-06-01,24.955,24.9625,24.875,24.9075,249410.0
2017-06-02,24.845,25.19,24.835,25.1725,179186.0
2017-06-05,25.2225,25.265,25.21,25.22,65567.0
2017-06-06,25.4025,25.515,25.37,25.495,170146.0
2017-06-07,25.4525,25.48,25.38,25.46,191442.0
2017-06-08,25.3575,25.3575,25.0575,25.115,79896.0
2017-06-09,25.0625,25.105,24.91,24.9775,256018.0
2017-06-12,24.9825,25.015,24.895,24.925,59086.0
2017-06-13,24.905,24.905,24.805,24.875,135867.0
2017-06-14,24.9825,25.185,24.9475,25.145,104246.0
2017-06-15,24.8425,24.845,24.655,24.6875,215658.0
2017-06-16,24.695,24.7525,24.695,24.7325,78007.0
2017-06-19,24.665,24.665,24.57,24.5875,77665.0
2017-06-20,24.5675,24.57,24.4575,24.485,55073.0
2017-06-21,24.535,24.565,24.45,24.52,130602.0
2017-06-22,24.675,24.685,24.61,24.685,201061.0
2017-06-23,24.7125,24.765,24.71,24.75,58232.0
2017-06-26,24.39,24.5225,24.39,24.51,296613.0
2017-06-27,24.63,24.66,24.555,24.555,258052.0
2017-06-28,24.6175,24.705,24.585,24.62,115204.0
2017-06-29,24.6325,24.6325,24.425,24.5025,432790.0
2017-06-30,24.475,24.525,24.435,24.47,75367.0
2017-07-03,24.34,24.34,24.055,24.055,216746.0
2017-07-04,24.12,24.1325,24.075,24.09,49479.0
2017-07-05,24.0275,24.105,23.985,24.0775,106879.0
2017-07-06,24.1225,24.14,24.0825,24.0925,121626.0
2017-07-07,24.06,24.155,23.835,23.835,228211.0
2017-07-10,23.765,23.915,23.745,23.905,146108.0
2017-07-11,23.8275,23.9125,23.8,23.9125,229181.0
2017-07-12,23.99,24.085,23.915,24.025,105994.0
2017-07-13,24.0825,24.085,23.955,23.9725,288147.0
2017-07-14,23.9775,24.25,23.9775,24.195,133731.0
2017-07-17,24.2275,24.335,24.22,24.295,195605.0
2017-07-18,24.345,24.46,24.33,24.4575,137852.0
2017-07-19,24.415,24.485,24.345,24.4425,93038.0
2017-07-20,24.3975,24.5525,24.335,24.5475,340064.0
2017-07-21,24.57,24.655,24.5625,24.6475,275802.0
2017-07-24,24.7125,24.77,24.71,24.7325,35531.0
2017-07-25,24.7475,24.7475,24.6125,24.625,236685.0
2017-07-26,24.5175,24.59,24.5025,24.5675,36510.0
2017-07-27,24.86,24.8925,24.745,24.7675,270084.0
2017-07-28,24.8175,25.01,24.78,24.9975,137273.0
2017-07-31,24.935,24.975,24.93,24.975,80165.0
