Date,Open,High,Low,Close,Volume
2017-03-23,5.477,5.515,5.477,5.515,6900.0
2017-03-24,5.522,5.522,5.522,5.522,0.0
2017-03-27,5.5,5.5,5.5,5.5,0.0
2017-03-28,5.532,5.532,5.532,5.532,0.0
2017-03-29,5.571,5.571,5.571,5.571,0.0
2017-03-30,5.597,5.597,5.589,5.589,4464.0
2017-03-31,5.609,5.609,5.609,5.609,0.0
2017-04-03,5.563,5.563,5.563,5.563,0.0
2017-04-04,5.565,5.57,5.565,5.57,12280.0
2017-04-05,5.596,5.596,5.596,5.596,0.0
2017-04-06,5.577,5.585,5.577,5.585,4870.0
2017-04-07,5.551,5.551,5.551,5.551,0.0
2017-04-10,5.58,5.588,5.577,5.577,18332.0
2017-04-11,5.543,5.543,5.543,5.543,0.0
2017-04-12,5.565,5.568,5.56,5.56,10551.0
2017-04-13,5.543,5.543,5.543,5.543,0.0
2017-04-18,5.563,5.563,5.563,5.563,0.0
2017-04-19,5.601,5.601,5.601,5.601,0.0
2017-04-20,5.61,5.61,5.61,5.61,0.0
2017-04-21,5.624,5.624,5.624,5.624,0.0
2017-04-24,5.682,5.682,5.65,5.65,17630.0
2017-04-25,5.685,5.685,5.685,5.685,0.0
2017-04-26,5.739,5.739,5.739,5.739,0.0
2017-04-27,5.73,5.753,5.73,5.753,1800.0
2017-04-28,5.762,5.762,5.731,5.731,1000.0
2017-05-02,5.73,5.74,5.73,5.73,233000.0
2017-05-03,5.745,5.745,5.714,5.714,8820.0
2017-05-04,5.697,5.697,5.697,5.697,0.0
2017-05-05,5.725,5.725,5.708,5.708,2080.0
2017-05-08,5.732,5.732,5.732,5.732,0.0
2017-05-09,5.76,5.775,5.76,5.775,24226.0
2017-05-10,5.756,5.756,5.756,5.756,0.0
2017-05-11,5.719,5.719,5.719,5.719,0.0
2017-05-12,5.724,5.724,5.724,5.724,0.0
2017-05-15,5.739,5.739,5.739,5.739,0.0
2017-05-16,5.704,5.704,5.704,5.704,0.0
2017-05-17,5.644,5.644,5.644,5.644,0.0
2017-05-18,5.598,5.652,5.598,5.652,7020.0
2017-05-19,5.675,5.683,5.675,5.683,3100.0
2017-05-22,5.668,5.712,5.668,5.709,20580.0
2017-05-23,5.699,5.699,5.699,5.699,0.0
2017-05-24,5.685,5.685,5.685,5.685,0.0
2017-05-25,5.763,5.763,5.763,5.763,0.0
2017-05-26,5.77,5.77,5.77,5.77,0.0
2017-05-30,5.786,5.786,5.786,5.786,0.0
2017-05-31,5.771,5.771,5.771,5.771,0.0
2017-06-01,5.819,5.819,5.819,5.819,0.0
2017-06-02,5.866,5.866,5.866,5.866,0.0
2017-06-05,5.845,5.845,5.845,5.845,0.0
2017-06-06,5.835,5.835,5.814,5.814,1710.0
2017-06-07,5.809,5.809,5.809,5.809,0.0
2017-06-08,5.81,5.81,5.789,5.789,20000.0
2017-06-09,5.775,5.784,5.775,5.784,4464.0
2017-06-12,5.756,5.756,5.756,5.756,0.0
2017-06-13,5.771,5.771,5.771,5.771,0.0
2017-06-14,5.795,5.795,5.782,5.784,41785.0
2017-06-15,5.734,5.734,5.734,5.734,0.0
2017-06-16,5.734,5.734,5.734,5.734,0.0
2017-06-19,5.786,5.786,5.786,5.786,0.0
2017-06-20,5.753,5.753,5.753,5.753,0.0
2017-06-21,5.724,5.724,5.724,5.724,0.0
2017-06-22,5.734,5.734,5.734,5.734,0.0
2017-06-23,5.709,5.709,5.709,5.709,0.0
2017-06-26,5.725,5.725,5.725,5.725,0.0
2017-06-27,5.734,5.734,5.734,5.734,0.0
2017-06-28,5.713,5.74,5.713,5.74,13315.0
2017-06-29,5.727,5.727,5.698,5.698,18395.0
2017-06-30,5.723,5.723,5.723,5.723,0.0
2017-07-03,5.732,5.732,5.732,5.732,0.0
