Date,Open,High,Low,Close,Volume
2017-03-23,5.273,5.29,5.262,5.29,54881.0
2017-03-24,5.247,5.271,5.247,5.271,17500.0
2017-03-27,5.207,5.273,5.207,5.269,132323.0
2017-03-28,5.28,5.28,5.26,5.26,8395.0
2017-03-29,5.27,5.287,5.265,5.285,53572.0
2017-03-30,5.265,5.287,5.265,5.28,15066.0
2017-03-31,5.27,5.275,5.27,5.272,12500.0
2017-04-03,5.27,5.28,5.264,5.264,1915.0
2017-04-04,5.247,5.259,5.247,5.259,77191.0
2017-04-05,5.262,5.298,5.258,5.298,33091.0
2017-04-06,5.233,5.254,5.23,5.254,89324.0
2017-04-07,5.245,5.251,5.245,5.251,3685.0
2017-04-10,5.267,5.275,5.267,5.271,15948.0
2017-04-11,5.242,5.242,5.221,5.221,3100.0
2017-04-12,5.25,5.25,5.228,5.228,23876.0
2017-04-13,5.24,5.256,5.227,5.256,14555.0
2017-04-18,5.25,5.25,5.192,5.192,32889.0
2017-04-19,5.21,5.225,5.21,5.225,206087.0
2017-04-20,5.212,5.216,5.212,5.216,1525.0
2017-04-21,5.215,5.22,5.215,5.22,22999.0
2017-04-24,5.265,5.265,5.258,5.26,7380.0
2017-04-25,5.275,5.296,5.247,5.296,5471.0
2017-04-26,5.282,5.331,5.282,5.331,31583.0
2017-04-27,5.307,5.33,5.3,5.33,12468.0
2017-04-28,5.313,5.34,5.31,5.333,19631.0
2017-05-02,5.33,5.36,5.33,5.333,274622.0
2017-05-03,5.348,5.348,5.34,5.345,238785.0
2017-05-04,5.348,5.367,5.348,5.367,1860.0
2017-05-05,5.372,5.372,5.356,5.356,18557.0
2017-05-08,5.368,5.372,5.351,5.351,7602.0
2017-05-09,5.348,5.358,5.34,5.355,42191.0
2017-05-10,5.315,5.325,5.315,5.324,45000.0
2017-05-11,5.311,5.311,5.311,5.311,0.0
2017-05-12,5.332,5.335,5.315,5.334,87812.0
2017-05-15,5.342,5.349,5.335,5.349,30275.0
2017-05-16,5.362,5.365,5.331,5.331,69147.0
2017-05-17,5.31,5.31,5.293,5.303,139048.0
2017-05-18,5.267,5.29,5.262,5.281,12770.0
2017-05-19,5.3,5.311,5.298,5.311,29869.0
2017-05-22,5.298,5.322,5.298,5.315,120855.0
2017-05-23,5.328,5.335,5.328,5.333,75313.0
2017-05-24,5.345,5.348,5.335,5.348,61976.0
2017-05-25,5.37,5.374,5.37,5.374,19099.0
2017-05-26,5.37,5.379,5.37,5.379,800.0
2017-05-30,5.358,5.368,5.355,5.356,16216.0
2017-05-31,5.355,5.382,5.352,5.379,7294.0
2017-06-01,5.385,5.42,5.375,5.42,169369.0
2017-06-02,5.445,5.468,5.445,5.466,67254.0
2017-06-05,5.483,5.483,5.454,5.454,6917.0
2017-06-06,5.457,5.46,5.442,5.453,30300.0
2017-06-07,5.44,5.465,5.44,5.465,14968.0
