Date,Open,High,Low,Close,Volume
2017-03-23,103.76,103.76,103.705,103.705,14.0
2017-03-24,104.41,104.41,104.41,104.41,0.0
2017-03-27,104.5,104.5,104.5,104.5,0.0
2017-03-28,105.0,105.0,104.95,104.95,3.0
2017-03-29,104.82,105.03,104.82,104.97,113.0
2017-03-30,104.18,104.18,104.09,104.09,17.0
2017-03-31,103.5,103.5,103.41,103.41,13.0
2017-04-03,103.53,103.565,103.53,103.565,2.0
2017-04-04,104.05,104.14,104.05,104.14,9.0
2017-04-05,103.855,103.855,103.855,103.855,0.0
2017-04-06,103.8,103.8,103.755,103.755,55.0
2017-04-07,104.41,104.41,104.25,104.25,20.0
2017-04-10,103.87,103.88,103.82,103.88,423.0
2017-04-11,103.77,103.77,103.47,103.47,45.0
2017-04-12,103.22,103.295,103.22,103.295,53.0
2017-04-13,103.34,103.34,103.305,103.305,5.0
2017-04-18,102.22,102.22,102.155,102.155,19.0
2017-04-19,101.75,101.77,101.75,101.77,30.0
2017-04-20,102.2,102.2,102.16,102.16,15.0
2017-04-21,101.75,101.755,101.75,101.755,5.0
2017-04-24,103.59,103.59,103.53,103.53,12.0
2017-04-25,103.51,103.51,103.375,103.375,4.0
2017-04-26,102.77,102.79,102.77,102.79,35.0
2017-04-27,102.56,102.56,102.48,102.48,2.0
2017-04-28,102.48,102.48,102.395,102.395,12.0
2017-05-02,102.64,102.66,102.64,102.66,4.0
2017-05-03,102.95,103.01,102.95,102.965,51.0
2017-05-04,103.15,103.15,103.105,103.105,23.0
2017-05-05,103.14,103.14,103.14,103.14,0.0
2017-05-08,102.57,102.57,102.56,102.56,3.0
2017-05-09,102.005,102.005,102.005,102.005,0.0
2017-05-10,101.93,101.93,101.925,101.925,23.0
2017-05-11,102.34,102.36,102.255,102.255,10019.0
2017-05-12,102.97,103.08,102.97,103.08,6.0
2017-05-15,103.09,103.09,103.07,103.07,2.0
2017-05-16,103.82,104.3,103.82,104.035,5091.0
2017-05-17,104.48,104.825,104.48,104.825,120.0
2017-05-18,104.36,104.36,104.3,104.3,12.0
2017-05-19,104.74,104.74,104.73,104.73,2.0
2017-05-22,105.22,105.22,105.175,105.175,13.0
2017-05-23,105.42,105.42,105.06,105.15,11010.0
2017-05-24,105.17,105.175,105.17,105.175,166.0
2017-05-25,105.5,105.625,105.5,105.625,5005.0
2017-05-26,106.95,106.96,106.95,106.96,2.0
2017-05-30,106.295,106.295,106.295,106.295,0.0
2017-05-31,106.62,106.62,106.455,106.455,33.0
2017-06-01,106.95,106.95,106.225,106.225,5006.0
2017-06-02,106.995,106.995,106.995,106.995,0.0
2017-06-05,106.28,106.28,106.235,106.235,7.0
2017-06-06,106.97,107.025,106.97,107.025,93.0
2017-06-07,106.3,106.36,106.175,106.175,12026.0
2017-06-08,106.26,106.26,106.225,106.225,18.0
2017-06-09,107.84,107.86,107.84,107.86,8.0
2017-06-12,108.87,108.87,108.77,108.77,34.0
2017-06-13,108.395,108.395,108.395,108.395,0.0
2017-06-14,108.86,108.86,108.845,108.845,4.0
2017-06-15,107.48,107.48,107.475,107.475,11.0
2017-06-16,107.65,107.65,107.63,107.63,2.0
2017-06-19,107.9,107.915,107.9,107.915,1.0
2017-06-20,108.8,108.8,108.74,108.74,2.0
2017-06-21,108.655,108.655,108.655,108.655,0.0
2017-06-22,108.96,108.96,108.74,108.74,5.0
2017-06-23,108.4,108.58,108.4,108.49,190.0
2017-06-26,108.62,108.62,108.61,108.61,1.0
2017-06-27,108.5,108.5,108.37,108.37,1.0
2017-06-28,107.725,107.725,107.725,107.725,0.0
2017-06-29,107.63,107.63,107.19,107.19,10.0
2017-06-30,106.88,106.88,106.88,106.88,0.0
2017-07-03,106.88,106.88,106.785,106.785,28.0
2017-07-04,106.78,106.9,106.78,106.9,6.0
2017-07-05,106.715,106.715,106.715,106.715,0.0
2017-07-06,106.305,106.305,106.305,106.305,0.0
