Date,Open,High,Low,Close,Volume
2017-03-23,206.72,207.89,206.46,207.89,10339.0
2017-03-24,206.96,207.38,206.17,206.7,31019.0
2017-03-27,204.21,204.77,202.63,204.77,32370.0
2017-03-28,205.35,207.22,204.48,207.22,74290.0
2017-03-29,207.55,208.62,207.34,208.58,54281.0
2017-03-30,208.83,210.76,208.5,210.76,33799.0
2017-03-31,210.24,210.89,209.81,210.54,11979.0
2017-04-03,210.55,210.94,209.6,209.94,44817.0
2017-04-04,210.05,210.5,209.61,210.09,9045.0
2017-04-05,209.81,212.08,209.62,209.69,39442.0
2017-04-06,209.22,210.72,209.061,210.24,22688.0
2017-04-07,209.89,211.7,209.89,211.7,25956.0
2017-04-10,211.68,212.33,211.3,211.3,24342.0
2017-04-11,211.51,211.64,209.41,210.62,44571.0
2017-04-12,210.79,211.25,209.14,209.14,44813.0
2017-04-13,209.36,210.39,208.751,208.92,13994.0
2017-04-18,209.69,209.75,207.57,207.57,8103.0
2017-04-19,208.03,208.95,207.47,207.47,16097.0
2017-04-20,207.26,209.11,206.9,208.94,65456.0
2017-04-21,209.13,209.79,208.84,208.84,15142.0
2017-04-24,207.92,208.619,207.5,207.66,27816.0
2017-04-25,208.18,208.4,207.42,207.72,24841.0
2017-04-26,207.9,209.81,207.8,209.81,16175.0
2017-04-27,208.1,209.5,207.95,208.93,119082.0
2017-04-28,209.09,209.09,207.89,208.07,13009.0
2017-05-02,208.18,208.7,208.1,208.38,11652.0
2017-05-03,207.99,208.162,207.6,207.87,24322.0
2017-05-04,208.68,208.945,207.0,207.89,71961.0
2017-05-05,206.85,207.85,206.78,207.08,28443.0
2017-05-08,207.97,208.75,207.87,208.7,25880.0
2017-05-09,209.2,210.18,208.954,209.85,10600.0
2017-05-10,209.17,210.03,208.91,210.03,16506.0
2017-05-11,209.72,210.05,208.65,209.14,14520.0
2017-05-12,209.43,209.43,208.1,208.42,25987.0
2017-05-15,208.51,208.54,207.69,208.29,15133.0
2017-05-16,207.54,207.54,205.96,206.01,14414.0
2017-05-17,204.49,205.109,201.38,201.38,43832.0
2017-05-18,202.13,203.13,200.841,203.13,65190.0
2017-05-19,202.45,202.84,201.76,202.39,25284.0
2017-05-22,203.15,203.37,201.95,202.79,63748.0
2017-05-23,202.8,204.24,202.65,203.32,27822.0
2017-05-24,204.36,204.72,204.119,204.72,25404.0
2017-05-25,204.6,205.36,203.962,205.09,4005.0
2017-05-26,205.14,206.01,204.755,206.0,28760.0
2017-05-29,206.17,206.25,205.831,206.04,18010.0
2017-05-30,206.41,206.5,205.21,205.59,40256.0
2017-05-31,205.69,205.82,204.04,204.09,89069.0
2017-06-01,204.73,205.56,204.63,205.56,41798.0
2017-06-02,207.05,207.23,205.35,205.78,13100.0
2017-06-05,206.2,206.692,205.78,205.78,5723.0
2017-06-06,205.69,206.23,205.2,205.2,27415.0
2017-06-07,205.89,207.0,205.35,205.77,30914.0
2017-06-08,206.35,207.2,206.07,206.83,44826.0
2017-06-09,207.56,208.53,206.95,206.95,6569.0
2017-06-12,206.55,206.7,205.82,206.49,20981.0
2017-06-13,207.3,207.54,206.78,207.37,38274.0
2017-06-14,207.34,208.13,206.0,207.29,14082.0
2017-06-15,206.87,207.99,206.82,207.99,26016.0
2017-06-16,208.53,208.609,206.62,206.92,27686.0
2017-06-19,207.88,209.86,207.701,209.86,24911.0
2017-06-20,209.79,209.89,208.97,208.97,11535.0
2017-06-21,208.76,209.147,208.11,208.11,38648.0
2017-06-22,207.92,208.8,207.57,208.4,48647.0
2017-06-23,208.04,208.41,207.58,207.69,31944.0
