Date,Open,High,Low,Close,Volume
2017-03-23,8.24,8.24,8.21,8.23,3528.0
2017-03-24,8.25,8.26,8.23,8.26,7781.0
2017-03-27,8.26,8.35,8.26,8.35,6698.0
2017-03-28,8.32,8.33,8.25,8.3,15827.0
2017-03-29,8.26,8.3,8.23,8.28,9727.0
2017-03-30,8.27,8.32,8.21,8.29,13661.0
2017-03-31,8.3,8.34,8.3,8.32,5434.0
2017-04-03,8.26,8.33,8.23,8.32,8536.0
2017-04-04,8.23,8.3,8.21,8.28,15712.0
2017-04-05,8.3,8.32,8.26,8.27,5273.0
2017-04-06,8.33,8.34,8.3,8.3,8396.0
2017-04-07,8.31,8.31,8.29,8.31,3805.0
2017-04-10,8.31,8.35,8.31,8.35,4939.0
2017-04-11,8.39,8.45,8.38,8.43,7662.0
2017-04-12,8.43,8.44,8.37,8.4,3623.0
2017-04-13,8.37,8.39,8.35,8.35,8729.0
2017-04-17,8.31,8.42,8.31,8.38,6808.0
2017-04-18,8.38,8.39,8.35,8.37,3125.0
2017-04-19,8.37,8.39,8.36,8.39,4110.0
2017-04-20,8.43,8.47,8.42,8.42,1606.0
2017-04-21,8.42,8.44,8.27,8.44,11085.0
2017-04-24,8.62,8.74,8.51,8.69,22703.0
2017-04-25,8.73,8.75,8.7,8.73,20532.0
2017-04-26,8.74,8.74,8.69,8.69,9969.0
2017-04-27,8.69,8.72,8.64,8.72,23186.0
2017-04-28,8.72,8.74,8.72,8.74,4513.0
2017-05-01,8.75,8.75,8.74,8.75,6263.0
2017-05-02,8.75,8.83,8.75,8.8,13945.0
2017-05-03,8.8,8.84,8.79,8.84,18160.0
2017-05-04,8.88,8.97,8.88,8.97,6512.0
2017-05-05,8.95,9.1,8.95,9.05,21035.0
2017-05-08,9.05,9.05,8.98,9.0,25887.0
2017-05-09,9.07,9.1,8.97,9.02,42118.0
2017-05-10,8.99,9.05,8.99,9.02,23211.0
2017-05-11,8.95,9.09,8.94,9.01,22120.0
2017-05-12,9.06,9.07,8.99,9.01,14740.0
2017-05-15,9.09,9.13,9.08,9.12,8555.0
2017-05-16,9.18,9.21,9.15,9.21,11595.0
2017-05-17,9.12,9.12,9.02,9.02,30647.0
2017-05-18,9.0,9.07,8.99,9.03,42409.0
2017-05-19,9.07,9.1,9.05,9.1,1450.0
2017-05-22,9.18,9.18,9.13,9.14,4699.0
2017-05-23,9.15,9.18,9.14,9.14,10454.0
2017-05-24,9.14,9.15,9.09,9.1,6478.0
2017-05-25,9.15,9.2,9.15,9.2,14439.0
2017-05-26,9.16,9.19,9.13,9.15,8474.0
2017-05-30,9.2,9.2,9.14,9.16,13570.0
2017-05-31,9.22,9.36,9.17,9.24,29377.0
2017-06-01,9.34,9.34,9.24,9.27,11213.0
2017-06-02,9.31,9.67,9.29,9.32,8395.0
2017-06-05,9.3,9.33,9.27,9.3,10702.0
2017-06-06,9.24,9.29,9.23,9.29,13700.0
2017-06-07,9.33,9.34,9.26,9.28,5303.0
2017-06-08,9.23,9.27,9.23,9.27,5417.0
2017-06-09,9.27,9.27,9.21,9.25,22245.0
2017-06-12,9.25,9.25,9.19,9.2,1847.0
2017-06-13,9.25,9.25,9.18,9.23,2200.0
2017-06-14,9.27,9.3,9.24,9.27,1300.0
2017-06-15,9.14,9.22,9.02,9.22,9794.0
2017-06-16,9.16,9.24,9.16,9.24,4815.0
2017-06-19,9.28,9.31,9.28,9.28,6417.0
2017-06-20,9.38,9.38,9.21,9.24,8504.0
2017-06-21,9.22,9.22,9.17,9.21,5354.0
2017-06-22,9.24,9.25,9.21,9.24,7143.0
2017-06-23,9.2,9.33,9.17,9.21,14666.0
2017-06-26,9.24,9.36,9.21,9.23,13337.0
2017-06-27,9.24,9.24,9.21,9.23,5256.0
2017-06-28,9.24,9.31,9.24,9.31,1340.0
2017-06-29,9.29,9.29,9.18,9.21,4589.0
2017-06-30,9.23,9.23,9.17,9.17,8450.0
2017-07-03,9.21,9.27,9.21,9.27,5167.0
2017-07-05,9.21,9.28,9.2,9.26,3475.0
2017-07-06,9.26,9.29,9.26,9.26,9479.0
2017-07-07,9.26,9.27,9.26,9.27,2057.0
2017-07-10,9.2,9.26,9.19,9.26,1521.0
2017-07-11,9.26,9.33,9.26,9.33,3251.0
2017-07-12,9.34,9.39,9.11,9.39,1965.0
2017-07-13,9.4,9.54,9.38,9.49,9271.0
2017-07-14,9.41,9.5,9.4,9.48,11905.0
2017-07-17,9.47,9.5,9.46,9.48,7004.0
2017-07-18,9.43,9.48,9.43,9.46,12334.0
2017-07-19,9.46,9.5,9.45,9.49,4615.0
2017-07-20,9.5,9.53,9.47,9.51,12436.0
2017-07-21,9.48,9.51,9.45,9.5,10019.0
2017-07-24,9.44,9.49,9.34,9.46,15891.0
2017-07-25,9.49,9.52,9.44,9.44,16520.0
2017-07-26,9.48,9.53,9.47,9.48,4960.0
2017-07-27,9.46,9.46,9.39,9.39,9264.0
2017-07-28,9.39,9.42,9.37,9.4,18932.0
2017-07-31,9.38,9.47,9.38,9.45,13194.0
2017-08-01,9.48,9.53,9.48,9.49,16273.0
2017-08-02,9.47,9.57,9.47,9.56,6387.0
2017-08-03,9.56,9.61,9.54,9.56,12079.0
2017-08-04,9.55,9.59,9.54,9.55,1349.0
2017-08-07,9.53,9.58,9.53,9.58,10076.0
2017-08-08,9.58,9.6,9.5,9.5,5403.0
2017-08-09,9.46,9.46,9.35,9.41,26340.0
2017-08-10,9.36,9.36,9.17,9.18,14194.0
2017-08-11,9.2,9.28,9.12,9.25,9700.0
2017-08-14,9.25,9.37,9.23,9.37,10574.0
2017-08-15,9.33,9.34,9.29,9.31,2990.0
2017-08-16,9.35,9.38,9.33,9.36,6704.0
2017-08-17,9.34,9.39,9.34,9.35,1400.0
2017-08-18,9.33,9.33,9.27,9.32,5112.0
2017-08-21,9.3,9.3,9.25,9.28,1248.0
2017-08-22,9.36,9.4,9.33,9.38,27867.0
2017-08-23,9.4,9.4,9.32,9.4,5096.0
2017-08-24,9.4,9.42,9.34,9.41,31844.0
2017-08-25,9.45,9.46,9.41,9.46,8377.0
2017-08-28,9.64,9.64,9.43,9.43,22701.0
2017-08-29,9.47,9.47,9.37,9.37,18755.0
2017-08-30,9.38,9.41,9.38,9.39,10986.0
2017-08-31,9.43,9.49,9.43,9.48,11910.0
2017-09-01,9.49,9.49,9.48,9.48,500.0
2017-09-05,9.48,9.54,9.48,9.48,3322.0
2017-09-06,9.48,9.48,9.42,9.42,9121.0
2017-09-07,9.49,9.52,9.49,9.5,11707.0
2017-09-08,9.56,9.57,9.33,9.51,6740.0
