Date,Open,High,Low,Close,Volume
2017-03-23,4.535,4.549,4.526,4.532,470983.0
2017-03-24,4.523,4.552,4.523,4.552,34862.0
2017-03-27,4.587,4.588,4.567,4.567,54614.0
2017-03-28,4.567,4.577,4.566,4.569,99116.0
2017-03-29,4.538,4.566,4.538,4.559,105048.0
2017-03-30,4.574,4.574,4.544,4.544,119020.0
2017-03-31,4.526,4.541,4.524,4.529,2137597.0
2017-04-03,4.542,4.589,4.542,4.589,202605.0
2017-04-04,4.6,4.6,4.5746,4.5746,6029.0
2017-04-05,4.564,4.567,4.564,4.564,758.0
2017-04-06,4.574,4.574,4.547,4.547,63953.0
2017-04-07,4.581,4.614,4.574,4.586,258007.0
2017-04-10,4.564,4.58,4.559,4.58,82615.0
2017-04-11,4.597,4.62,4.581,4.62,383188.0
2017-04-12,4.624,4.631,4.618,4.629,255602.0
2017-04-13,4.656,4.665,4.64,4.648,318510.0
2017-04-18,4.655,4.696,4.655,4.696,112695.0
2017-04-19,4.692,4.693,4.67,4.672,636254.0
2017-04-20,4.688,4.689,4.653,4.657,502897.0
2017-04-21,4.659,4.68,4.659,4.68,298628.0
2017-04-24,4.613,4.637,4.61,4.637,115521.0
2017-04-25,4.624,4.624,4.607,4.607,103850.0
2017-04-26,4.591,4.603,4.586,4.5956,66850.0
2017-04-27,4.598,4.612,4.588,4.607,77213.0
2017-04-28,4.61,4.61,4.593,4.596,32202.0
2017-05-02,4.57,4.5826,4.566,4.5826,43641.0
2017-05-03,4.603,4.62,4.592,4.619,693933.0
2017-05-04,4.603,4.603,4.565,4.565,32764.0
2017-05-05,4.58,4.596,4.58,4.5854,42009.0
2017-05-08,4.59,4.61,4.564,4.566,111866.0
2017-05-09,4.555,4.564,4.547,4.55,269849.0
2017-05-10,4.581,4.581,4.568,4.568,26890.0
2017-05-11,4.561,4.561,4.537,4.5464,41527.0
2017-05-12,4.564,4.59,4.562,4.589,210397.0
2017-05-15,4.576,4.591,4.576,4.578,29110.0
2017-05-16,4.583,4.603,4.573,4.6026,50011.0
2017-05-17,4.646,4.646,4.645,4.645,156704.0
2017-05-18,4.646,4.69,4.646,4.664,309378.0
2017-05-19,4.668,4.669,4.66,4.665,500504.0
2017-05-22,4.67,4.674,4.664,4.665,213304.0
2017-05-23,4.668,4.668,4.658,4.658,185750.0
2017-05-24,4.643,4.646,4.6376,4.6376,46107.0
2017-05-25,4.657,4.662,4.643,4.653,351927.0
2017-05-26,4.661,4.675,4.658,4.664,262429.0
2017-05-30,4.679,4.686,4.67,4.683,116573.0
2017-05-31,4.68,4.704,4.677,4.698,911506.0
2017-06-01,4.699,4.703,4.699,4.7016,11580.0
2017-06-02,4.705,4.765,4.701,4.76,562254.0
2017-06-05,4.745,4.745,4.737,4.737,140865.0
2017-06-06,4.749,4.765,4.747,4.762,268407.0
2017-06-07,4.75,4.756,4.742,4.742,359298.0
2017-06-08,4.732,4.732,4.709,4.712,216095.0
2017-06-09,4.717,4.718,4.697,4.703,84710.0
2017-06-12,4.707,4.72,4.707,4.714,34313.0
2017-06-13,4.703,4.708,4.698,4.705,254793.0
2017-06-14,4.725,4.789,4.725,4.789,15119.0
2017-06-15,4.726,4.729,4.712,4.716,63783.0
2017-06-16,4.712,4.7286,4.712,4.7286,50633.0
2017-06-19,4.726,4.734,4.724,4.728,189426.0
