Date,Open,High,Low,Close,Volume
2017-03-23,33.86,34.045,33.86,34.045,6134.0
2017-03-24,34.215,34.215,34.025,34.19,8740.0
2017-03-27,33.76,33.845,33.65,33.805,19037.0
2017-03-28,34.165,34.235,34.06,34.21,16457.0
2017-03-29,34.53,34.565,34.355,34.5,10665.0
2017-03-30,34.26,34.455,34.26,34.455,44019.0
2017-03-31,34.005,34.17,34.005,34.165,16793.0
2017-04-03,34.275,34.41,34.275,34.35,2898.0
2017-04-04,34.3,34.34,34.21,34.32,12554.0
2017-04-05,34.175,34.33,34.105,34.255,8322.0
2017-04-06,33.885,33.955,33.775,33.94,9166.0
2017-04-07,34.035,34.19,34.035,34.175,6522.0
2017-04-10,34.18,34.18,34.075,34.075,5169.0
2017-04-11,34.145,34.2,34.015,34.1,57142.0
2017-04-12,34.12,34.21,34.04,34.04,14734.0
2017-04-13,33.85,33.875,33.74,33.865,16597.0
2017-04-18,34.02,34.02,33.77,33.77,3237.0
2017-04-19,33.865,33.97,33.83,33.87,4803.0
2017-04-20,33.825,33.92,33.75,33.81,112606.0
2017-04-21,34.06,34.215,34.06,34.185,7347.0
2017-04-24,33.855,33.905,33.805,33.875,97872.0
2017-04-25,33.92,34.065,33.795,33.795,9133.0
2017-04-26,33.83,34.08,33.83,34.045,12149.0
2017-04-27,33.96,34.11,33.96,34.07,16732.0
2017-04-28,33.89,33.89,33.7,33.855,7937.0
2017-05-02,33.995,34.1,33.995,34.07,21998.0
2017-05-03,34.01,34.03,33.945,34.015,37934.0
2017-05-04,34.095,34.145,33.96,34.02,17507.0
2017-05-05,33.94,34.075,33.94,34.065,9520.0
2017-05-08,34.255,34.415,34.255,34.415,23428.0
2017-05-09,34.335,34.42,34.295,34.42,19307.0
2017-05-10,34.26,34.36,34.235,34.345,13780.0
2017-05-11,34.265,34.3,34.18,34.215,3543.0
2017-05-12,34.235,34.26,34.075,34.135,3792.0
2017-05-15,34.15,34.15,34.025,34.07,39120.0
2017-05-16,33.965,33.965,33.76,33.76,7016.0
2017-05-17,33.74,33.835,33.5,33.5,3252.0
2017-05-18,33.65,33.72,33.49,33.715,60014.0
2017-05-19,33.725,33.76,33.63,33.735,10318.0
2017-05-22,33.67,33.745,33.5,33.63,9733.0
2017-05-23,33.67,33.725,33.565,33.695,10365.0
2017-05-24,33.67,33.755,33.66,33.73,22858.0
2017-05-25,33.705,33.77,33.64,33.725,3806.0
2017-05-26,33.66,33.825,33.64,33.825,2492.0
2017-05-29,33.81,33.88,33.75,33.805,12287.0
2017-05-30,34.06,34.06,33.855,33.955,17938.0
2017-05-31,33.92,33.945,33.765,33.765,9884.0
2017-06-01,34.045,34.14,34.045,34.095,4454.0
2017-06-02,34.42,34.57,34.42,34.545,30303.0
2017-06-05,34.535,34.575,34.53,34.575,610.0
2017-06-06,34.71,34.71,34.55,34.55,8122.0
2017-06-07,34.62,34.865,34.58,34.6,207456.0
2017-06-08,34.565,34.65,34.56,34.65,5250.0
2017-06-09,34.52,34.59,34.475,34.575,7318.0
2017-06-12,34.505,34.53,34.39,34.53,17921.0
2017-06-13,34.64,34.67,34.56,34.63,6432.0
2017-06-14,34.56,34.615,34.48,34.48,8337.0
2017-06-15,34.58,34.6,34.355,34.425,37765.0
2017-06-16,34.515,34.515,34.38,34.415,16523.0
2017-06-19,34.565,34.69,34.54,34.69,22344.0
2017-06-20,34.765,34.845,34.71,34.845,9931.0
2017-06-21,34.78,34.78,34.695,34.7,7034.0
2017-06-22,34.705,34.935,34.67,34.72,19045.0
2017-06-23,34.64,34.695,34.57,34.57,1795.0
2017-06-26,34.635,34.68,34.535,34.61,3508.0
2017-06-27,34.555,34.585,34.17,34.17,12425.0
2017-06-28,33.835,34.025,33.8,34.01,16197.0
2017-06-29,33.915,33.915,33.74,33.74,6526.0
2017-06-30,33.64,33.83,33.64,33.655,4581.0
2017-07-03,33.645,33.815,33.645,33.72,4519.0
2017-07-04,33.535,33.61,33.53,33.54,5965.0
2017-07-05,33.66,33.725,33.62,33.645,5529.0
2017-07-06,33.6,33.605,33.3,33.34,16429.0
2017-07-07,33.12,33.265,33.07,33.235,5358.0
2017-07-10,33.19,33.3,33.19,33.3,17387.0
2017-07-11,33.38,33.38,33.23,33.23,21973.0
2017-07-12,33.225,33.67,33.225,33.665,2516.0
2017-07-13,33.48,33.69,33.48,33.59,3088.0
2017-07-14,33.555,33.625,33.54,33.59,29240.0
