Date,Open,High,Low,Close,Volume
2017-03-23,5.006,5.006,5.005,5.006,0.0
2017-04-24,5.02,5.02,5.015,5.017,110000.0
2017-04-25,5.043,5.043,5.043,5.043,30000.0
2017-05-02,4.98,4.98,4.98,4.98,187000.0
2017-05-11,4.995,4.995,4.995,4.995,33033.0
2017-05-23,5.073,5.073,5.073,5.073,11950.0
2017-05-26,5.135,5.135,5.135,5.135,1055.0
2017-06-12,5.17,5.17,5.16,5.16,10689.0
2017-06-15,5.19,5.19,5.19,5.19,1000.0
2017-06-28,5.075,5.075,5.075,5.075,30000.0
2017-06-30,5.032,5.032,5.032,5.032,30000.0
2017-07-06,5.015,5.015,5.012,5.012,96583.0
2017-07-12,4.988,4.988,4.988,4.988,4616.0
2017-07-26,5.068,5.068,5.068,5.068,10015.0
2017-08-01,5.063,5.063,5.063,5.063,9728.0
2017-08-03,5.045,5.045,5.045,5.045,94.0
2017-08-10,5.0535,5.0535,5.0535,5.0535,0.0
2017-08-11,5.0535,5.0535,5.0535,5.0535,0.0
2017-08-14,5.075,5.075,5.075,5.075,0.0
2017-08-15,5.08,5.08,5.08,5.08,19704.0
2017-08-16,5.093,5.093,5.093,5.093,1000.0
2017-08-17,5.1025,5.1025,5.1025,5.1025,0.0
2017-08-18,5.0515,5.0515,5.0515,5.0515,0.0
2017-08-21,5.065,5.065,5.065,5.065,0.0
2017-08-22,5.065,5.065,5.065,5.065,0.0
2017-08-23,5.05,5.05,5.05,5.05,0.0
2017-08-24,5.024,5.024,5.024,5.024,0.0
2017-08-25,5.004,5.004,5.004,5.004,0.0
2017-08-29,4.999,4.999,4.999,4.999,0.0
2017-08-30,4.994,4.994,4.994,4.994,0.0
2017-08-31,5.0075,5.0075,5.0075,5.0075,0.0
2017-09-01,5.0135,5.0135,5.0135,5.0135,0.0
2017-09-04,5.0125,5.0125,5.0125,5.0125,0.0
2017-09-05,5.024,5.024,5.024,5.024,0.0
2017-09-06,5.039,5.039,5.039,5.039,0.0
2017-09-07,5.049,5.049,5.049,5.049,0.0
2017-09-08,5.045,5.045,5.045,5.045,0.0
2017-09-11,5.06,5.06,5.06,5.06,0.0
2017-09-12,5.064,5.064,5.064,5.064,0.0
2017-09-13,5.072,5.072,5.072,5.072,30000.0
2017-09-14,5.055,5.055,5.055,5.055,0.0
2017-09-15,5.069,5.069,5.069,5.069,0.0
2017-09-18,5.084,5.084,5.084,5.084,0.0
2017-09-19,5.06,5.06,5.06,5.06,0.0
2017-09-20,5.0475,5.0475,5.0475,5.0475,0.0
2017-09-21,4.9865,4.9865,4.9865,4.9865,0.0
2017-09-22,4.9645,4.9645,4.9645,4.9645,0.0
2017-09-25,4.9825,4.9825,4.9825,4.9825,0.0
2017-09-26,5.0,5.0,5.0,5.0,0.0
2017-09-27,4.958,4.958,4.958,4.958,0.0
2017-09-28,4.9655,4.9655,4.9655,4.9655,0.0
2017-09-29,4.9695,4.9695,4.9695,4.9695,0.0
2017-10-02,4.964,4.964,4.964,4.964,0.0
2017-10-03,4.957,4.957,4.957,4.957,0.0
