Date,Open,High,Low,Close,Volume
2017-03-23,5.233,5.235,5.22,5.23,84292.0
2017-03-24,5.21,5.21,5.189,5.189,47481.0
2017-03-27,5.125,5.157,5.12,5.156,69736.0
2017-03-28,5.17,5.202,5.162,5.202,42035.0
2017-03-29,5.24,5.284,5.207,5.284,66765.0
2017-03-30,5.32,5.326,5.275,5.326,57300.0
2017-03-31,5.29,5.3,5.276,5.276,10523.0
2017-04-03,5.298,5.298,5.236,5.236,3405.0
2017-04-04,5.27,5.293,5.26,5.293,23407.0
2017-04-05,5.34,5.367,5.34,5.344,9135.0
2017-04-06,5.305,5.347,5.305,5.341,16305.0
2017-04-07,5.335,5.335,5.327,5.329,4900.0
2017-04-10,5.338,5.379,5.325,5.379,37833.0
2017-04-11,5.332,5.355,5.313,5.313,27577.0
2017-04-12,5.35,5.35,5.35,5.35,0.0
2017-04-13,5.35,5.358,5.306,5.306,19468.0
2017-04-18,5.27,5.27,5.233,5.234,122993.0
2017-04-19,5.22,5.22,5.185,5.185,49260.0
2017-04-20,5.168,5.168,5.168,5.168,0.0
2017-04-21,5.158,5.158,5.116,5.116,63377.0
2017-04-24,5.18,5.207,5.145,5.145,52839.0
2017-04-25,5.158,5.178,5.158,5.178,7547.0
2017-04-26,5.175,5.241,5.175,5.241,4600.0
2017-04-27,5.185,5.185,5.099,5.099,47351.0
2017-04-28,5.135,5.168,5.135,5.141,19772.0
2017-05-02,5.14,5.14,5.119,5.119,123051.0
2017-05-03,5.075,5.094,5.075,5.094,500.0
2017-05-04,5.115,5.115,5.02,5.021,41241.0
2017-05-05,5.085,5.085,5.064,5.064,19685.0
2017-05-08,5.091,5.091,5.091,5.091,0.0
2017-05-09,5.148,5.148,5.096,5.096,22860.0
2017-05-10,5.085,5.159,5.085,5.159,18060.0
2017-05-11,5.188,5.188,5.147,5.147,61364.0
2017-05-12,5.14,5.14,5.128,5.139,104400.0
2017-05-15,5.188,5.207,5.185,5.191,59281.0
2017-05-16,5.16,5.162,5.152,5.158,25658.0
2017-05-17,5.112,5.138,5.1,5.138,37557.0
