sma_window,atr_window,atr_multiplier,cagr,total_return,max_drawdown,win_rate,n_trades
100,14,0.5,0.193,3.982,-0.326,0.647,34
100,10,0.5,0.191,3.896,-0.326,0.611,36
100,20,0.5,0.19,3.849,-0.326,0.647,34
100,20,1.0,0.173,3.275,-0.327,0.643,28
200,14,2.0,0.169,3.132,-0.302,0.4,10
200,10,2.0,0.168,3.087,-0.308,0.4,10
200,20,2.0,0.162,2.921,-0.302,0.4,10
100,14,1.5,0.16,2.842,-0.33,0.75,16
250,10,1.0,0.154,2.667,-0.348,0.5,12
100,10,1.5,0.153,2.656,-0.33,0.778,18
200,14,1.5,0.151,2.597,-0.3,0.429,14
100,20,1.5,0.15,2.571,-0.33,0.7,20
100,10,1.0,0.149,2.531,-0.344,0.615,26
250,14,1.0,0.146,2.461,-0.348,0.5,12
250,10,1.5,0.143,2.371,-0.343,0.4,10
150,10,2.0,0.142,2.347,-0.288,0.8,10
250,14,2.0,0.142,2.34,-0.36,0.4,10
250,14,1.5,0.14,2.279,-0.343,0.4,10
200,10,1.5,0.14,2.294,-0.3,0.429,14
200,20,1.5,0.14,2.282,-0.348,0.429,14
250,20,2.0,0.139,2.264,-0.36,0.4,10
250,20,1.0,0.139,2.263,-0.348,0.5,12
250,10,2.0,0.134,2.134,-0.36,0.4,10
200,10,1.0,0.134,2.135,-0.348,0.375,16
100,14,1.0,0.133,2.11,-0.336,0.571,28
100,10,2.0,0.13,2.026,-0.348,0.857,14
250,10,0.5,0.129,2.008,-0.405,0.3,20
150,20,1.5,0.129,2.016,-0.348,0.833,12
250,20,0.5,0.128,1.983,-0.416,0.333,18
200,10,0.5,0.128,1.99,-0.395,0.364,22
250,14,0.5,0.127,1.956,-0.422,0.333,18
200,14,0.5,0.122,1.854,-0.395,0.364,22
200,20,0.5,0.122,1.854,-0.395,0.364,22
150,20,2.0,0.121,1.834,-0.348,0.833,12
200,14,1.0,0.118,1.752,-0.377,0.333,18
150,14,2.0,0.118,1.752,-0.421,0.8,10
250,20,1.5,0.117,1.73,-0.392,0.5,12
200,20,1.0,0.115,1.696,-0.364,0.3,20
100,20,2.0,0.113,1.639,-0.332,0.75,16
100,14,2.0,0.11,1.584,-0.348,0.75,16
150,10,1.5,0.096,1.302,-0.447,0.714,14
150,10,1.0,0.095,1.282,-0.424,0.556,18
150,14,1.5,0.095,1.273,-0.447,0.714,14
150,10,0.5,0.086,1.117,-0.493,0.385,26
150,14,0.5,0.08,1.02,-0.506,0.385,26
150,20,0.5,0.079,0.997,-0.511,0.385,26
150,14,1.0,0.077,0.968,-0.424,0.5,20
150,20,1.0,0.076,0.938,-0.424,0.5,20
