asset,entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
QQQ,2017-12-13,133.36,2018-02-06,127.76,74.98500299940011,-419.916016796642,35
IBZL,2018-02-07,29.495,2018-02-08,29.355,324.80366106809146,-45.47251254953335,1
QQQ,2018-02-08,131.12,2018-02-09,126.64,72.71668296715852,-325.77073969286903,1
IBZL,2018-02-12,29.045,2018-02-20,30.135,317.05425136722175,345.5891339902719,5
QQQ,2018-02-20,134.12,2018-03-23,131.66,71.23792025761428,-175.24528383373217,23
IBZL,2018-03-26,29.36,2018-05-02,28.485,319.45451570563677,-279.52270124243296,24
QQQ,2018-05-02,136.84,2018-10-10,152.94,66.4985521768128,1070.6266900466853,109
IBZL,2018-10-11,26.13,2019-02-06,31.405,389.21885074327395,2053.129437670772,76
QQQ,2019-02-06,150.39,2019-06-03,154.71,81.27813024531233,351.12152265975055,77
IDTL,2019-06-04,4.994,2019-06-10,4.9465,2517.9294213560815,-119.60164751441152,4
QQQ,2019-06-10,161.15,2019-08-05,163.26,77.28785530709189,163.07737469796302,39
IGLN,2019-08-06,28.65,2019-08-09,29.455,440.41938071329224,354.53760147420144,3
QQQ,2019-08-09,168.0,2020-02-28,186.05,77.2175765411311,1393.7772565674186,134
IDTL,2020-03-02,5.755,2020-04-17,6.323,2496.3214796659327,1417.9106004502519,32
QQQ,2020-04-17,201.16,2021-03-05,251.56,78.46610019848724,3954.6914500037583,216
IUES,2021-03-08,4.642,2021-03-09,4.653,4252.247342940856,46.77472077234779,1
QQQ,2021-03-09,257.34,2021-05-12,264.67,76.88547014340485,563.5704961511619,43
IUES,2021-05-13,4.663,2021-05-25,4.657,4363.988287123088,-26.183929722737957,8
QQQ,2021-05-25,274.34,2022-01-19,326.64,74.07994989112862,3874.381379306029,160
IUES,2022-01-20,5.94,2022-03-30,7.13,4073.648961689941,4847.642264411028,48
QQQ,2022-03-30,334.1,2022-04-06,324.75,86.93539987084489,-812.8459887924037,5
IBZL,2022-04-07,27.56,2022-07-29,22.6,1024.393001018029,-5080.989285049422,73
QQQ,2022-07-29,308.3,2022-09-16,286.71,75.09335654559668,-1621.265567819435,32
IUCS,2022-09-20,7.478,2023-02-03,7.77,2879.1142357833673,840.7013568487419,93
QQQ,2023-02-03,281.65,2023-10-20,336.84,79.42736592237445,4383.596325255847,174
IUES,2023-10-23,8.785,2023-11-06,8.498,3045.4540622985323,-874.0453158796809,10
QQQ,2023-11-06,344.25,2024-08-02,411.26,75.17870333017554,5037.724910155062,161
IGLN,2024-08-05,47.2125,2024-08-21,48.8975,654.8688065992691,1103.4539391197686,6
QQQ,2024-08-21,433.85,2024-09-05,415.59,73.8076465845056,-1347.7276266330773,8
IUCS,2024-09-06,9.275,2024-09-16,9.355,3307.139605827998,264.57116846624194,5
QQQ,2024-09-16,428.6,2025-03-05,458.7,72.18453339365591,2172.7544551490428,79
IGLN,2025-03-06,56.56,2025-06-06,65.2875,585.4145238272624,5109.205256702429,57
QQQ,2025-06-06,463.25,2026-02-05,512.15,82.50458871963819,4034.4743883902993,130
IBZL,2026-02-06,25.775,2026-04-15,28.675,1639.3685785746925,4754.168877866614,38
