asset,entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
EQQQ,2017-09-05,123.25,2017-09-06,122.14,81.31756649371046,-92.26249880801879,0
EQQQ,2017-09-13,122.58,2017-09-25,121.92,81.02488152496177,-55.47642180647381,7
EQQQ,2017-09-28,123.64,2017-12-04,131.8,79.884197538607,649.855051915034,45
IUES,2017-12-04,5.388,2017-12-11,5.332,1953.3662278374914,-111.38850875890057,5
EQQQ,2017-12-11,132.0,2018-01-02,130.38,78.87385399113259,-129.77564346563668,12
IUES,2018-01-02,5.627,2018-01-04,5.775,1826.8301196665836,268.3708577106554,2
EQQQ,2018-01-04,133.28,2018-02-05,132.82,79.12623005007895,-38.39806582303754,20
IBZL,2018-02-05,29.725,2018-02-22,30.565,353.4245878974427,294.8766538338514,12
EQQQ,2018-02-22,134.32,2018-03-05,134.64,80.39325885263055,23.7258428328405,6
IBZL,2018-03-05,30.27,2018-03-06,30.92,357.45452170195495,230.34543910627144,1
EQQQ,2018-03-06,137.04,2018-03-23,132.36,80.62240083934945,-379.3128359281527,12
IBZL,2018-03-23,28.953,2018-04-19,28.92,368.4309389388421,-14.158220984982108,17
EQQQ,2018-04-19,135.18,2018-04-23,133.24,78.79140963242574,-154.85533468690664,1
IGLN,2018-04-23,26.23,2018-04-27,25.8675,400.0826313162183,-147.02995385213035,4
EQQQ,2018-04-27,135.0,2018-06-26,147.98,76.63064789312797,992.6658096528008,38
IUES,2018-06-26,5.798,2018-06-28,5.935,1955.123020908085,265.85185386440753,2
EQQQ,2018-06-28,149.38,2018-07-03,149.48,77.65199577647265,5.765199577646854,2
IUES,2018-07-03,5.882,2018-07-10,6.015,1972.699817862484,260.36907577571037,4
EQQQ,2018-07-10,152.0,2018-07-31,150.44,78.03808818712396,-123.73941757191278,14
IUCS,2018-07-31,4.97,2018-08-03,5.093,2361.378266976042,288.4495268380542,3
EQQQ,2018-08-03,155.92,2018-09-18,156.0,77.10684654764613,4.16854772381339,28
IUCS,2018-09-18,5.11,2018-09-28,5.06,2353.1640041942846,-119.6582002097166,8
EQQQ,2018-09-28,160.5,2018-10-08,157.46,74.16205521011264,-227.45264783874336,5
IBZL,2018-10-08,26.605,2018-12-03,28.358,438.7730581989978,767.1691710228424,39
EQQQ,2018-12-03,150.0,2018-12-07,145.82,82.92484256271452,-348.6258419121459,2
IBZL,2018-12-07,26.815,2019-01-16,30.045,450.79621638989494,1454.071778939362,23
EQQQ,2019-01-16,143.3,2019-05-10,165.31,94.48829254315697,2077.687318874885,75
IUCS,2019-05-10,5.375,2019-06-14,5.617,2905.276212150564,701.0768433404355,24
EQQQ,2019-06-14,162.53,2019-08-05,167.36,100.38107723896951,482.8406030642218,34
IGLN,2019-08-05,28.5,2019-09-05,30.315,589.3255118145241,1067.6258039433633,20
EQQQ,2019-09-05,172.92,2019-10-03,169.16,103.29286890271398,-390.3811870742029,19
IGLN,2019-10-03,29.3275,2019-10-14,29.135,595.6532845821532,-116.66325728206357,7
EQQQ,2019-10-14,173.95,2019-12-04,182.03,99.74336560104074,803.9263940564124,35
EEA,2019-12-04,9.18,2019-12-05,9.29,1977.373076291661,215.51103839208372,1
EQQQ,2019-12-05,183.89,2020-02-26,200.62,99.87381520881794,1668.8889284435281,51
IGLN,2020-02-26,32.18,2020-04-08,32.1325,622.5197267617482,-31.5696870211832,30
EQQQ,2020-04-08,181.68,2020-07-27,220.3,110.0787930436585,4249.242987346093,71
EEA,2020-07-27,9.05,2020-08-04,9.03,2679.1555919909356,-55.58311183982005,6
EQQQ,2020-08-04,230.6,2020-09-14,232.86,104.89494794309691,235.0625823513983,26
EEA,2020-09-14,9.59,2020-10-01,9.39,2546.5941165828517,-511.31882331656743,13
EQQQ,2020-10-01,239.46,2020-10-29,235.37,99.84347596555992,-410.3598166991396,19
SEGA,2020-10-29,122.42,2020-11-05,122.45,191.9307215978912,3.757921647938929,5
EQQQ,2020-11-05,250.26,2021-02-23,267.7,93.89401766028043,1635.5116679952916,69
IUES,2021-02-23,4.251,2021-03-17,4.544,5911.8862685620015,1730.1826766886625,16
EQQQ,2021-03-17,270.55,2021-03-19,264.0,99.27780892384303,-652.2696484511725,1
IUES,2021-03-19,4.366,2021-03-23,4.279,6002.139614268109,-524.1861464413232,2
EQQQ,2021-03-23,268.6,2021-03-26,266.75,95.60370591754742,-178.8668559474645,2
IUES,2021-03-26,4.392,2021-03-30,4.424,5805.621255351952,183.77988017125972,2
EQQQ,2021-03-30,269.12,2021-05-05,276.47,95.42237081479277,699.3544254887274,22
