bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.1,0.15,0.5,50,0.169,3.135,-0.263,1.0,9,0.156
0.1,0.15,0.4,50,0.169,3.135,-0.263,1.0,9,0.156
0.1,0.15,0.3,50,0.169,3.135,-0.263,1.0,9,0.156
0.1,0.15,0.2,50,0.169,3.135,-0.263,1.0,9,0.156
0.1,0.15,0.1,50,0.169,3.135,-0.263,1.0,9,0.156
0.05,0.1,0.1,50,0.165,3.002,-0.261,0.897,29,0.11
0.05,0.15,0.1,50,0.165,3.002,-0.261,0.897,29,0.11
0.05,0.15,0.2,50,0.161,2.87,-0.259,0.897,29,0.11
0.05,0.1,0.2,50,0.161,2.87,-0.259,0.897,29,0.11
0.1,0.15,0.5,60,0.159,2.816,-0.263,1.0,9,0.146
0.1,0.15,0.4,60,0.159,2.816,-0.263,1.0,9,0.146
0.1,0.15,0.3,60,0.159,2.816,-0.263,1.0,9,0.146
0.1,0.15,0.1,60,0.159,2.816,-0.263,1.0,9,0.146
0.1,0.15,0.2,60,0.159,2.816,-0.263,1.0,9,0.146
0.05,0.15,0.3,50,0.156,2.74,-0.256,0.9,30,0.112
0.05,0.1,0.3,50,0.156,2.74,-0.256,0.9,30,0.112
0.05,0.15,0.1,60,0.155,2.698,-0.261,0.857,28,0.101
0.05,0.1,0.1,60,0.155,2.698,-0.261,0.857,28,0.101
0.05,0.1,0.4,50,0.152,2.612,-0.258,0.897,29,0.11
0.05,0.15,0.4,50,0.152,2.612,-0.258,0.897,29,0.11
0.05,0.1,0.2,60,0.151,2.582,-0.259,0.857,28,0.101
0.05,0.15,0.2,60,0.151,2.582,-0.259,0.857,28,0.101
0.07,0.1,0.2,50,0.15,2.57,-0.273,1.0,12,0.103
0.07,0.1,0.5,50,0.15,2.57,-0.273,1.0,12,0.103
0.07,0.1,0.4,50,0.15,2.57,-0.273,1.0,12,0.103
0.07,0.1,0.3,50,0.15,2.57,-0.273,1.0,12,0.103
0.07,0.1,0.1,50,0.15,2.57,-0.273,1.0,12,0.103
0.05,0.15,0.5,50,0.148,2.494,-0.267,0.897,29,0.11
0.05,0.1,0.5,50,0.148,2.494,-0.267,0.897,29,0.11
0.05,0.15,0.3,60,0.147,2.468,-0.256,0.857,28,0.101
0.05,0.1,0.3,60,0.147,2.468,-0.256,0.857,28,0.101
0.1,0.15,0.1,30,0.144,2.4,-0.263,1.0,9,0.129
0.1,0.15,0.4,30,0.144,2.4,-0.263,1.0,9,0.129
0.1,0.15,0.3,30,0.144,2.4,-0.263,1.0,9,0.129
0.1,0.15,0.2,30,0.144,2.4,-0.263,1.0,9,0.129
0.1,0.15,0.5,30,0.144,2.4,-0.263,1.0,9,0.129
0.07,0.1,0.2,30,0.143,2.381,-0.28,0.929,14,0.084
0.05,0.1,0.4,60,0.143,2.356,-0.258,0.857,28,0.101
0.05,0.15,0.4,60,0.143,2.356,-0.258,0.857,28,0.101
0.07,0.1,0.1,30,0.143,2.381,-0.28,0.929,14,0.084
0.07,0.1,0.3,30,0.143,2.381,-0.28,0.929,14,0.084
0.07,0.1,0.5,30,0.143,2.381,-0.28,0.929,14,0.084
0.07,0.1,0.4,30,0.143,2.381,-0.28,0.929,14,0.084
0.05,0.15,0.1,30,0.142,2.354,-0.261,0.875,32,0.093
0.05,0.1,0.1,30,0.142,2.354,-0.261,0.875,32,0.093
0.05,0.1,0.2,30,0.141,2.305,-0.259,0.875,32,0.093
0.05,0.15,0.2,30,0.141,2.305,-0.259,0.875,32,0.093
0.05,0.15,0.3,30,0.139,2.253,-0.256,0.875,32,0.093
0.05,0.1,0.3,30,0.139,2.253,-0.256,0.875,32,0.093
0.05,0.1,0.5,60,0.138,2.247,-0.267,0.857,28,0.101
0.05,0.15,0.5,60,0.138,2.247,-0.267,0.857,28,0.101
0.05,0.1,0.4,30,0.136,2.197,-0.254,0.875,32,0.093
0.05,0.15,0.4,30,0.136,2.197,-0.254,0.875,32,0.093
0.1,0.3,0.5,50,0.135,2.153,-0.245,1.0,14,0.225
0.1,0.2,0.5,50,0.135,2.153,-0.245,1.0,14,0.225
0.05,0.15,0.5,30,0.134,2.139,-0.252,0.871,31,0.091
0.05,0.1,0.5,30,0.134,2.139,-0.252,0.871,31,0.091
0.05,0.15,0.1,75,0.134,2.143,-0.261,0.893,28,0.085
0.05,0.1,0.1,75,0.134,2.143,-0.261,0.893,28,0.085
0.07,0.1,0.1,60,0.132,2.088,-0.273,0.933,15,0.074
0.07,0.1,0.3,60,0.132,2.088,-0.273,0.933,15,0.074
0.07,0.1,0.2,60,0.132,2.088,-0.273,0.933,15,0.074
0.07,0.1,0.5,60,0.132,2.088,-0.273,0.933,15,0.074
0.07,0.1,0.4,60,0.132,2.088,-0.273,0.933,15,0.074
0.05,0.1,0.2,75,0.13,2.042,-0.259,0.893,28,0.085
0.05,0.15,0.2,75,0.13,2.042,-0.259,0.893,28,0.085
0.05,0.3,0.5,50,0.129,2.016,-0.245,0.933,45,0.179
0.05,0.2,0.3,50,0.129,2.01,-0.261,0.923,39,0.151
0.1,0.3,0.5,60,0.129,2.008,-0.245,1.0,14,0.217
0.05,0.2,0.4,50,0.129,2.001,-0.258,0.923,39,0.151
0.05,0.2,0.5,50,0.129,2.01,-0.249,0.925,40,0.157
0.05,0.2,0.2,50,0.129,2.005,-0.263,0.919,37,0.144
0.1,0.2,0.5,60,0.129,2.008,-0.245,1.0,14,0.217
0.05,0.2,0.1,50,0.128,1.979,-0.263,0.919,37,0.144
0.1,0.2,0.4,50,0.128,1.978,-0.245,1.0,14,0.225
0.1,0.3,0.4,50,0.128,1.978,-0.245,1.0,14,0.225
0.07,0.3,0.5,50,0.127,1.961,-0.263,1.0,26,0.186
0.05,0.3,0.4,50,0.127,1.964,-0.245,0.932,44,0.173
0.05,0.1,0.3,75,0.126,1.942,-0.256,0.897,29,0.086
0.05,0.15,0.3,75,0.126,1.942,-0.256,0.897,29,0.086
0.05,0.3,0.3,50,0.125,1.911,-0.251,0.93,43,0.167
0.07,0.2,0.5,50,0.123,1.881,-0.263,1.0,21,0.148
0.1,0.3,0.4,60,0.123,1.86,-0.245,1.0,14,0.217
0.07,0.15,0.5,50,0.123,1.881,-0.263,1.0,21,0.148
0.05,0.3,0.2,50,0.123,1.879,-0.258,0.929,42,0.162
0.05,0.3,0.5,30,0.123,1.862,-0.245,0.915,47,0.137
0.12,0.3,0.1,50,0.123,1.858,-0.245,1.0,12,0.305
0.05,0.3,0.1,50,0.123,1.863,-0.26,0.929,42,0.162
0.1,0.2,0.4,60,0.123,1.86,-0.245,1.0,14,0.217
0.05,0.2,0.5,30,0.122,1.84,-0.249,0.907,43,0.124
