hold_pct,bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.1,0.1,0.15,0.3,50,0.17,3.167,-0.263,1.0,9,0.156
0.1,0.1,0.15,0.2,50,0.17,3.167,-0.263,1.0,9,0.156
0.1,0.1,0.15,0.1,50,0.17,3.167,-0.263,1.0,9,0.156
0.1,0.1,0.15,0.05,50,0.17,3.167,-0.263,1.0,9,0.156
0.1,0.05,0.15,0.05,50,0.17,3.162,-0.263,0.913,23,0.1
0.1,0.05,0.15,0.1,50,0.17,3.152,-0.263,0.875,24,0.096
0.1,0.05,0.1,0.05,50,0.17,3.162,-0.263,0.913,23,0.1
0.1,0.05,0.1,0.1,50,0.17,3.152,-0.263,0.875,24,0.096
0.05,0.1,0.15,0.3,50,0.17,3.151,-0.263,1.0,9,0.156
0.05,0.1,0.15,0.2,50,0.17,3.151,-0.263,1.0,9,0.156
0.05,0.1,0.15,0.05,50,0.17,3.151,-0.263,1.0,9,0.156
0.05,0.1,0.15,0.1,50,0.17,3.151,-0.263,1.0,9,0.156
0.05,0.05,0.15,0.05,50,0.169,3.144,-0.263,0.875,24,0.096
0.05,0.05,0.1,0.05,50,0.169,3.144,-0.263,0.875,24,0.096
0.01,0.1,0.15,0.2,50,0.169,3.139,-0.263,1.0,9,0.156
0.01,0.1,0.15,0.3,50,0.169,3.139,-0.263,1.0,9,0.156
0.01,0.1,0.15,0.1,50,0.169,3.139,-0.263,1.0,9,0.156
0.01,0.1,0.15,0.05,50,0.169,3.139,-0.263,1.0,9,0.156
0.01,0.05,0.15,0.05,50,0.168,3.086,-0.262,0.889,27,0.107
0.01,0.05,0.1,0.05,50,0.168,3.086,-0.262,0.889,27,0.107
0.05,0.05,0.1,0.1,50,0.167,3.083,-0.262,0.885,26,0.105
0.05,0.05,0.15,0.1,50,0.167,3.083,-0.262,0.885,26,0.105
0.1,0.05,0.15,0.2,50,0.166,3.027,-0.261,0.88,25,0.102
0.01,0.05,0.1,0.1,50,0.166,3.022,-0.261,0.885,26,0.103
0.1,0.05,0.1,0.2,50,0.166,3.027,-0.261,0.88,25,0.102
0.01,0.05,0.15,0.1,50,0.166,3.022,-0.261,0.885,26,0.103
0.05,0.05,0.1,0.2,50,0.163,2.953,-0.26,0.88,25,0.102
0.05,0.05,0.15,0.2,50,0.163,2.953,-0.26,0.88,25,0.102
0.1,0.05,0.1,0.1,60,0.162,2.898,-0.263,0.826,23,0.086
0.1,0.05,0.15,0.1,60,0.162,2.898,-0.263,0.826,23,0.086
0.01,0.05,0.15,0.2,50,0.161,2.893,-0.259,0.885,26,0.105
0.1,0.1,0.15,0.1,60,0.161,2.886,-0.263,1.0,9,0.146
0.1,0.05,0.15,0.05,60,0.161,2.893,-0.263,0.826,23,0.086
0.1,0.05,0.1,0.3,50,0.161,2.896,-0.259,0.885,26,0.105
0.1,0.05,0.1,0.05,60,0.161,2.893,-0.263,0.826,23,0.086
0.01,0.05,0.1,0.2,50,0.161,2.893,-0.259,0.885,26,0.105
0.1,0.1,0.15,0.3,60,0.161,2.886,-0.263,1.0,9,0.146
0.1,0.05,0.15,0.3,50,0.161,2.896,-0.259,0.885,26,0.105
0.1,0.1,0.15,0.2,60,0.161,2.886,-0.263,1.0,9,0.146
0.1,0.1,0.15,0.05,60,0.161,2.886,-0.263,1.0,9,0.146
0.05,0.1,0.15,0.3,60,0.16,2.851,-0.263,1.0,9,0.146
0.05,0.1,0.15,0.1,60,0.16,2.851,-0.263,1.0,9,0.146
0.05,0.05,0.1,0.05,60,0.16,2.857,-0.263,0.826,23,0.086
0.05,0.1,0.15,0.2,60,0.16,2.851,-0.263,1.0,9,0.146
0.05,0.1,0.15,0.05,60,0.16,2.851,-0.263,1.0,9,0.146
0.05,0.05,0.15,0.05,60,0.16,2.857,-0.263,0.826,23,0.086
0.05,0.05,0.15,0.1,60,0.159,2.809,-0.262,0.852,27,0.103
0.05,0.05,0.1,0.1,60,0.159,2.809,-0.262,0.852,27,0.103
0.01,0.1,0.15,0.05,60,0.159,2.823,-0.263,1.0,9,0.146
0.01,0.1,0.15,0.1,60,0.159,2.823,-0.263,1.0,9,0.146
0.01,0.1,0.15,0.3,60,0.159,2.823,-0.263,1.0,9,0.146
0.01,0.1,0.15,0.2,60,0.159,2.823,-0.263,1.0,9,0.146
0.05,0.05,0.1,0.3,50,0.159,2.823,-0.258,0.88,25,0.102
0.05,0.05,0.15,0.3,50,0.159,2.823,-0.258,0.88,25,0.102
0.1,0.05,0.1,0.2,60,0.158,2.799,-0.261,0.846,26,0.102
0.01,0.05,0.1,0.05,60,0.158,2.78,-0.262,0.846,26,0.102
0.1,0.05,0.15,0.2,60,0.158,2.799,-0.261,0.846,26,0.102
0.01,0.05,0.15,0.05,60,0.158,2.78,-0.262,0.846,26,0.102
0.01,0.05,0.15,0.3,50,0.157,2.764,-0.257,0.893,28,0.113
0.01,0.05,0.1,0.3,50,0.157,2.764,-0.257,0.893,28,0.113
0.01,0.05,0.1,0.1,60,0.156,2.722,-0.261,0.84,25,0.096
0.01,0.05,0.15,0.1,60,0.156,2.722,-0.261,0.84,25,0.096
0.05,0.05,0.15,0.2,60,0.155,2.693,-0.26,0.84,25,0.096
0.05,0.05,0.1,0.2,60,0.155,2.693,-0.26,0.84,25,0.096
0.1,0.05,0.15,0.3,60,0.154,2.682,-0.259,0.84,25,0.096
