entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days,entry_peak
2017-05-18,123.35,2017-06-05,128.06,81.07012565869478,381.84029185245345,12,127.89
2017-06-13,125.35,2017-10-27,130.86,82.82281844317873,456.3537296219165,97,128.64
2017-11-16,131.07,2017-12-12,133.78,82.69011994716084,224.09022505680696,18,133.54
2017-12-28,132.4,2018-01-08,136.38,83.55199581972188,332.5369433624928,6,135.42
2018-02-05,132.82,2018-02-27,139.06,85.79145602991771,535.338685626688,16,138.62
2018-03-05,134.64,2018-03-09,140.36,88.60784221271805,506.8368574567503,4,139.06
2018-03-20,136.44,2018-05-10,142.82,91.15359669434996,581.5599469099525,34,142.16
2018-06-26,147.98,2018-07-13,154.97,87.97510933833668,614.946014274974,13,153.96
2018-07-31,150.44,2018-08-06,156.82,90.6241870125102,578.182313139816,4,155.9
2018-08-23,157.27,2018-08-30,161.04,90.36488209640649,340.67560550344933,5,160.38
2018-09-06,158.36,2018-10-01,162.61,91.89416906292813,390.5502185174446,17,161.87
2018-10-08,157.46,2019-04-02,163.69,94.89972584353323,591.2252920052106,121,162.61
2019-05-08,167.48,2019-07-11,172.35,92.75218607193669,451.7031461703318,46,171.95
2019-08-05,167.36,2019-10-25,177.14,95.51768205962169,934.1629305430979,58,176.99
2019-12-03,184.2,2019-12-16,188.46,91.85668946819428,391.309497134509,9,187.8
2020-01-28,200.36,2020-02-04,206.56,86.40103661996353,535.6864270437727,5,204.63
2020-02-24,209.24,2020-06-23,221.81,85.29438981179347,1072.1504799342438,83,220.66
2020-06-29,214.53,2020-07-01,222.0,88.18882489234097,658.7705219457857,2,221.81
2020-07-15,229.75,2020-08-21,239.88,85.21401143024895,863.2179357884197,27,238.34
2020-09-04,240.79,2020-10-13,253.9,84.89196836200887,1112.9337052259361,27,253.83
2020-10-16,248.75,2020-12-07,254.28,86.64953072206654,479.1719048930281,36,253.9
2020-12-14,250.0,2020-12-28,256.86,88.13297068802832,604.5921789198765,8,255.11
2021-02-01,262.75,2021-02-02,273.07,86.15731627374674,889.1435039450662,1,271.46
2021-02-23,267.7,2021-04-06,281.67,87.8856120839448,1227.7620008127124,28,279.7
2021-04-21,280.41,2021-06-17,291.28,88.28051908164734,959.6092424175004,41,286.04
2021-07-20,304.24,2021-07-23,313.58,84.51995003320482,789.4163333101314,3,310.59
2021-07-28,309.65,2021-08-06,314.05,85.5926560032694,376.607686414387,7,313.58
2021-09-21,314.95,2021-10-21,324.02,85.3480667338522,774.1069652760416,22,323.94
2021-11-24,355.23,2023-12-07,361.9,77.84950759536862,519.2562156611057,521,360.96
2024-01-05,363.9,2024-01-15,375.84,77.42164550361062,924.4144473131091,6,375.27
2024-02-01,390.4,2024-02-02,398.35,74.53419888851694,592.5468811637147,1,397.11
2024-02-21,396.4,2024-03-01,411.04,74.90085299505733,1096.5484878476454,7,409.44
2024-03-12,404.6,2024-03-21,415.44,76.09304650293714,824.8486240918355,7,411.53
2024-04-10,409.4,2024-04-12,415.74,77.21566985632684,489.5473468891141,2,415.44
2024-04-18,402.45,2024-05-15,416.15,79.76554251725511,1092.787932486397,18,415.74
2024-06-03,419.05,2024-06-05,426.05,79.21353184239521,554.4947228967649,2,425.42
2024-07-18,445.0,2024-11-06,470.81,75.84028144146625,1957.4376640042392,78,463.81
2024-11-18,475.2,2024-11-22,487.19,75.13965257882307,900.9244344200924,4,486.87
2024-12-20,494.35,2025-01-22,514.32,74.05135499115366,1478.8055591733428,18,513.07
2025-01-28,497.0,2025-02-10,515.8,76.63197766408481,1440.6811800847863,9,514.32
2025-02-25,497.25,2025-10-06,521.32,79.49074726824523,1913.3422867466652,155,520.37
2025-10-13,519.6,2025-10-24,533.46,79.75388061178138,1105.3887852792905,9,529.22
2025-11-07,535.0,2026-04-17,552.86,79.52430869375868,1420.304153270532,108,549.75
