asset,entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
EEA,2017-08-21,9.3,2017-08-25,9.45,1075.268817204301,161.290322580644,4
IGLN,2017-08-25,25.315,2017-08-29,25.9975,401.39404789968967,273.95143769153765,1
IBZL,2017-08-29,26.44,2017-09-25,28.7,394.6763146850295,891.9684711881655,18
IUES,2017-09-25,5.21,2017-10-06,5.27,2174.1286432745387,130.44771859647153,9
IBZL,2017-10-06,29.36,2017-10-09,28.9,390.24720538340665,-179.51371447636666,1
IUES,2017-10-09,5.258,2017-10-18,5.273,2144.9494552264077,32.17424182839568,7
EQQQ,2017-10-18,127.49,2017-11-29,132.66,88.71533828071887,458.6582989113176,29
IDTL,2017-11-29,4.779,2017-11-30,4.737,2462.644230240671,-103.4310576701082,1
IUCS,2017-11-30,5.14,2017-12-21,5.2765,2269.561423861879,309.79513435714944,15
IUES,2017-12-21,5.46,2018-01-04,5.775,2193.2858705141402,690.8850492119545,7
IBZL,2018-01-04,28.55,2018-01-09,29.155,443.65064456109144,268.40863995945983,3
IUES,2018-01-09,5.842,2018-01-11,5.83,2214.0764365249265,-26.568917238297217,2
IBZL,2018-01-11,28.89,2018-01-12,29.005,446.8004716144106,51.38205423565705,1
IUES,2018-01-12,5.925,2018-01-19,5.9,2187.2485534474226,-54.681213836183815,4
IBZL,2018-01-19,29.5,2018-02-09,28.67,437.44971068948456,-363.0832598722718,15
IGLN,2018-02-09,25.8825,2018-02-12,25.99,484.56227974374667,52.090445072451985,1
SEGA,2018-02-12,108.015,2018-02-13,107.95,116.59282183530043,-7.578533419293308,1
IBZL,2018-02-13,29.16,2018-02-20,30.135,431.6253469520124,420.8347132782128,4
IGLN,2018-02-20,26.3,2018-02-21,26.0675,494.56387187828494,-114.98610021170316,1
IBZL,2018-02-21,30.64,2018-02-27,31.4,420.7586073820885,319.77654161038663,4
EQQQ,2018-02-27,138.76,2018-03-01,138.28,95.21346405158243,-45.70246274475903,2
IBZL,2018-03-01,30.82,2018-03-05,30.27,427.1939587622589,-234.95667731924368,2
SEGA,2018-03-05,108.56,2018-03-07,109.02,119.11533835421496,54.79305564293827,2
IBZL,2018-03-07,30.523,2018-03-08,30.275,425.44815999005715,-105.51114367753507,1
EQQQ,2018-03-08,137.1,2018-03-23,132.36,93.94925633624347,-445.3194750337916,11
IDTL,2018-03-23,4.516,2018-04-06,4.528,2753.5703207850283,33.042843849418205,8
IUES,2018-04-06,5.298,2018-04-09,5.267,2353.3722937928665,-72.95454110757782,1
IDTL,2018-04-09,4.541,2018-04-10,4.552,2729.6216409176454,30.025838050090897,1
IUES,2018-04-10,5.358,2018-05-17,6.032,2319.0066646989776,1563.0104920071117,25
EQQQ,2018-05-17,143.26,2018-05-21,144.22,97.64238588206223,93.7366904467799,2
IUES,2018-05-21,6.092,2018-05-23,6.06,2311.5536592106064,-73.96971709474019,2
EQQQ,2018-05-23,143.4,2018-06-26,147.98,97.68490359007164,447.39685844252745,23
IUCS,2018-06-26,4.84,2018-07-10,4.891,2986.6553787724797,152.31942431739662,9
IBZL,2018-07-10,23.32,2018-07-11,23.074,626.4035787982932,-154.0952803843793,1
IUCS,2018-07-11,4.897,2018-07-18,4.927,2951.5287272190767,88.54586181657032,5
IBZL,2018-07-18,24.345,2018-07-20,24.34,597.3375247076767,-2.986687623537364,2
IUCS,2018-07-20,4.932,2018-07-23,4.91,2947.930930937723,-64.85448048062972,1
IBZL,2018-07-23,24.695,2018-08-14,24.542,586.1243519297113,-89.67702584524523,16
EQQQ,2018-08-14,159.77,2018-08-20,158.88,90.03357229178805,-80.1298793396927,3
IUCS,2018-08-20,5.145,2018-08-29,5.038,2780.278710538248,-297.48982202759,6
EQQQ,2018-08-29,159.31,2018-09-07,156.9,87.9231946751095,-211.89489916701496,6
IDTL,2018-09-07,4.508,2018-09-10,4.481,3060.1484570817834,-82.62400834120854,1
EQQQ,2018-09-10,158.38,2018-09-11,157.55,86.57990425674625,-71.86132053309848,1
IUCS,2018-09-11,5.09,2018-09-19,5.117,2679.8946789097,72.35715633056316,6
IUES,2018-09-19,5.868,2018-09-21,5.905,2336.9156564384684,86.46587928822373,2
EEA,2018-09-21,9.5,2018-09-25,9.49,1452.577573817806,-14.525775738178709,2
IUES,2018-09-25,6.023,2018-09-28,5.975,2288.7201021967426,-109.85856490544393,3
IBZL,2018-09-28,23.48,2018-11-08,28.05,582.4149323094351,2661.6362406541175,29
IUCS,2018-11-08,5.315,2018-11-09,5.32,3073.7043934674793,15.368521967337074,1
IBZL,2018-11-09,27.441,2018-11-12,27.69,595.9005638732915,148.37924040445068,1
IUCS,2018-11-12,5.34,2018-11-20,5.191,3089.978766601394,-460.40683622360666,6
IBZL,2018-11-20,27.735,2018-11-21,27.45,578.3335055860045,-164.8250490920109,1
IDTL,2018-11-21,4.33,2018-11-23,4.354,3666.340583911276,87.99217401387068,1
IUCS,2018-11-23,5.102,2018-11-26,5.165,3128.8214234319275,197.11574967620982,1
IDTL,2018-11-26,4.338,2018-11-28,4.339,3725.30259382801,3.725302593829838,2
