fast_ema,slow_ema,signal_ema,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
15,45,12,0.119,1.781,-0.192,0.492,65,0.016
15,45,9,0.115,1.682,-0.198,0.466,73,0.014
12,45,12,0.106,1.497,-0.198,0.472,72,0.013
8,26,9,0.103,1.435,-0.197,0.461,102,0.009
8,24,9,0.102,1.422,-0.176,0.456,103,0.009
10,26,7,0.101,1.404,-0.184,0.467,105,0.009
10,24,7,0.101,1.392,-0.176,0.456,103,0.009
15,45,7,0.099,1.348,-0.239,0.434,83,0.011
12,20,7,0.099,1.35,-0.191,0.461,102,0.009
10,45,12,0.096,1.309,-0.259,0.434,76,0.011
15,20,9,0.095,1.273,-0.262,0.433,90,0.009
10,20,9,0.094,1.258,-0.214,0.446,101,0.008
12,26,9,0.094,1.271,-0.249,0.424,92,0.009
15,30,12,0.091,1.204,-0.213,0.405,74,0.011
12,24,7,0.091,1.215,-0.197,0.431,102,0.008
12,45,9,0.09,1.193,-0.246,0.438,80,0.01
15,30,4,0.09,1.184,-0.202,0.427,117,0.007
10,30,7,0.09,1.197,-0.219,0.453,106,0.008
8,20,4,0.09,1.185,-0.216,0.432,148,0.005
15,26,12,0.09,1.188,-0.252,0.446,74,0.011
15,45,4,0.089,1.169,-0.243,0.431,109,0.007
10,24,12,0.087,1.131,-0.262,0.422,90,0.009
8,26,7,0.087,1.136,-0.198,0.416,113,0.007
4,24,7,0.086,1.11,-0.207,0.429,147,0.005
8,45,7,0.086,1.122,-0.212,0.415,106,0.007
8,30,9,0.086,1.109,-0.219,0.429,105,0.007
8,24,4,0.085,1.102,-0.22,0.429,140,0.005
8,20,12,0.085,1.104,-0.231,0.41,100,0.008
12,30,12,0.085,1.104,-0.26,0.449,78,0.01
8,45,9,0.085,1.096,-0.235,0.408,98,0.008
8,45,12,0.085,1.095,-0.256,0.424,85,0.009
15,24,7,0.085,1.1,-0.252,0.417,96,0.008
8,20,7,0.085,1.104,-0.238,0.417,120,0.006
4,26,7,0.084,1.089,-0.2,0.425,146,0.005
4,30,7,0.084,1.078,-0.232,0.438,146,0.005
8,26,4,0.084,1.078,-0.221,0.44,141,0.005
12,24,9,0.084,1.086,-0.266,0.426,94,0.008
10,26,12,0.083,1.057,-0.253,0.412,85,0.009
15,24,12,0.083,1.066,-0.264,0.456,79,0.01
8,30,4,0.083,1.056,-0.241,0.434,143,0.005
10,45,7,0.082,1.043,-0.235,0.4,100,0.007
15,24,9,0.082,1.04,-0.273,0.407,86,0.009
4,24,9,0.082,1.055,-0.22,0.436,140,0.005
12,30,9,0.081,1.028,-0.24,0.411,90,0.008
15,26,7,0.081,1.022,-0.235,0.442,95,0.008
15,24,4,0.081,1.03,-0.191,0.385,117,0.006
15,26,4,0.081,1.025,-0.196,0.395,114,0.006
8,45,4,0.081,1.032,-0.216,0.412,136,0.005
10,20,12,0.081,1.022,-0.28,0.426,94,0.008
10,24,9,0.08,1.009,-0.253,0.418,98,0.007
10,26,9,0.08,1.006,-0.268,0.424,99,0.007
12,45,4,0.08,1.016,-0.221,0.39,118,0.006
8,30,12,0.08,1.007,-0.235,0.442,95,0.008
4,45,12,0.08,1.016,-0.221,0.39,118,0.006
8,26,12,0.08,1.011,-0.268,0.408,98,0.007
4,45,7,0.079,0.99,-0.208,0.431,144,0.005
10,20,4,0.079,0.992,-0.22,0.428,138,0.005
12,20,9,0.079,0.996,-0.247,0.424,99,0.007
12,45,7,0.079,0.995,-0.265,0.402,92,0.008
8,24,12,0.078,0.981,-0.268,0.42,100,0.007
4,45,9,0.078,0.98,-0.207,0.4,130,0.005
12,26,7,0.078,0.979,-0.219,0.41,100,0.007
12,30,7,0.078,0.974,-0.239,0.414,99,0.007
12,20,12,0.077,0.969,-0.266,0.414,87,0.008
15,30,7,0.077,0.96,-0.25,0.402,92,0.008
15,30,9,0.077,0.964,-0.26,0.439,82,0.008
15,20,7,0.077,0.969,-0.231,0.404,99,0.007
8,20,9,0.076,0.943,-0.233,0.427,110,0.006
4,20,9,0.076,0.95,-0.238,0.43,142,0.005
8,30,7,0.075,0.928,-0.198,0.405,116,0.006
8,24,7,0.075,0.935,-0.241,0.41,117,0.006
4,20,4,0.074,0.915,-0.236,0.455,202,0.003
4,26,9,0.074,0.914,-0.241,0.432,139,0.004
4,20,7,0.073,0.902,-0.235,0.431,160,0.004
10,20,7,0.073,0.905,-0.227,0.416,113,0.006
10,30,9,0.073,0.9,-0.253,0.414,99,0.007
4,20,12,0.072,0.881,-0.243,0.426,129,0.005
12,20,4,0.072,0.881,-0.243,0.426,129,0.005
12,30,4,0.072,0.883,-0.216,0.398,123,0.005
15,20,4,0.072,0.881,-0.216,0.417,120,0.005
10,30,12,0.072,0.885,-0.273,0.393,84,0.008
4,30,12,0.072,0.883,-0.216,0.398,123,0.005
12,24,12,0.071,0.869,-0.29,0.424,85,0.008
15,26,9,0.071,0.864,-0.273,0.393,84,0.008
10,45,9,0.069,0.83,-0.27,0.382,89,0.007
12,26,12,0.068,0.82,-0.299,0.41,83,0.007
4,30,9,0.067,0.797,-0.241,0.414,140,0.004
10,26,4,0.067,0.804,-0.241,0.414,133,0.004
10,24,4,0.066,0.781,-0.241,0.426,136,0.004
4,26,12,0.065,0.78,-0.216,0.4,125,0.004
12,26,4,0.065,0.78,-0.216,0.4,125,0.004
4,24,4,0.064,0.753,-0.258,0.442,206,0.002
10,30,4,0.064,0.759,-0.216,0.396,134,0.004
10,45,4,0.063,0.74,-0.215,0.389,126,0.004
12,24,4,0.061,0.71,-0.239,0.389,126,0.004
4,24,12,0.061,0.71,-0.239,0.389,126,0.004
15,20,12,0.061,0.717,-0.299,0.41,83,0.007
4,26,4,0.058,0.668,-0.275,0.425,200,0.002
4,30,4,0.054,0.62,-0.279,0.419,198,0.002
4,45,4,0.05,0.555,-0.257,0.435,186,0.002
