entry_date,entry_price,exit_date,exit_price,shares,pnl
2017-07-18,124.21,2017-08-01,122.15,80.50881571532084,-165.84816037355995
2017-09-04,122.7,2017-11-17,131.5,80.14793675327172,705.3018434287915
2017-12-18,134.82,2017-12-27,132.365,78.17425962806135,-191.91780738688976
2018-01-09,136.88,2018-02-01,136.36,75.59567413550805,-39.30975055046292
2018-02-22,134.32,2018-03-22,134.46,76.74379187848332,10.74413086298955
2018-04-19,135.18,2018-06-25,147.28,76.33503666208661,923.6539436112471
2018-07-17,152.02,2018-07-30,150.68,73.95490198389761,-99.09956865842287
2018-08-09,157.49,2018-08-22,156.95,70.75702984909323,-38.2087961185116
2018-09-03,162.02,2018-09-05,158.32,68.5428702309294,-253.6086198544399
2018-10-02,161.7,2018-10-05,157.22,67.11012501521795,-300.65336006817597
2018-11-09,153.8,2018-11-15,147.42,68.60243078603747,-437.68350841492065
2018-11-30,148.55,2018-12-18,140.07,68.08058126205079,-577.3233291021916
2019-01-11,140.29,2019-03-08,152.3,67.97381864263635,816.3655618980629
2019-03-12,156.37,2019-05-07,167.69,66.20459537810012,749.4360196800935
2019-06-14,162.53,2019-08-02,168.87,68.30645787826008,433.0629429481687
2019-09-03,170.57,2019-09-26,173.01,67.62567592133306,165.00664924805278
2019-10-16,175.85,2019-12-03,180.82,66.53351260250118,330.67155763443225
2019-12-19,189.0,2020-01-30,201.02,63.65391401473155,765.1200464570738
2020-02-06,209.88,2020-02-24,205.62,60.96678957138049,-259.7185235740799
2020-04-01,169.57,2020-05-29,207.23,73.92811978337711,2784.132991041981
2020-06-22,218.49,2020-06-26,217.05,70.11819425469925,-100.97019972676753
2020-07-03,226.35,2020-07-17,227.49,67.23726115742201,76.65047771946229
2020-08-20,233.13,2020-09-07,238.32,65.6106230030538,340.5191333858493
2020-10-05,236.89,2020-10-22,239.89,66.00668527201563,198.0200558160468
2020-11-09,253.42,2020-12-11,248.14,62.482612776828304,-329.90819546165403
2020-12-29,257.8,2021-01-04,253.56,60.14133256183931,-254.99925006219928
2021-01-11,262.46,2021-02-19,276.24,58.1019442367598,800.644791582552
2021-03-24,270.51,2021-04-29,280.99,59.33267190108509,621.8064015233722
2021-05-31,275.15,2021-07-21,306.48,60.59199519347956,1898.347209411717
2021-07-26,313.95,2021-07-27,307.05,59.15029363560318,-408.1370260856602
2021-08-31,324.26,2021-09-08,322.86,56.010909951310545,-78.41527393183424
2021-10-19,321.81,2021-11-30,350.25,56.1936620579849,1598.1477489290883
2022-01-03,353.85,2022-01-04,350.94,55.62195884077776,-161.85990022666374
2022-03-02,308.8,2022-03-14,292.95,63.2123388457984,-1001.9155707059072
2022-03-17,309.4,2022-04-13,318.6,59.851501825716355,550.6338167965914
2022-06-01,289.1,2022-06-14,266.16,65.95879793038128,-1513.0948245229483
2022-06-27,280.5,2022-08-26,313.55,62.58678665650724,2068.493298997564
2022-10-25,283.92,2022-11-04,265.34,69.11836769564611,-1284.2192717851067
2022-11-14,278.55,2022-12-08,269.65,65.84048710954134,-585.9803352749186
2022-12-15,267.65,2022-12-15,261.56,66.3324765517946,-403.96478220042627
2023-01-11,254.8,2023-02-23,278.59,68.09231776643405,1619.9162396634638
2023-03-21,287.5,2023-04-12,287.64,65.98204802278559,9.23748672318834
2023-05-10,294.5,2023-06-21,332.02,64.44508079210203,2417.979431319669
2023-08-02,346.83,2023-08-02,344.67,61.693209135869786,-133.25733173347544
2023-09-01,349.65,2023-09-19,345.59,60.81452421810451,-246.90696832550384
2023-10-12,351.9,2023-10-20,336.84,59.724044968839834,-899.444117230727
2023-11-08,349.9,2024-01-02,370.24,57.49484797743359,1169.445207861001
2024-01-18,376.8,2024-02-20,395.44,56.49387610181797,1053.0458505378847
2024-05-09,410.5,2024-06-03,416.87,54.42128712716905,346.66359900006864
2024-06-06,428.05,2024-07-12,458.21,52.99988778110726,1598.4766154781937
2024-08-21,433.85,2024-09-05,415.59,55.975748715411214,-1022.1171715434139
2024-09-16,428.6,2024-11-01,453.65,54.27662484516505,1359.6294523713805
2024-11-08,479.45,2024-11-29,484.95,51.3559096068602,282.4575028377294
2024-12-03,493.25,2024-12-23,502.64,50.49173515224907,474.1173930796176
2025-02-12,512.1,2025-02-12,509.28,49.55900362610129,-139.7563902256079
2025-02-17,517.3,2025-02-24,502.72,48.79066183394716,-711.3678495389468
2025-03-28,446.45,2025-03-28,436.64,54.940175870000935,-538.9631252847103
2025-04-25,416.73,2025-06-16,463.3,57.56503825469058,2680.803831520938
2025-07-04,473.35,2025-08-06,488.0,56.3428376959927,825.4225722462943
2025-08-12,496.05,2025-08-19,492.6,55.42849469941425,-191.2283067129756
2025-09-15,503.2,2025-10-16,521.49,54.26088332458558,992.4315560066716
2025-10-27,539.5,2025-11-07,521.69,52.44950518060822,-934.1256872666308
2025-12-08,539.1,2025-12-11,530.13,50.75567122550826,-455.2783708928109
2026-01-08,535.8,2026-01-20,526.45,50.21855913919129,-469.54352795143495
2026-02-26,524.2,2026-03-20,509.16,50.43410999394745,-758.5290143089733
