sma_window,band_pct,cagr,max_dd,trades,win_rate
25,0.03,0.211,-0.265,31,0.677
25,0.01,0.206,-0.415,62,0.548
100,0.02,0.182,-0.289,14,0.714
100,0.03,0.149,-0.357,12,0.583
25,0.0,0.147,-0.403,125,0.496
50,0.0,0.146,-0.355,94,0.404
75,0.05,0.136,-0.33,10,0.6
75,0.0,0.134,-0.347,58,0.483
100,0.01,0.133,-0.326,26,0.615
75,0.02,0.124,-0.357,24,0.708
25,0.02,0.124,-0.343,40,0.625
125,0.02,0.124,-0.315,12,0.583
175,0.05,0.123,-0.322,7,0.857
75,0.01,0.121,-0.37,34,0.647
200,0.03,0.116,-0.311,11,0.545
250,0.02,0.112,-0.322,13,0.615
150,0.03,0.112,-0.307,7,0.857
250,0.03,0.107,-0.33,9,0.667
50,0.05,0.106,-0.298,18,0.611
175,0.02,0.105,-0.36,15,0.533
50,0.01,0.1,-0.409,38,0.526
125,0.01,0.098,-0.405,22,0.455
250,0.05,0.097,-0.354,7,0.714
175,0.03,0.095,-0.374,9,0.667
50,0.03,0.094,-0.325,24,0.667
250,0.01,0.092,-0.391,15,0.4
200,0.02,0.092,-0.334,16,0.5
200,0.0,0.092,-0.368,32,0.406
75,0.03,0.086,-0.419,20,0.55
200,0.01,0.085,-0.395,18,0.444
50,0.02,0.084,-0.393,28,0.607
100,0.0,0.084,-0.448,50,0.44
175,0.01,0.084,-0.375,20,0.4
125,0.03,0.083,-0.307,10,0.7
25,0.05,0.078,-0.263,20,0.55
250,0.0,0.078,-0.392,25,0.36
125,0.05,0.076,-0.351,8,0.75
100,0.05,0.075,-0.425,8,0.75
200,0.05,0.072,-0.348,5,0.8
150,0.0,0.072,-0.407,38,0.342
150,0.01,0.067,-0.428,22,0.318
175,0.0,0.063,-0.466,28,0.429
125,0.0,0.055,-0.406,54,0.37
150,0.05,0.053,-0.406,7,0.857
150,0.02,0.041,-0.424,16,0.438
