sma_window,atr_window,atr_multiplier,alt_lookback,cagr,max_dd,trades,win_rate
50,10,0.5,21,0.278,-0.231,42,0.643
50,14,0.4,21,0.278,-0.236,48,0.583
50,20,0.45,21,0.277,-0.236,38,0.658
60,14,0.25,21,0.274,-0.261,52,0.558
60,14,0.45,21,0.273,-0.247,36,0.694
60,20,0.4,21,0.27,-0.261,38,0.684
60,14,0.4,21,0.269,-0.261,38,0.684
60,10,0.4,21,0.269,-0.261,38,0.684
60,3,0.4,21,0.267,-0.252,36,0.694
50,14,0.45,21,0.267,-0.236,46,0.63
60,20,0.45,21,0.267,-0.247,34,0.706
60,14,0.15,21,0.266,-0.261,60,0.567
60,10,0.45,21,0.266,-0.247,36,0.694
60,7,0.45,21,0.265,-0.252,36,0.694
60,20,0.15,21,0.263,-0.266,60,0.567
60,7,0.4,21,0.263,-0.261,40,0.675
60,10,0.35,21,0.263,-0.261,40,0.65
60,7,0.1,21,0.262,-0.266,66,0.53
60,5,0.2,21,0.262,-0.261,54,0.556
60,10,0.15,21,0.262,-0.266,60,0.567
60,7,0.2,21,0.261,-0.261,58,0.552
60,5,0.15,21,0.26,-0.266,58,0.552
60,7,0.35,21,0.26,-0.261,42,0.643
60,14,0.35,21,0.26,-0.261,42,0.619
60,7,0.15,21,0.26,-0.266,58,0.552
60,10,0.2,21,0.258,-0.261,56,0.536
60,14,0.2,21,0.258,-0.261,56,0.536
60,10,0.1,21,0.257,-0.266,64,0.531
50,3,0.45,21,0.256,-0.236,40,0.6
60,10,0.25,21,0.256,-0.261,52,0.558
60,5,0.35,21,0.256,-0.261,42,0.643
60,3,0.1,21,0.255,-0.266,66,0.53
60,5,0.05,21,0.255,-0.266,70,0.514
60,3,0.35,21,0.254,-0.261,42,0.667
60,20,0.35,21,0.254,-0.261,44,0.591
50,3,0.5,21,0.254,-0.236,40,0.6
60,10,0.05,21,0.253,-0.266,70,0.514
60,14,0.05,21,0.253,-0.266,70,0.514
60,7,0.05,21,0.253,-0.266,70,0.514
60,5,0.1,21,0.253,-0.266,64,0.531
60,3,0.05,21,0.253,-0.266,70,0.514
60,20,0.05,21,0.253,-0.266,68,0.515
50,14,0.5,21,0.252,-0.236,38,0.684
60,5,0.3,21,0.252,-0.261,44,0.636
60,10,0.3,21,0.251,-0.261,46,0.587
50,20,0.5,21,0.25,-0.236,36,0.667
50,10,0.45,21,0.25,-0.236,48,0.583
60,3,0.5,21,0.25,-0.247,34,0.676
60,20,0.3,21,0.25,-0.261,46,0.565
60,14,0.3,21,0.25,-0.261,46,0.565
60,20,0.1,21,0.249,-0.266,64,0.531
60,14,0.1,21,0.249,-0.266,64,0.531
60,3,0.3,21,0.249,-0.261,46,0.609
60,3,0.15,21,0.249,-0.261,62,0.516
50,5,0.5,21,0.249,-0.236,40,0.625
50,3,0.4,21,0.248,-0.267,46,0.565
60,5,0.45,21,0.248,-0.252,34,0.676
60,20,0.25,21,0.248,-0.261,52,0.558
60,14,0.5,21,0.247,-0.247,36,0.694
60,10,0.5,21,0.247,-0.247,34,0.676
50,7,0.5,21,0.247,-0.236,44,0.591
50,5,0.45,21,0.247,-0.236,46,0.609
60,3,0.45,21,0.246,-0.247,34,0.676
50,7,0.45,21,0.246,-0.236,46,0.587
60,5,0.5,21,0.246,-0.247,32,0.688
60,20,0.2,21,0.246,-0.261,56,0.554
60,7,0.5,21,0.244,-0.247,32,0.688
35,5,0.05,126,0.24,-0.326,87,0.552
60,20,0.5,21,0.24,-0.247,34,0.706
50,20,0.45,126,0.24,-0.305,38,0.553
60,3,0.25,21,0.238,-0.261,46,0.609
35,14,0.05,126,0.238,-0.326,85,0.541
35,20,0.05,126,0.236,-0.326,85,0.541
60,3,0.2,21,0.236,-0.261,58,0.534
35,7,0.05,126,0.236,-0.326,87,0.552
35,3,0.05,126,0.236,-0.326,87,0.552
35,10,0.05,126,0.235,-0.326,85,0.541
60,7,0.25,21,0.233,-0.261,48,0.583
75,14,0.2,21,0.233,-0.248,44,0.636
35,5,0.1,21,0.232,-0.272,82,0.561
60,5,0.25,21,0.231,-0.261,48,0.583
60,5,0.4,21,0.231,-0.261,40,0.625
35,7,0.1,21,0.23,-0.272,84,0.56
60,7,0.3,21,0.229,-0.261,46,0.587
35,3,0.1,21,0.228,-0.272,84,0.56
75,20,0.2,21,0.228,-0.248,46,0.609
60,14,0.45,126,0.225,-0.314,36,0.639
60,14,0.25,126,0.224,-0.334,52,0.558
60,5,0.2,126,0.224,-0.334,54,0.556
60,10,0.45,126,0.223,-0.314,36,0.639
50,20,0.4,21,0.221,-0.293,44,0.568
75,3,0.5,21,0.221,-0.243,28,0.714
30,10,0.3,63,0.221,-0.281,72,0.528
40,20,0.5,63,0.22,-0.276,44,0.636
50,14,0.4,126,0.22,-0.305,48,0.479
60,20,0.45,126,0.219,-0.314,34,0.647
60,14,0.15,126,0.219,-0.334,60,0.55
