sma_window,atr_window,atr_multiplier,alt_lookback,cagr,max_dd,trades,win_rate
50,10,0.5,21,0.256,-0.255,42,0.595
35,14,0.05,126,0.249,-0.32,85,0.553
35,5,0.05,126,0.248,-0.32,87,0.563
35,3,0.05,126,0.247,-0.32,87,0.563
35,10,0.05,126,0.247,-0.32,85,0.553
35,7,0.05,126,0.247,-0.32,87,0.563
50,20,0.45,21,0.247,-0.255,38,0.658
50,14,0.4,21,0.247,-0.255,48,0.562
35,20,0.05,126,0.247,-0.32,85,0.553
60,14,0.45,21,0.244,-0.274,36,0.722
60,5,0.45,21,0.241,-0.279,34,0.647
60,3,0.4,21,0.24,-0.279,36,0.694
60,20,0.45,21,0.239,-0.274,34,0.735
60,3,0.45,21,0.239,-0.274,34,0.676
60,10,0.45,21,0.239,-0.274,36,0.694
60,5,0.5,21,0.239,-0.274,32,0.688
60,7,0.45,21,0.238,-0.279,36,0.667
60,14,0.4,21,0.237,-0.298,38,0.658
60,10,0.4,21,0.237,-0.298,38,0.658
50,14,0.45,21,0.237,-0.255,46,0.609
60,7,0.5,21,0.237,-0.274,32,0.688
60,3,0.5,21,0.235,-0.274,34,0.676
60,20,0.4,21,0.234,-0.298,38,0.658
60,10,0.5,21,0.234,-0.274,34,0.676
60,14,0.5,21,0.233,-0.274,36,0.694
60,20,0.5,21,0.233,-0.274,34,0.735
50,14,0.5,21,0.233,-0.255,38,0.658
50,3,0.45,21,0.233,-0.255,40,0.575
35,7,0.1,126,0.232,-0.32,81,0.556
50,10,0.45,21,0.232,-0.255,48,0.583
60,10,0.35,21,0.231,-0.298,40,0.625
50,3,0.4,21,0.23,-0.263,46,0.565
50,5,0.45,21,0.23,-0.255,46,0.587
60,7,0.4,21,0.23,-0.298,40,0.625
50,3,0.5,21,0.229,-0.255,40,0.575
35,3,0.1,126,0.229,-0.32,81,0.543
50,20,0.5,21,0.229,-0.255,36,0.667
50,7,0.45,21,0.229,-0.255,46,0.565
60,7,0.35,21,0.228,-0.298,42,0.571
50,7,0.5,21,0.228,-0.255,44,0.568
10,5,0.5,63,0.225,-0.379,115,0.53
50,5,0.5,21,0.225,-0.255,40,0.6
60,5,0.35,21,0.224,-0.298,42,0.571
10,5,0.45,63,0.223,-0.379,125,0.528
35,3,0.3,63,0.223,-0.296,65,0.585
10,3,0.45,63,0.222,-0.379,119,0.529
60,3,0.35,21,0.222,-0.298,42,0.571
35,14,0.45,63,0.222,-0.296,55,0.636
50,20,0.45,126,0.222,-0.31,38,0.553
10,7,0.5,63,0.221,-0.355,114,0.535
10,3,0.5,63,0.221,-0.342,112,0.554
60,5,0.4,21,0.22,-0.298,40,0.575
60,5,0.3,21,0.22,-0.298,44,0.545
75,3,0.5,21,0.219,-0.233,28,0.643
60,14,0.35,21,0.217,-0.298,42,0.595
35,3,0.2,63,0.217,-0.292,73,0.534
60,10,0.15,21,0.217,-0.292,60,0.55
25,14,0.2,63,0.216,-0.348,82,0.5
30,14,0.3,63,0.216,-0.309,72,0.542
60,20,0.15,21,0.216,-0.292,60,0.55
35,5,0.2,63,0.216,-0.292,73,0.534
75,7,0.5,21,0.216,-0.239,31,0.645
75,14,0.45,21,0.216,-0.25,33,0.697
60,7,0.1,21,0.216,-0.292,66,0.53
35,14,0.2,63,0.215,-0.292,69,0.551
60,14,0.25,21,0.215,-0.298,52,0.5
75,14,0.4,21,0.215,-0.25,35,0.686
10,10,0.45,63,0.215,-0.379,118,0.525
60,14,0.15,21,0.215,-0.298,60,0.533
25,7,0.2,63,0.215,-0.348,82,0.512
30,14,0.25,63,0.215,-0.32,74,0.527
75,5,0.5,21,0.215,-0.239,31,0.645
30,10,0.3,63,0.214,-0.295,72,0.542
30,10,0.25,63,0.214,-0.308,74,0.527
35,5,0.15,63,0.214,-0.292,73,0.534
40,14,0.05,63,0.214,-0.292,93,0.57
40,20,0.1,63,0.214,-0.292,91,0.549
40,10,0.05,63,0.214,-0.292,93,0.57
30,14,0.35,63,0.213,-0.304,68,0.559
10,10,0.5,63,0.213,-0.379,114,0.526
10,14,0.5,63,0.213,-0.379,107,0.533
60,10,0.1,21,0.213,-0.292,64,0.531
10,7,0.45,63,0.213,-0.379,120,0.525
35,5,0.3,63,0.213,-0.292,67,0.582
75,10,0.4,21,0.213,-0.25,33,0.667
60,14,0.45,126,0.213,-0.323,36,0.667
40,14,0.35,63,0.213,-0.292,64,0.609
35,3,0.25,63,0.213,-0.292,73,0.548
35,5,0.25,63,0.212,-0.292,71,0.535
35,7,0.3,63,0.212,-0.296,63,0.571
60,5,0.15,21,0.212,-0.292,58,0.517
40,14,0.1,63,0.212,-0.292,91,0.549
40,7,0.1,63,0.212,-0.292,91,0.549
60,7,0.15,21,0.212,-0.292,58,0.517
25,10,0.2,63,0.212,-0.348,84,0.512
20,20,0.4,63,0.212,-0.403,74,0.554
35,10,0.4,63,0.212,-0.296,57,0.632
40,5,0.2,63,0.211,-0.292,75,0.56
60,10,0.45,126,0.211,-0.323,36,0.639
10,20,0.45,63,0.211,-0.375,114,0.526
