label,train_end,test_start,test_end,strategy,best_params,cagr,max_dd,trades,win_rate,avg_ret
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,Buy&Hold,—,0.7124527090829837,-0.1185045108931175,0,,
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,SMACross,"{'sma_window': 25, 'band_pct': 0.01}",0.235,-0.123,8,0.5,0.028
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,ATR-SMA,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 21}",-0.022,-0.272,13,0.538,0.004
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,ATR-SMA-C,"{'sma_window': 30, 'atr_window': 14, 'atr_multiplier': 0.25, 'alt_lookback': 63}",0.143,-0.138,9,0.444,0.017
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,Buy&Hold,—,0.20211227273368415,-0.18841422872340433,0,,
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,SMACross,"{'sma_window': 25, 'band_pct': 0.01}",0.436,-0.109,9,0.556,0.042
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,ATR-SMA,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3, 'alt_lookback': 21}",0.114,-0.148,8,0.5,0.013
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,ATR-SMA-C,"{'sma_window': 10, 'atr_window': 20, 'atr_multiplier': 0.35, 'alt_lookback': 63}",0.133,-0.173,20,0.5,0.005
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,Buy&Hold,—,-0.10989096754346028,-0.26273890098094743,0,,
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,SMACross,"{'sma_window': 25, 'band_pct': 0.01}",-0.012,-0.197,15,0.4,-0.0
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,ATR-SMA,"{'sma_window': 25, 'atr_window': 20, 'atr_multiplier': 0.5, 'alt_lookback': 63}",-0.019,-0.202,13,0.385,-0.001
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,ATR-SMA-C,"{'sma_window': 25, 'atr_window': 20, 'atr_multiplier': 0.45, 'alt_lookback': 63}",-0.057,-0.21,15,0.4,-0.003
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,Buy&Hold,—,0.4352158182265964,-0.07196659801957873,0,,
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,SMACross,"{'sma_window': 30, 'band_pct': 0.01}",0.136,-0.173,8,0.375,0.018
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,ATR-SMA,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.076,-0.149,8,0.25,-0.012
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,ATR-SMA-C,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.065,-0.161,7,0.143,-0.015
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,Buy&Hold,—,0.0765965661549397,-0.16582431731268124,0,,
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,SMACross,"{'sma_window': 35, 'band_pct': 0.0}",0.299,-0.082,7,0.714,0.035
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,ATR-SMA,"{'sma_window': 60, 'atr_window': 14, 'atr_multiplier': 0.45, 'alt_lookback': 21}",-0.038,-0.117,5,0.4,0.005
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,ATR-SMA-C,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",-0.013,-0.165,3,0.667,0.018
