test_year,rank,params,train_cagr,cagr,max_dd,trades,bh_cagr,bh_dd
2017,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.076,-0.034,0,0.1024959006855215,-0.07423818407960167
2017,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.117,-0.034,3,0.1024959006855215,-0.07423818407960167
2017,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.117,-0.034,3,0.1024959006855215,-0.07423818407960167
2017,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.117,-0.034,3,0.1024959006855215,-0.07423818407960167
2017,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.117,-0.034,3,0.1024959006855215,-0.07423818407960167
2018,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.065,-0.109,5,0.019453303160553714,-0.18971772953692892
2018,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,-0.111,-0.205,16,0.019453303160553714,-0.18971772953692892
2018,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,-0.11,-0.205,16,0.019453303160553714,-0.18971772953692892
2018,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,-0.11,-0.205,16,0.019453303160553714,-0.18971772953692892
2018,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,-0.11,-0.205,16,0.019453303160553714,-0.18971772953692892
2019,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.099,-0.102,10,0.39699631530400215,-0.10026170398371603
2019,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.232,-0.068,10,0.39699631530400215,-0.10026170398371603
2019,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.234,-0.068,12,0.39699631530400215,-0.10026170398371603
2019,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.234,-0.068,12,0.39699631530400215,-0.10026170398371603
2019,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.232,-0.068,10,0.39699631530400215,-0.10026170398371603
2020,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.219,-0.148,4,0.3344553611610801,-0.2853711592495241
2020,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.203,-0.178,11,0.3344553611610801,-0.2853711592495241
2020,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.203,-0.178,11,0.3344553611610801,-0.2853711592495241
2020,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.203,-0.178,11,0.3344553611610801,-0.2853711592495241
2020,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.203,-0.178,11,0.3344553611610801,-0.2853711592495241
2021,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.441,-0.094,8,0.41704418734450255,-0.10060779406506949
2021,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.175,-0.096,13,0.41704418734450255,-0.10060779406506949
2021,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.17,-0.096,13,0.41704418734450255,-0.10060779406506949
2021,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.175,-0.096,13,0.41704418734450255,-0.10060779406506949
2021,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.175,-0.096,13,0.41704418734450255,-0.10060779406506949
2022,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,-0.074,-0.255,5,-0.30488761284792554,-0.30483553556367715
2022,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.201,-0.201,8,-0.30488761284792554,-0.30483553556367715
2022,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.201,-0.201,8,-0.30488761284792554,-0.30483553556367715
2022,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.201,-0.201,8,-0.30488761284792554,-0.30483553556367715
2022,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.201,-0.201,8,-0.30488761284792554,-0.30483553556367715
2023,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.086,-0.161,7,0.45371384394042313,-0.07196659801957858
2023,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.107,-0.176,12,0.45371384394042313,-0.07196659801957858
2023,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.107,-0.176,12,0.45371384394042313,-0.07196659801957858
2023,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.107,-0.176,12,0.45371384394042313,-0.07196659801957858
2023,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.107,-0.176,12,0.45371384394042313,-0.07196659801957858
2024,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.142,-0.165,4,0.35168582773996016,-0.13602552769453005
2024,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.114,-0.134,5,0.35168582773996016,-0.13602552769453005
2024,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.114,-0.134,5,0.35168582773996016,-0.13602552769453005
2024,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.114,-0.134,5,0.35168582773996016,-0.13602552769453005
2024,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.114,-0.134,5,0.35168582773996016,-0.13602552769453005
2025,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.172,-0.068,3,0.05653612881348846,-0.26909698868113086
2025,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.259,-0.065,5,0.05653612881348846,-0.26909698868113086
2025,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.259,-0.065,5,0.05653612881348846,-0.26909698868113086
2025,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.259,-0.065,5,0.05653612881348846,-0.26909698868113086
2025,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.259,-0.065,5,0.05653612881348846,-0.26909698868113086
2026,1,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 0.5, 'alt_lookback': 21}",0.256,0.333,-0.006,0,0.29018068508079287,-0.08843110857016404
2026,2,"{'sma_window': 35, 'atr_window': 14, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.249,0.154,-0.047,3,0.29018068508079287,-0.08843110857016404
2026,3,"{'sma_window': 35, 'atr_window': 5, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.248,0.154,-0.047,3,0.29018068508079287,-0.08843110857016404
2026,4,"{'sma_window': 35, 'atr_window': 3, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.154,-0.047,3,0.29018068508079287,-0.08843110857016404
2026,5,"{'sma_window': 35, 'atr_window': 10, 'atr_multiplier': 0.05, 'alt_lookback': 126}",0.247,0.154,-0.047,3,0.29018068508079287,-0.08843110857016404
