sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
15,20,0.35,0.249,-0.222,95,0.568
15,20,0.1,0.243,-0.253,146,0.575
15,20,0.05,0.242,-0.304,154,0.558
15,20,0.3,0.24,-0.261,99,0.576
15,14,0.3,0.239,-0.219,101,0.594
15,14,0.35,0.238,-0.222,97,0.557
15,10,0.25,0.237,-0.239,109,0.569
15,20,0.4,0.236,-0.245,93,0.57
15,20,0.2,0.236,-0.264,118,0.534
15,20,0.25,0.236,-0.261,111,0.559
15,10,0.3,0.235,-0.22,101,0.564
15,20,0.15,0.233,-0.276,130,0.554
15,14,0.25,0.228,-0.261,111,0.577
15,14,0.1,0.228,-0.253,150,0.567
15,14,0.05,0.227,-0.304,156,0.551
15,10,0.2,0.226,-0.237,124,0.548
15,10,0.4,0.226,-0.245,91,0.56
15,14,0.4,0.226,-0.222,93,0.559
15,14,0.45,0.224,-0.277,85,0.565
15,10,0.1,0.222,-0.253,148,0.554
15,10,0.35,0.222,-0.222,95,0.558
15,14,0.2,0.221,-0.264,126,0.556
15,10,0.45,0.221,-0.277,85,0.576
15,14,0.5,0.221,-0.283,79,0.57
15,20,0.45,0.218,-0.277,85,0.565
15,20,0.5,0.218,-0.305,81,0.58
15,10,0.05,0.217,-0.304,156,0.532
15,14,0.15,0.217,-0.276,132,0.561
15,10,0.15,0.216,-0.276,134,0.56
15,5,0.5,0.212,-0.256,83,0.566
5,14,0.45,0.212,-0.231,182,0.533
5,14,0.5,0.21,-0.222,179,0.525
10,14,0.4,0.209,-0.217,129,0.519
10,5,0.5,0.209,-0.238,116,0.509
10,3,0.5,0.208,-0.219,114,0.526
15,10,0.5,0.208,-0.305,81,0.568
5,20,0.5,0.206,-0.255,173,0.543
10,10,0.5,0.205,-0.238,114,0.509
10,7,0.5,0.204,-0.24,114,0.491
10,20,0.45,0.204,-0.217,113,0.522
10,20,0.4,0.202,-0.217,121,0.512
10,10,0.45,0.201,-0.238,118,0.492
5,10,0.4,0.2,-0.205,196,0.536
15,7,0.2,0.198,-0.237,123,0.537
15,5,0.2,0.198,-0.237,126,0.556
10,5,0.45,0.197,-0.221,126,0.5
10,7,0.45,0.197,-0.221,120,0.483
10,3,0.45,0.197,-0.262,120,0.508
10,14,0.45,0.197,-0.217,114,0.509
10,14,0.35,0.194,-0.242,131,0.496
75,5,0.05,0.192,-0.329,52,0.596
15,5,0.25,0.192,-0.239,111,0.532
15,5,0.1,0.19,-0.272,148,0.554
20,14,0.4,0.19,-0.455,71,0.592
15,5,0.45,0.189,-0.245,91,0.516
75,5,0.15,0.189,-0.329,46,0.609
15,5,0.15,0.188,-0.276,132,0.538
5,7,0.4,0.188,-0.174,196,0.526
20,14,0.5,0.188,-0.455,69,0.623
20,14,0.1,0.188,-0.449,96,0.583
20,20,0.45,0.187,-0.455,69,0.609
20,14,0.45,0.187,-0.455,69,0.609
10,7,0.35,0.186,-0.242,133,0.489
15,7,0.1,0.186,-0.253,150,0.553
15,7,0.25,0.186,-0.239,111,0.532
15,7,0.15,0.185,-0.276,132,0.545
10,7,0.4,0.185,-0.238,129,0.481
10,20,0.35,0.185,-0.242,131,0.504
20,20,0.5,0.184,-0.455,67,0.597
15,7,0.45,0.184,-0.277,87,0.563
20,20,0.4,0.184,-0.455,73,0.589
15,5,0.3,0.184,-0.241,105,0.524
10,5,0.4,0.184,-0.234,132,0.508
5,10,0.45,0.183,-0.206,190,0.532
20,20,0.2,0.182,-0.469,88,0.557
15,7,0.3,0.181,-0.263,103,0.534
15,5,0.4,0.18,-0.245,93,0.527
20,20,0.1,0.18,-0.459,98,0.582
20,20,0.25,0.179,-0.496,82,0.573
10,10,0.35,0.179,-0.234,135,0.504
5,10,0.5,0.178,-0.21,179,0.514
10,10,0.4,0.178,-0.217,123,0.488
10,3,0.35,0.178,-0.266,132,0.492
20,14,0.35,0.178,-0.482,77,0.597
15,7,0.35,0.178,-0.226,99,0.535
20,20,0.05,0.178,-0.441,109,0.569
20,14,0.05,0.177,-0.441,109,0.56
30,20,0.25,0.177,-0.284,77,0.468
30,20,0.2,0.177,-0.292,81,0.506
20,20,0.15,0.177,-0.47,94,0.564
15,5,0.35,0.177,-0.227,97,0.536
15,7,0.05,0.176,-0.305,156,0.526
75,5,0.1,0.176,-0.329,52,0.596
5,10,0.35,0.176,-0.191,199,0.518
10,5,0.3,0.175,-0.289,139,0.482
15,5,0.05,0.174,-0.305,156,0.526
15,7,0.5,0.174,-0.297,81,0.556
20,20,0.3,0.174,-0.486,80,0.562
20,14,0.15,0.173,-0.485,94,0.564
15,7,0.4,0.173,-0.245,97,0.515
20,14,0.2,0.172,-0.485,90,0.556
5,7,0.35,0.171,-0.174,205,0.527
10,3,0.4,0.17,-0.266,130,0.492
5,20,0.4,0.169,-0.263,189,0.529
20,14,0.3,0.169,-0.501,80,0.562
20,20,0.35,0.168,-0.487,80,0.562
30,20,0.3,0.168,-0.283,69,0.493
10,3,0.3,0.168,-0.312,139,0.482
20,14,0.25,0.168,-0.511,84,0.571
10,14,0.5,0.167,-0.29,108,0.519
5,7,0.45,0.167,-0.254,185,0.535
5,20,0.45,0.166,-0.232,184,0.538
10,14,0.3,0.166,-0.242,141,0.475
20,5,0.45,0.165,-0.455,71,0.563
10,5,0.35,0.164,-0.242,135,0.489
60,20,0.45,0.164,-0.329,34,0.647
10,5,0.25,0.163,-0.289,147,0.497
25,20,0.2,0.163,-0.383,84,0.512
60,14,0.45,0.163,-0.329,36,0.639
20,5,0.4,0.162,-0.455,76,0.566
5,14,0.4,0.162,-0.23,194,0.526
60,14,0.4,0.16,-0.349,37,0.595
60,3,0.5,0.159,-0.329,34,0.618
75,5,0.25,0.159,-0.378,40,0.675
60,14,0.15,0.159,-0.349,59,0.593
25,20,0.25,0.158,-0.383,79,0.519
60,20,0.4,0.157,-0.349,37,0.595
60,3,0.2,0.157,-0.349,57,0.544
10,10,0.3,0.156,-0.289,139,0.482
10,7,0.3,0.156,-0.289,143,0.49
30,20,0.5,0.156,-0.344,52,0.558
60,20,0.5,0.156,-0.329,34,0.618
5,7,0.5,0.155,-0.258,179,0.52
75,20,0.05,0.154,-0.349,54,0.556
10,20,0.5,0.154,-0.266,106,0.528
10,10,0.25,0.154,-0.289,147,0.463
20,5,0.15,0.154,-0.449,92,0.554
10,7,0.25,0.153,-0.289,147,0.476
60,7,0.2,0.153,-0.349,57,0.561
20,5,0.25,0.153,-0.466,84,0.548
10,7,0.2,0.153,-0.244,157,0.478
20,5,0.3,0.153,-0.487,78,0.526
60,20,0.25,0.153,-0.349,51,0.569
20,5,0.35,0.152,-0.487,78,0.551
30,20,0.35,0.152,-0.302,67,0.522
60,20,0.2,0.152,-0.349,55,0.6
60,3,0.15,0.151,-0.349,61,0.525
60,14,0.2,0.151,-0.349,55,0.582
10,20,0.3,0.151,-0.289,139,0.475
75,5,0.3,0.151,-0.378,40,0.625
20,5,0.1,0.151,-0.459,94,0.553
75,20,0.15,0.15,-0.349,50,0.58
60,10,0.2,0.149,-0.349,55,0.582
20,10,0.5,0.149,-0.455,69,0.565
30,20,0.4,0.149,-0.353,61,0.525
10,3,0.25,0.148,-0.284,147,0.469
60,14,0.5,0.148,-0.329,36,0.583
5,3,0.45,0.147,-0.218,192,0.51
20,10,0.45,0.147,-0.455,71,0.549
75,14,0.05,0.147,-0.349,54,0.556
60,20,0.35,0.147,-0.349,43,0.558
75,5,0.35,0.146,-0.378,36,0.639
5,14,0.25,0.146,-0.262,234,0.53
5,3,0.5,0.146,-0.205,185,0.519
75,5,0.4,0.146,-0.378,36,0.639
30,20,0.45,0.146,-0.353,53,0.547
60,14,0.35,0.145,-0.349,41,0.561
30,14,0.2,0.144,-0.294,83,0.482
60,20,0.3,0.144,-0.349,45,0.533
10,5,0.2,0.144,-0.241,157,0.478
20,3,0.4,0.144,-0.487,74,0.541
60,10,0.25,0.143,-0.349,51,0.569
10,20,0.2,0.143,-0.244,155,0.452
20,10,0.1,0.143,-0.459,96,0.552
75,14,0.15,0.143,-0.349,50,0.58
20,3,0.45,0.143,-0.491,73,0.534
20,3,0.3,0.143,-0.497,78,0.526
20,3,0.35,0.143,-0.497,76,0.513
10,14,0.2,0.142,-0.244,155,0.452
10,14,0.25,0.142,-0.289,147,0.456
20,7,0.05,0.142,-0.441,109,0.541
20,5,0.2,0.142,-0.469,88,0.557
20,3,0.15,0.142,-0.459,92,0.533
20,10,0.3,0.141,-0.501,80,0.55
5,5,0.35,0.141,-0.222,209,0.517
20,7,0.1,0.141,-0.472,96,0.552
75,20,0.1,0.141,-0.349,52,0.577
75,5,0.2,0.141,-0.401,42,0.619
60,14,0.25,0.141,-0.349,51,0.569
10,10,0.2,0.141,-0.244,157,0.452
60,14,0.3,0.14,-0.349,45,0.556
5,3,0.3,0.14,-0.212,238,0.542
20,10,0.4,0.14,-0.455,73,0.575
5,20,0.35,0.139,-0.212,203,0.517
30,14,0.3,0.139,-0.293,71,0.493
20,5,0.05,0.138,-0.441,109,0.532
20,7,0.5,0.137,-0.479,69,0.522
20,7,0.2,0.137,-0.492,88,0.534
25,20,0.1,0.137,-0.416,105,0.495
10,20,0.1,0.136,-0.253,188,0.484
60,5,0.2,0.136,-0.349,53,0.509
30,10,0.25,0.136,-0.283,73,0.479
10,14,0.15,0.136,-0.231,171,0.48
75,14,0.1,0.135,-0.349,52,0.577
20,10,0.2,0.135,-0.486,90,0.544
25,20,0.5,0.135,-0.477,61,0.574
25,20,0.3,0.134,-0.467,73,0.521
10,14,0.1,0.134,-0.253,190,0.484
30,14,0.25,0.134,-0.286,73,0.479
10,20,0.25,0.134,-0.289,147,0.463
20,10,0.05,0.134,-0.441,109,0.532
20,10,0.35,0.134,-0.482,78,0.538
10,3,0.2,0.133,-0.265,159,0.465
15,3,0.45,0.133,-0.407,87,0.517
15,3,0.5,0.133,-0.434,81,0.543
25,14,0.2,0.133,-0.373,82,0.5
5,14,0.35,0.132,-0.23,209,0.512
20,3,0.1,0.132,-0.46,96,0.531
25,10,0.2,0.132,-0.373,84,0.488
20,10,0.25,0.132,-0.511,82,0.549
20,3,0.25,0.131,-0.496,82,0.524
25,10,0.25,0.131,-0.388,79,0.494
20,10,0.15,0.131,-0.486,94,0.543
20,7,0.3,0.13,-0.509,80,0.525
5,20,0.3,0.13,-0.308,218,0.509
20,7,0.45,0.13,-0.479,71,0.549
20,3,0.2,0.13,-0.469,88,0.534
5,20,0.25,0.13,-0.335,236,0.521
30,7,0.25,0.13,-0.283,75,0.48
25,20,0.15,0.129,-0.409,101,0.495
20,7,0.25,0.128,-0.508,84,0.536
25,7,0.2,0.128,-0.373,82,0.488
15,3,0.35,0.128,-0.397,95,0.516
10,20,0.15,0.128,-0.244,171,0.468
25,14,0.25,0.127,-0.383,81,0.506
5,14,0.3,0.127,-0.298,222,0.509
20,7,0.15,0.127,-0.492,94,0.532
10,10,0.1,0.127,-0.253,194,0.479
30,7,0.35,0.127,-0.302,65,0.492
25,20,0.45,0.127,-0.492,65,0.554
25,20,0.05,0.126,-0.421,113,0.504
10,20,0.05,0.126,-0.253,203,0.488
40,20,0.1,0.126,-0.294,90,0.533
20,3,0.05,0.126,-0.441,109,0.523
10,14,0.05,0.125,-0.253,205,0.493
30,7,0.3,0.125,-0.302,71,0.479
40,3,0.1,0.125,-0.296,86,0.535
40,3,0.05,0.125,-0.299,92,0.554
30,14,0.35,0.124,-0.302,67,0.507
5,5,0.4,0.124,-0.184,203,0.522
20,5,0.5,0.124,-0.482,68,0.544
30,10,0.3,0.123,-0.302,71,0.479
25,7,0.25,0.123,-0.389,79,0.494
25,3,0.15,0.123,-0.367,91,0.462
15,3,0.25,0.123,-0.426,107,0.505
25,20,0.4,0.123,-0.49,65,0.569
60,20,0.15,0.122,-0.373,59,0.593
30,3,0.4,0.122,-0.281,65,0.492
40,14,0.05,0.122,-0.296,92,0.554
35,10,0.4,0.122,-0.321,56,0.589
10,10,0.15,0.122,-0.245,173,0.462
30,3,0.45,0.121,-0.335,55,0.527
20,7,0.35,0.121,-0.509,78,0.513
20,3,0.5,0.121,-0.482,68,0.515
15,3,0.3,0.121,-0.4,103,0.505
30,7,0.4,0.121,-0.303,65,0.508
25,3,0.3,0.12,-0.432,73,0.521
5,3,0.25,0.12,-0.337,252,0.536
30,3,0.35,0.12,-0.303,67,0.478
5,5,0.25,0.12,-0.228,246,0.528
20,7,0.4,0.12,-0.479,76,0.526
40,14,0.1,0.12,-0.296,90,0.533
10,10,0.05,0.119,-0.253,207,0.488
60,10,0.15,0.119,-0.373,59,0.593
35,3,0.15,0.119,-0.317,73,0.507
15,3,0.15,0.119,-0.446,132,0.561
5,5,0.5,0.119,-0.269,185,0.508
