asset,entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
QQQ,2017-10-03,124.99,2018-02-05,133.24,80.00640051204097,660.0528042243386,84
IBZL,2018-02-06,28.212,2018-02-20,30.135,377.85526741189346,726.6156792330712,9
QQQ,2018-02-20,134.12,2018-03-02,133.64,84.89910888351781,-40.75157226409101,8
IBZL,2018-03-05,30.27,2018-03-06,30.92,374.82381602885096,243.635480418754,1
QQQ,2018-03-06,137.04,2018-03-22,134.46,84.57058079109802,-218.1920984410317,12
IBZL,2018-03-23,28.953,2018-04-18,28.117,392.752401933169,-328.3410080161284,16
QQQ,2018-04-18,135.0,2018-04-20,133.0,81.80014285299936,-163.60028570599752,2
IGLN,2018-04-23,26.23,2018-04-24,26.0425,414.7700724151321,-77.76938857783716,1
QQQ,2018-04-24,133.78,2018-04-24,132.06,80.74188676088413,-138.8760452287206,0
SEGA,2018-04-25,107.445,2018-04-30,108.24,99.23936493687336,78.89529512481386,3
QQQ,2018-04-30,135.06,2018-05-03,134.24,79.53256967841827,-65.21670713630192,2
SEGA,2018-05-04,108.78,2018-05-08,108.19,98.14719758807566,-57.90684657696511,1
QQQ,2018-05-08,140.2,2018-09-24,156.7,75.73855425858706,1249.6861452666872,94
IUCS,2018-09-25,5.105,2018-09-26,5.098,2324.8249661744544,-16.273774763223628,1
QQQ,2018-09-26,158.37,2018-10-05,157.22,74.83713883663174,-86.06270966212651,7
IBZL,2018-10-08,26.605,2018-12-04,27.65,442.24374996787225,462.1447187164249,40
QQQ,2018-12-04,150.77,2018-12-04,151.0,81.10393106461275,18.653904144859553,0
IBZL,2018-12-06,27.1,2019-01-22,30.885,451.9075125740415,1710.4699350927476,27
QQQ,2019-01-22,144.92,2019-01-23,142.68,96.30943641905378,-215.73313757867982,1
IBZL,2019-01-24,30.741,2019-01-25,31.51,447.00661618914785,343.74808784945526,1
QQQ,2019-01-25,145.25,2019-01-28,142.68,96.97196885452702,-249.2179599561332,1
