entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
2018-02-06,130.72,2018-02-14,130.4,38.24969400244798,-12.239902080783395,6
2018-02-14,130.4,2018-10-25,147.9,76.59325228465657,1340.38191498149,173
2018-10-25,147.9,2018-10-26,147.85,38.296626142328286,-1.9148313071173106,1
2018-10-26,147.85,2018-12-19,139.7,76.60620346022043,-624.3405582007963,36
2018-12-19,139.7,2019-01-03,133.54,38.303101730110214,-235.9471066574788,6
2019-01-03,133.54,2019-01-04,133.67,78.37306811992897,10.188498855590296,1
2019-01-04,133.67,2019-01-07,137.69,39.18653405996449,157.52986692105787,1
2019-01-07,137.69,2020-02-25,207.6,77.22897728601905,5399.077802065593,279
2020-02-25,207.6,2020-03-02,190.25,38.61448864300952,-669.9613779562151,4
2020-03-03,194.41,2020-03-09,178.46,39.51127592876225,-630.2048510637578,4
2020-04-15,193.89,2020-04-16,195.31,37.99208173592651,53.94875606501682,1
2020-04-20,198.17,2020-04-21,196.99,37.30766062376394,-44.023039536040415,1
2020-04-27,199.99,2020-06-08,212.83,36.858080834258104,473.25775791187425,28
2020-06-08,212.83,2020-06-09,214.96,71.49251952261632,152.2790665831726,1
2020-06-09,214.96,2020-06-12,209.77,35.74625976130816,-185.52308816118966,3
2020-06-15,205.71,2020-07-21,236.0,36.90270018088672,1117.7827884790595,25
2020-07-21,236.0,2020-07-24,220.23,69.06903261398081,-1089.2186443224782,3
2020-07-24,220.23,2020-07-28,223.21,34.534516306990405,102.91285859483196,2
2020-07-28,223.21,2020-07-29,220.65,68.60797415515356,-175.63641383719187,1
2020-07-29,220.65,2020-07-30,221.05,34.30398707757678,13.721594831030416,1
2020-07-30,221.05,2020-09-01,249.27,68.54589953479152,1934.3652848718157,23
2020-09-01,249.27,2020-10-29,235.37,34.27294976739576,-476.3940017668001,41
2020-10-30,233.18,2020-11-09,253.42,35.616352978966205,720.8749842942743,6
2020-11-09,253.42,2020-11-10,245.8,68.38811995724471,-521.1174740742063,1
2020-11-10,245.8,2020-11-11,240.98,34.194059978622356,-164.81536909695933,1
2020-11-11,240.98,2020-11-13,247.13,69.07205791515392,424.79315617819884,2
2020-11-13,247.13,2020-11-16,247.98,34.53602895757696,29.355624613939653,1
2020-11-16,247.98,2020-12-22,254.13,68.95367891437185,424.0651253233882,25
2020-12-22,254.13,2020-12-23,255.76,34.476839457185925,56.19724831521307,1
2020-12-23,255.76,2021-01-05,253.18,68.73395241955166,-177.33359724244292,5
2021-01-05,253.18,2021-01-08,260.02,34.36697620977583,235.0701172748668,3
2021-01-08,260.02,2021-01-28,263.25,67.82990612590169,219.0905967866638,13
2021-01-28,263.25,2021-02-04,273.71,33.91495306295084,354.75040903846457,5
2021-02-04,273.71,2021-02-26,257.52,66.53382483899779,-1077.1826241433737,15
2021-02-26,257.52,2021-03-02,269.2,33.266912419498894,388.5575370597471,2
2021-03-02,269.2,2021-03-04,257.8,65.09044617235682,-742.0310863648665,2
2021-03-04,257.8,2021-03-08,256.45,32.54522308617841,-43.93605116634171,2
2021-03-08,256.45,2021-03-09,257.34,65.2617702166787,58.082975492845435,1
2021-03-09,257.34,2021-03-10,263.07,32.63088510833935,186.97497167078473,1
2021-03-10,263.07,2021-05-13,263.62,64.5510279364081,35.50306536502467,44
2021-05-13,263.62,2021-05-14,266.96,32.27551396820405,107.80021665380082,1
2021-05-14,266.96,2021-09-21,314.95,64.14722131124402,3078.4251507266017,89
2021-09-21,314.95,2021-09-22,314.95,32.07361065562201,0.0,1
2021-09-22,314.95,2021-11-29,352.15,64.14722131124402,2386.276632778274,47
2021-11-29,352.15,2021-11-30,352.55,32.07361065562201,12.829444262250036,1
2021-11-30,352.55,2021-12-01,352.8,64.11083088644683,16.02770772160875,1
2021-12-01,352.8,2021-12-08,355.08,32.05541544322341,73.08634721054841,5
2021-12-08,355.08,2022-01-21,319.2,63.905000236422744,-2292.911408482847,29
2022-01-21,319.2,2022-02-01,324.01,31.952500118211372,153.69152556859626,7
2022-02-01,324.01,2022-02-14,307.4,63.430658316208564,-1053.583234632224,9
2022-02-14,307.4,2022-02-17,313.26,31.715329158104286,185.85182886649272,3
2022-02-17,313.26,2022-02-18,306.9,62.83737532806297,-399.6457070864817,1
2022-02-18,306.9,2022-03-21,317.7,31.418687664031484,339.32182677154015,20
2022-03-21,317.7,2022-04-25,301.51,61.76931795704774,-1000.0452577246033,23
2022-04-25,301.51,2022-06-03,292.85,30.884658978523866,-267.4611467540162,28
2022-06-03,292.85,2022-06-07,286.55,62.68262219728682,-394.90051984290767,2
2022-06-07,286.55,2022-06-08,289.85,31.34131109864341,103.42632662552387,1
2022-06-08,289.85,2022-06-10,283.85,62.325795125955004,-373.95477075573217,2
2022-06-10,283.85,2022-07-11,289.9,31.1628975629775,188.53553025601286,19
2022-07-11,289.9,2022-07-12,287.75,61.67544835032198,-132.6022139531924,1
2022-07-12,287.75,2022-07-18,292.45,30.83772417516099,144.93730362325732,4
2022-07-18,292.45,2022-07-19,287.05,61.17985148376955,-330.3711980123553,1
2022-07-19,287.05,2022-07-20,293.0,30.589925741884777,182.01005816421457,1
2022-07-20,293.0,2022-08-29,308.0,60.55865674600773,908.379851190115,27
2022-08-29,308.0,2022-09-08,301.4,30.279328373003864,-199.84356726182705,7
2022-09-08,301.4,2022-09-14,296.6,61.22170773227789,-293.86419711493,4
2022-09-14,296.6,2022-11-07,266.15,30.610853866138946,-932.1005002239326,38
2022-11-07,266.15,2022-11-09,269.6,64.72387004760358,223.29735166423416,2
2022-11-09,269.6,2022-11-11,279.5,32.36193502380179,320.3831567356374,2
2022-11-11,279.5,2022-12-13,272.1,63.577597572699695,-470.4742220379776,21
2022-12-13,272.1,2022-12-14,272.9,31.788798786349847,25.43103902907933,1
2022-12-14,272.9,2023-03-14,273.8,63.48440944873825,57.135968503866025,60
2023-03-14,273.8,2023-03-15,278.15,31.74220472436912,138.0785905510038,1
2023-03-15,278.15,2023-03-16,283.6,62.987991722507765,343.2845548876685,1
2023-03-16,283.6,2023-03-17,289.05,31.49399586125388,171.64227744383243,1
2023-03-17,289.05,2023-03-20,285.25,62.3941765436673,-237.0978708659386,1
2023-03-20,285.25,2023-03-21,287.5,31.197088271833646,70.19344861162608,1
2023-03-21,287.5,2024-08-06,406.25,62.15002541806164,7380.315518394818,340
2024-08-06,406.25,2024-08-09,411.83,31.07501270903082,173.3985709163917,3
2024-08-09,411.83,2024-12-19,500.1,61.72898136853539,5448.817185400621,91
2024-12-19,500.1,2024-12-20,494.35,30.864490684267697,-177.47082143453918,1
2024-12-20,494.35,2025-03-11,435.15,62.08797969246488,-3675.6083977939234,49
2025-03-11,435.15,2025-03-13,437.55,31.04398984623244,74.50557563095936,2
2025-03-13,437.55,2025-04-04,409.05,61.91770069433676,-1764.6544697885984,16
2025-04-04,409.05,2025-04-07,364.85,30.95885034716838,-1368.3811853448424,1
2025-04-10,421.6,2025-04-11,402.9,28.414438192212533,-531.3499941943755,1
2025-04-14,407.25,2025-04-28,418.19,28.76329562858101,314.6704541766758,8
2025-04-28,418.19,2025-04-29,417.35,56.774133153963284,-47.69027184932929,1
2025-04-29,417.35,2025-04-30,418.2,28.387066576981642,24.129006590434074,1
2025-04-30,418.2,2025-10-17,509.3,56.71643586417267,5166.86730722613,116
2025-10-17,509.3,2025-10-20,522.6,28.358217932086333,377.1642984967493,1
2025-10-20,522.6,2025-11-21,508.1,55.99472844263277,-811.9235624181747,24
2025-11-21,508.1,2025-11-24,518.2,27.997364221316385,282.77337863529647,1
