target_vol,vol_window,max_leverage,cagr,total_return,max_drawdown,win_rate,n_trades
0.2,3,1.0,0.187,3.748,-0.293,,0
0.3,3,1.0,0.186,3.723,-0.33,,0
0.35,2,1.0,0.186,3.704,-0.319,,0
0.25,3,1.0,0.186,3.726,-0.321,,0
0.4,3,1.0,0.186,3.727,-0.323,,0
0.4,2,1.0,0.185,3.667,-0.318,,0
0.18,3,1.0,0.185,3.678,-0.277,,0
0.35,3,1.0,0.185,3.693,-0.33,,0
0.3,2,1.0,0.185,3.666,-0.324,,0
0.4,7,1.0,0.182,3.571,-0.317,,0
0.25,2,1.0,0.181,3.532,-0.318,,0
0.35,7,1.0,0.179,3.474,-0.324,,0
0.4,60,1.0,0.179,3.456,-0.315,,0
0.4,5,1.0,0.179,3.45,-0.319,,0
0.15,3,1.0,0.178,3.43,-0.251,,0
0.4,10,1.0,0.178,3.434,-0.314,,0
0.4,40,1.0,0.178,3.439,-0.315,,0
0.4,20,1.0,0.177,3.387,-0.315,,0
0.35,5,1.0,0.176,3.357,-0.32,,0
0.35,60,1.0,0.176,3.362,-0.315,,0
0.35,10,1.0,0.176,3.379,-0.314,,0
0.25,5,1.0,0.176,3.349,-0.302,,0
0.3,5,1.0,0.175,3.333,-0.318,,0
0.2,2,1.0,0.175,3.345,-0.305,,0
0.2,5,1.0,0.175,3.335,-0.269,,0
0.3,7,1.0,0.175,3.331,-0.329,,0
0.4,30,1.0,0.173,3.266,-0.315,,0
0.18,2,1.0,0.173,3.278,-0.295,,0
0.35,40,1.0,0.173,3.275,-0.315,,0
0.35,20,1.0,0.172,3.241,-0.315,,0
0.25,7,1.0,0.172,3.226,-0.337,,0
0.15,2,1.0,0.171,3.188,-0.272,,0
0.18,5,1.0,0.171,3.19,-0.255,,0
0.3,10,1.0,0.171,3.196,-0.327,,0
0.3,60,1.0,0.169,3.146,-0.315,,0
0.3,20,1.0,0.168,3.116,-0.315,,0
0.25,10,1.0,0.168,3.091,-0.331,,0
0.35,30,1.0,0.168,3.095,-0.315,,0
0.3,40,1.0,0.167,3.071,-0.315,,0
0.2,7,1.0,0.166,3.042,-0.318,,0
0.2,10,1.0,0.165,2.997,-0.308,,0
0.12,3,1.0,0.164,2.983,-0.218,,0
0.3,30,1.0,0.164,2.961,-0.315,,0
0.18,7,1.0,0.161,2.886,-0.304,,0
0.12,2,1.0,0.16,2.864,-0.242,,0
0.25,20,1.0,0.159,2.836,-0.325,,0
0.25,40,1.0,0.159,2.816,-0.329,,0
0.18,10,1.0,0.159,2.82,-0.289,,0
0.15,5,1.0,0.159,2.829,-0.241,,0
0.25,60,1.0,0.158,2.78,-0.328,,0
0.25,30,1.0,0.157,2.763,-0.319,,0
0.2,20,1.0,0.154,2.669,-0.315,,0
0.2,40,1.0,0.152,2.628,-0.305,,0
0.18,20,1.0,0.151,2.577,-0.295,,0
0.18,40,1.0,0.151,2.601,-0.28,,0
0.1,2,1.0,0.151,2.593,-0.209,,0
0.18,30,1.0,0.15,2.562,-0.281,,0
0.2,30,1.0,0.15,2.568,-0.305,,0
0.15,7,1.0,0.15,2.549,-0.27,,0
0.15,10,1.0,0.149,2.525,-0.245,,0
0.2,60,1.0,0.148,2.505,-0.303,,0
0.1,3,1.0,0.148,2.495,-0.193,,0
0.18,60,1.0,0.144,2.389,-0.278,,0
0.15,20,1.0,0.142,2.33,-0.254,,0
0.15,40,1.0,0.141,2.317,-0.24,,0
0.12,5,1.0,0.14,2.278,-0.216,,0
0.15,30,1.0,0.139,2.271,-0.243,,0
0.15,60,1.0,0.133,2.118,-0.24,,0
0.12,7,1.0,0.131,2.067,-0.226,,0
0.12,10,1.0,0.13,2.032,-0.196,,0
0.12,20,1.0,0.123,1.864,-0.211,,0
0.1,5,1.0,0.123,1.876,-0.186,,0
0.12,30,1.0,0.118,1.756,-0.202,,0
0.12,40,1.0,0.118,1.759,-0.195,,0
0.1,7,1.0,0.114,1.658,-0.193,,0
0.1,10,1.0,0.111,1.596,-0.165,,0
0.12,60,1.0,0.109,1.562,-0.196,,0
0.1,20,1.0,0.105,1.479,-0.178,,0
0.1,30,1.0,0.099,1.349,-0.17,,0
0.1,40,1.0,0.099,1.367,-0.165,,0
0.1,60,1.0,0.091,1.201,-0.165,,0
