sma_window,atr_window,atr_multiplier,cagr,total_return,max_drawdown,win_rate,n_trades
200,10,0.5,0.193,1.41,-0.136,1.0,4
200,20,0.5,0.193,1.41,-0.136,1.0,4
200,14,0.5,0.193,1.41,-0.136,1.0,4
150,14,1.5,0.164,1.132,-0.212,0.667,6
150,20,1.5,0.164,1.132,-0.212,0.667,6
250,20,1.0,0.164,1.139,-0.14,0.667,6
200,20,1.0,0.162,1.112,-0.136,1.0,4
200,10,1.0,0.159,1.093,-0.136,1.0,4
200,14,1.0,0.159,1.093,-0.136,1.0,4
150,10,1.5,0.158,1.076,-0.233,0.667,6
250,10,0.5,0.158,1.077,-0.173,0.5,8
250,20,0.5,0.158,1.077,-0.173,0.5,8
250,14,0.5,0.158,1.077,-0.173,0.5,8
250,14,1.0,0.156,1.061,-0.171,0.667,6
250,10,1.0,0.156,1.061,-0.171,0.667,6
200,20,1.5,0.156,1.065,-0.136,1.0,4
250,10,1.5,0.15,1.012,-0.193,1.0,2
200,14,1.5,0.147,0.988,-0.14,1.0,4
250,20,2.0,0.147,0.986,-0.193,1.0,2
200,10,1.5,0.147,0.988,-0.14,1.0,4
250,14,2.0,0.147,0.986,-0.193,1.0,2
250,10,2.0,0.147,0.986,-0.193,1.0,2
250,20,1.5,0.143,0.951,-0.193,0.5,4
250,14,1.5,0.143,0.951,-0.193,0.5,4
150,20,2.0,0.142,0.941,-0.233,0.667,6
200,10,2.0,0.137,0.898,-0.171,1.0,4
200,14,2.0,0.137,0.898,-0.171,1.0,4
150,14,2.0,0.136,0.893,-0.233,0.667,6
150,10,2.0,0.136,0.893,-0.233,0.667,6
200,20,2.0,0.136,0.891,-0.174,1.0,4
100,20,0.5,0.129,0.829,-0.22,0.545,22
150,10,1.0,0.125,0.797,-0.199,0.6,10
100,14,0.5,0.118,0.748,-0.22,0.545,22
100,10,0.5,0.118,0.743,-0.22,0.545,22
100,20,2.0,0.11,0.686,-0.258,0.6,10
100,14,2.0,0.107,0.663,-0.259,0.6,10
100,20,1.5,0.106,0.652,-0.216,0.667,12
100,10,1.5,0.106,0.655,-0.222,0.6,10
150,20,1.0,0.105,0.648,-0.198,0.6,10
100,10,1.0,0.103,0.632,-0.232,0.556,18
100,14,1.0,0.103,0.635,-0.232,0.444,18
150,14,0.5,0.102,0.626,-0.197,0.571,14
150,20,0.5,0.102,0.626,-0.197,0.571,14
150,10,0.5,0.1,0.612,-0.197,0.667,12
100,10,2.0,0.1,0.611,-0.251,0.6,10
150,14,1.0,0.099,0.6,-0.198,0.6,10
100,14,1.5,0.096,0.579,-0.216,0.667,12
100,20,1.0,0.088,0.524,-0.232,0.5,20
