bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.1,0.15,0.4,50,0.167,1.161,-0.296,1.0,3,0.237
0.1,0.15,0.3,50,0.167,1.161,-0.296,1.0,3,0.237
0.1,0.15,0.5,50,0.167,1.161,-0.296,1.0,3,0.237
0.1,0.15,0.1,50,0.167,1.161,-0.296,1.0,3,0.237
0.1,0.15,0.2,50,0.167,1.161,-0.296,1.0,3,0.237
0.05,0.1,0.1,50,0.164,1.135,-0.296,0.923,13,0.146
0.05,0.15,0.1,50,0.164,1.135,-0.296,0.923,13,0.146
0.05,0.15,0.1,60,0.163,1.127,-0.296,0.769,13,0.127
0.05,0.1,0.1,60,0.163,1.127,-0.296,0.769,13,0.127
0.1,0.3,0.5,50,0.161,1.104,-0.292,1.0,6,0.327
0.05,0.15,0.2,50,0.161,1.109,-0.296,0.923,13,0.146
0.1,0.2,0.5,50,0.161,1.104,-0.292,1.0,6,0.327
0.05,0.1,0.2,50,0.161,1.109,-0.296,0.923,13,0.146
0.1,0.3,0.4,50,0.159,1.092,-0.293,1.0,6,0.327
0.1,0.2,0.4,50,0.159,1.092,-0.293,1.0,6,0.327
0.05,0.15,0.3,50,0.158,1.081,-0.297,0.923,13,0.146
0.05,0.1,0.3,50,0.158,1.081,-0.297,0.923,13,0.146
0.1,0.2,0.3,50,0.158,1.079,-0.293,1.0,6,0.327
0.1,0.3,0.3,50,0.158,1.079,-0.293,1.0,6,0.327
0.1,0.2,0.2,50,0.156,1.067,-0.294,1.0,6,0.327
0.1,0.3,0.2,50,0.156,1.067,-0.294,1.0,6,0.327
0.05,0.15,0.4,50,0.155,1.054,-0.305,0.923,13,0.146
0.05,0.15,0.2,60,0.155,1.056,-0.296,0.786,14,0.134
0.05,0.1,0.4,50,0.155,1.054,-0.305,0.923,13,0.146
0.1,0.3,0.1,50,0.155,1.054,-0.295,1.0,6,0.327
