hold_pct,bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.05,0.05,0.1,0.05,60,0.169,1.18,-0.296,0.727,11,0.107
0.05,0.05,0.15,0.05,60,0.169,1.18,-0.296,0.727,11,0.107
0.01,0.05,0.15,0.05,60,0.167,1.167,-0.296,0.727,11,0.107
0.1,0.05,0.1,0.05,60,0.167,1.165,-0.296,0.8,10,0.119
0.1,0.05,0.1,0.1,60,0.167,1.16,-0.296,0.769,13,0.126
0.01,0.1,0.15,0.2,50,0.167,1.159,-0.296,1.0,3,0.237
0.01,0.1,0.15,0.3,50,0.167,1.159,-0.296,1.0,3,0.237
0.1,0.05,0.15,0.05,60,0.167,1.165,-0.296,0.8,10,0.119
0.1,0.05,0.15,0.1,60,0.167,1.16,-0.296,0.769,13,0.126
0.01,0.05,0.1,0.05,60,0.167,1.167,-0.296,0.727,11,0.107
0.01,0.1,0.15,0.05,50,0.167,1.159,-0.296,1.0,3,0.237
0.01,0.1,0.15,0.1,50,0.167,1.159,-0.296,1.0,3,0.237
0.01,0.05,0.1,0.05,50,0.166,1.149,-0.296,0.909,11,0.126
0.05,0.05,0.15,0.05,50,0.166,1.153,-0.296,0.9,10,0.127
0.05,0.05,0.1,0.05,50,0.166,1.153,-0.296,0.9,10,0.127
0.01,0.05,0.15,0.05,50,0.166,1.149,-0.296,0.909,11,0.126
0.05,0.1,0.15,0.3,50,0.165,1.147,-0.296,1.0,3,0.237
0.1,0.05,0.15,0.1,50,0.165,1.145,-0.296,0.9,10,0.127
0.1,0.05,0.1,0.05,50,0.165,1.141,-0.296,0.9,10,0.127
0.05,0.05,0.15,0.1,50,0.165,1.14,-0.296,0.909,11,0.126
0.05,0.05,0.1,0.1,50,0.165,1.14,-0.296,0.909,11,0.126
0.05,0.05,0.1,0.1,60,0.165,1.144,-0.296,0.727,11,0.107
0.1,0.05,0.15,0.05,50,0.165,1.141,-0.296,0.9,10,0.127
0.05,0.1,0.15,0.2,50,0.165,1.147,-0.296,1.0,3,0.237
0.05,0.1,0.15,0.1,50,0.165,1.147,-0.296,1.0,3,0.237
0.05,0.1,0.15,0.05,50,0.165,1.147,-0.296,1.0,3,0.237
0.05,0.05,0.15,0.1,60,0.165,1.144,-0.296,0.727,11,0.107
0.1,0.05,0.1,0.1,50,0.165,1.145,-0.296,0.9,10,0.127
0.1,0.1,0.15,0.1,50,0.164,1.134,-0.296,1.0,3,0.237
0.01,0.05,0.15,0.1,60,0.164,1.131,-0.296,0.727,11,0.107
0.1,0.1,0.15,0.3,50,0.164,1.134,-0.296,1.0,3,0.237
0.01,0.05,0.1,0.1,50,0.164,1.136,-0.296,0.909,11,0.126
0.01,0.05,0.1,0.1,60,0.164,1.131,-0.296,0.727,11,0.107
0.1,0.1,0.15,0.05,50,0.164,1.134,-0.296,1.0,3,0.237
0.01,0.05,0.15,0.1,50,0.164,1.136,-0.296,0.909,11,0.126
0.1,0.1,0.15,0.2,50,0.164,1.134,-0.296,1.0,3,0.237
0.05,0.05,0.15,0.2,50,0.162,1.114,-0.296,0.909,11,0.126
0.05,0.05,0.1,0.2,50,0.162,1.114,-0.296,0.909,11,0.126
0.1,0.05,0.15,0.2,50,0.162,1.118,-0.297,0.909,11,0.126
0.1,0.05,0.1,0.2,50,0.162,1.118,-0.297,0.909,11,0.126
0.01,0.05,0.15,0.2,50,0.161,1.11,-0.296,0.923,13,0.144
0.01,0.05,0.1,0.2,50,0.161,1.11,-0.296,0.923,13,0.144
0.05,0.1,0.2,0.3,50,0.159,1.085,-0.296,1.0,5,0.314
0.05,0.05,0.15,0.3,50,0.159,1.087,-0.301,0.909,11,0.126
0.05,0.1,0.3,0.3,50,0.159,1.085,-0.296,1.0,5,0.314
0.1,0.05,0.15,0.3,50,0.159,1.091,-0.305,0.909,11,0.126
0.1,0.05,0.1,0.2,60,0.159,1.089,-0.299,0.727,11,0.107
0.1,0.05,0.1,0.3,50,0.159,1.091,-0.305,0.909,11,0.126
0.1,0.05,0.15,0.2,60,0.159,1.089,-0.299,0.727,11,0.107
0.05,0.05,0.1,0.3,50,0.159,1.087,-0.301,0.909,11,0.126
0.01,0.1,0.3,0.3,50,0.158,1.084,-0.294,1.0,6,0.327
0.01,0.05,0.1,0.3,50,0.158,1.083,-0.298,0.846,13,0.126
0.01,0.1,0.2,0.3,50,0.158,1.084,-0.294,1.0,6,0.327
0.01,0.05,0.15,0.3,50,0.158,1.083,-0.298,0.846,13,0.126
0.05,0.05,0.1,0.2,60,0.157,1.073,-0.296,0.769,13,0.126
0.1,0.1,0.2,0.3,50,0.157,1.076,-0.296,1.0,5,0.314
0.01,0.1,0.3,0.2,50,0.157,1.071,-0.295,1.0,6,0.327
0.01,0.1,0.2,0.2,50,0.157,1.071,-0.295,1.0,6,0.327
0.1,0.1,0.3,0.3,50,0.157,1.076,-0.296,1.0,5,0.314
0.05,0.1,0.3,0.2,50,0.157,1.069,-0.296,1.0,5,0.314
