fast_ema,slow_ema,signal_ema,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
8,26,7,0.059,0.334,-0.253,0.397,63,0.004
8,26,4,0.056,0.315,-0.232,0.4,75,0.003
4,24,9,0.055,0.304,-0.244,0.397,73,0.003
8,24,7,0.053,0.293,-0.255,0.375,64,0.003
4,26,4,0.052,0.285,-0.307,0.369,111,0.002
10,24,4,0.051,0.28,-0.232,0.4,75,0.002
10,20,4,0.051,0.279,-0.271,0.364,77,0.002
10,20,7,0.051,0.283,-0.263,0.421,57,0.003
15,24,12,0.051,0.285,-0.269,0.415,41,0.005
15,26,12,0.049,0.269,-0.259,0.39,41,0.006
4,26,9,0.047,0.255,-0.233,0.387,75,0.002
8,20,9,0.045,0.244,-0.283,0.421,57,0.003
8,45,7,0.043,0.233,-0.189,0.302,63,0.002
8,24,4,0.043,0.232,-0.268,0.388,80,0.002
4,24,12,0.042,0.226,-0.253,0.357,70,0.002
12,24,4,0.042,0.226,-0.253,0.357,70,0.002
8,24,12,0.041,0.22,-0.232,0.367,49,0.003
8,20,7,0.041,0.223,-0.279,0.357,70,0.002
10,26,4,0.04,0.217,-0.213,0.392,74,0.002
4,20,7,0.039,0.21,-0.364,0.355,93,0.001
4,30,12,0.039,0.212,-0.261,0.353,68,0.002
10,24,7,0.039,0.213,-0.251,0.393,56,0.002
12,30,4,0.039,0.212,-0.261,0.353,68,0.002
8,24,9,0.038,0.207,-0.251,0.4,55,0.002
10,26,9,0.038,0.204,-0.231,0.36,50,0.003
15,24,4,0.038,0.207,-0.238,0.365,63,0.002
12,20,12,0.037,0.199,-0.224,0.386,44,0.003
12,20,7,0.037,0.2,-0.255,0.4,55,0.002
4,20,9,0.037,0.198,-0.317,0.37,81,0.001
10,30,4,0.036,0.192,-0.259,0.356,73,0.001
15,26,7,0.036,0.191,-0.213,0.367,49,0.002
8,30,7,0.036,0.193,-0.278,0.381,63,0.002
8,20,4,0.035,0.186,-0.324,0.372,86,0.001
12,26,7,0.035,0.19,-0.231,0.388,49,0.002
15,45,4,0.035,0.189,-0.203,0.316,57,0.002
4,24,4,0.034,0.18,-0.329,0.383,115,0.001
12,26,9,0.034,0.183,-0.224,0.391,46,0.002
10,20,12,0.034,0.183,-0.24,0.354,48,0.002
10,26,12,0.033,0.176,-0.224,0.4,45,0.002
8,30,4,0.033,0.178,-0.231,0.375,80,0.001
15,20,4,0.033,0.178,-0.243,0.348,69,0.001
4,26,12,0.032,0.17,-0.243,0.338,71,0.001
12,26,4,0.032,0.17,-0.243,0.338,71,0.001
15,24,7,0.032,0.171,-0.244,0.367,49,0.002
12,30,12,0.031,0.167,-0.27,0.409,44,0.002
10,26,7,0.03,0.159,-0.262,0.382,55,0.002
15,30,7,0.03,0.16,-0.255,0.378,45,0.002
15,20,9,0.03,0.157,-0.214,0.362,47,0.002
10,30,9,0.03,0.16,-0.237,0.367,49,0.002
4,30,9,0.03,0.157,-0.214,0.372,78,0.001
4,20,4,0.03,0.158,-0.307,0.376,117,0.001
4,26,7,0.029,0.156,-0.291,0.365,85,0.001
8,30,12,0.029,0.153,-0.224,0.367,49,0.002
12,45,7,0.029,0.152,-0.252,0.34,50,0.002
12,30,7,0.029,0.156,-0.244,0.353,51,0.002
12,30,9,0.029,0.152,-0.255,0.386,44,0.002
8,26,12,0.028,0.148,-0.243,0.367,49,0.002
10,24,12,0.027,0.144,-0.224,0.37,46,0.002
12,24,9,0.027,0.143,-0.243,0.354,48,0.002
15,30,12,0.025,0.129,-0.283,0.39,41,0.002
8,45,12,0.025,0.132,-0.252,0.367,49,0.001
10,20,9,0.025,0.133,-0.286,0.385,52,0.001
15,45,12,0.025,0.129,-0.319,0.333,42,0.002
4,20,12,0.024,0.123,-0.285,0.368,76,0.0
8,26,9,0.024,0.124,-0.296,0.389,54,0.001
4,30,4,0.024,0.126,-0.324,0.375,112,0.0
12,20,4,0.024,0.123,-0.285,0.368,76,0.0
4,45,7,0.023,0.119,-0.252,0.326,89,0.0
10,45,7,0.023,0.121,-0.272,0.321,53,0.001
10,24,9,0.023,0.121,-0.267,0.392,51,0.001
12,24,7,0.023,0.118,-0.274,0.4,50,0.001
15,30,9,0.023,0.12,-0.252,0.391,46,0.001
10,45,9,0.022,0.114,-0.252,0.367,49,0.001
8,45,9,0.022,0.117,-0.249,0.327,52,0.001
