asset,entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
QQQ,2021-10-18,357.54961191886395,2022-01-20,360.1293528653298,27.968146703706186,72.15057324831469,65
GLD,2022-01-20,172.30999755859375,2022-01-28,166.55999755859375,58.45366325783445,-336.1085637325468,6
SHY,2022-01-28,74.64691672027551,2022-02-03,74.64953817080551,130.42791902577372,0.34191033745628374,4
QQQ,2022-02-03,349.1634773534148,2022-02-04,344.82972180603156,27.884886453912515,-120.8462813577953,1
SHY,2022-02-04,74.51764448425382,2022-02-07,74.49128723144531,129.03705833760313,-3.401062368271596,1
GLD,2022-02-07,169.4499969482422,2022-05-13,168.30999755859375,56.725504569133435,-64.66704058631149,67
SHY,2022-05-13,73.16767409780407,2022-05-24,73.29973233922793,130.48753637813655,17.231954581829996,7
GLD,2022-05-24,173.47000122070312,2022-07-01,167.13999938964844,55.137495952131,-349.0204503367586,26
SHY,2022-07-01,73.12718350183967,2022-12-13,72.48707731955594,126.02264436389895,-80.66787376507637,114
QQQ,2022-12-13,290.33409921539373,2022-12-20,263.47144964439775,31.463797021113038,-845.2009535511061,5
SHY,2022-12-20,72.38125298895567,2022-12-30,72.30110231831745,114.52982464581875,-9.179642253440761,7
GLD,2022-12-30,169.25999450683594,2023-04-03,183.85000610351562,48.92256196949046,713.7807464741472,63
QQQ,2023-04-03,313.21414610258773,2023-04-05,312.55587722556044,28.716497733612844,-18.903176715262816,2
GLD,2023-04-05,188.33999633789062,2023-04-17,185.88999938964844,47.65588995697282,-116.75678496034925,7
QQQ,2023-04-17,312.60492163847164,2023-04-18,315.395462862383,28.338496107428536,79.07974161143102,1
GLD,2023-04-18,185.24000549316406,2023-04-19,184.35000610351562,48.250015286012804,-42.942484155079,1
QQQ,2023-04-19,310.89534126848116,2023-04-20,310.18786478954866,28.61056256481433,-20.24130006363339,1
GLD,2023-04-20,186.13999938964844,2023-05-09,188.1199951171875,47.67728237620852,94.40081540556639,13
QQQ,2023-05-09,316.3879214383984,2024-04-04,441.48144434714544,28.34826970333447,3546.1849255574107,227
GLD,2024-04-04,212.0,2024-04-24,214.75999450683594,59.034127610238336,162.93386792011006,14
QQQ,2024-04-24,423.5483830821884,2024-05-10,437.7327006843303,29.933224698039922,424.58236597327596,12
GLD,2024-05-10,219.22000122070312,2024-05-14,217.30999755859375,59.769871427345336,-114.16067331003615,2
QQQ,2024-05-14,437.84144756940225,2024-05-15,443.5586291074348,29.665054978366467,169.60050464703636,1
GLD,2024-05-15,219.05999755859375,2024-05-24,216.9600067138672,60.06660853304075,-126.1393279931599,7
QQQ,2024-05-24,450.34411215761514,2024-07-18,481.0189557238677,28.937986394827536,887.6682057836788,36
GLD,2024-07-18,227.7100067138672,2024-10-10,241.77000427246094,61.12915368661197,859.4757515926667,59
QQQ,2024-10-10,486.972911204982,2024-10-14,491.85402746733337,30.349112667096747,148.1375473872995,2
GLD,2024-10-14,245.16000366210938,2024-10-15,244.99000549316406,60.88812641700285,-10.350870001400835,1
QQQ,2024-10-15,493.89777863008004,2024-10-23,489.69123319300365,30.202570391681252,-127.04848466910516,6
GLD,2024-10-23,253.0800018310547,2024-11-07,248.2899932861328,58.43975752210566,-279.926937894048,11
QQQ,2024-11-07,504.3842278003702,2024-11-21,502.2412988893756,28.767765134301044,-61.64727561099426,10
GLD,2024-11-21,246.22999572753906,2024-12-03,244.9600067138672,58.67830880841746,-74.52080752753682,7
QQQ,2024-12-03,509.89037421333506,2024-12-09,521.3987891581372,28.19005740566184,324.4228779421501,4
GLD,2024-12-09,246.27999877929688,2025-02-05,264.45001220703125,59.68110228383698,1084.4064298793073,38
QQQ,2025-02-05,518.5330268925136,2025-02-11,522.6470030660466,30.437151365406375,125.21771550750054,4
GLD,2025-02-11,267.70001220703125,2025-02-13,268.3999938964844,59.4243004019536,41.59592218993021,2
QQQ,2025-02-13,526.6415998490472,2025-02-14,532.6336582725096,30.285267760387416,181.47109379044196,1
GLD,2025-02-14,270.07000732421875,2025-09-15,336.30999755859375,59.728783358058905,3956.434026348921,145
QQQ,2025-09-15,586.2631455882268,2025-09-24,598.0544387994095,34.2634312535063,404.0101643312919,7
GLD,2025-09-24,346.70001220703125,2025-09-29,351.7900085449219,59.104114301044376,300.8397253465846,3
QQQ,2025-09-29,597.5855809487724,2025-11-11,618.9910087880348,34.79373923646735,744.7748744843157,31
