sma_window,band_pct,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
50,0.02,0.205,1.535,-0.283,0.583,24,0.043
200,0.01,0.193,1.41,-0.136,1.0,4,0.391
50,0.03,0.19,1.381,-0.309,0.6,20,0.049
50,0.01,0.184,1.322,-0.259,0.421,38,0.029
250,0.0,0.177,1.257,-0.149,0.222,18,0.073
200,0.0,0.172,1.21,-0.216,0.222,18,0.079
50,0.0,0.166,1.157,-0.242,0.303,66,0.017
300,0.01,0.165,1.142,-0.171,1.0,2,0.531
150,0.03,0.164,1.132,-0.212,0.667,6,0.221
300,0.02,0.163,1.126,-0.193,1.0,2,0.465
350,0.01,0.162,1.116,-0.193,1.0,2,0.432
200,0.02,0.159,1.093,-0.136,1.0,4,0.345
225,0.03,0.158,1.083,-0.14,1.0,4,0.333
250,0.01,0.158,1.077,-0.173,0.5,8,0.147
200,0.03,0.156,1.065,-0.136,1.0,4,0.345
350,0.02,0.154,1.046,-0.193,1.0,2,0.443
200,0.04,0.154,1.041,-0.136,1.0,4,0.33
250,0.03,0.152,1.024,-0.193,1.0,2,0.499
225,0.02,0.15,1.012,-0.196,0.667,6,0.212
225,0.0,0.148,0.996,-0.187,0.3,20,0.063
250,0.04,0.147,0.986,-0.193,1.0,2,0.471
250,0.02,0.146,0.976,-0.205,0.5,8,0.14
350,0.04,0.144,0.96,-0.23,1.0,2,0.328
300,0.03,0.144,0.955,-0.193,1.0,2,0.448
300,0.0,0.144,0.96,-0.206,0.4,10,0.131
225,0.05,0.143,0.947,-0.193,1.0,2,0.49
300,0.04,0.143,0.95,-0.193,1.0,2,0.445
400,0.04,0.142,0.941,-0.23,1.0,2,0.291
225,0.01,0.142,0.939,-0.196,0.4,10,0.126
300,0.05,0.141,0.933,-0.193,1.0,2,0.432
350,0.0,0.141,0.935,-0.193,0.25,8,0.099
250,0.05,0.139,0.913,-0.193,1.0,2,0.465
350,0.03,0.139,0.917,-0.23,1.0,2,0.329
400,0.1,0.137,0.896,-0.228,,0,
100,0.1,0.136,0.888,-0.193,1.0,2,0.499
150,0.0,0.135,0.886,-0.198,0.357,28,0.037
200,0.05,0.131,0.849,-0.193,1.0,4,0.297
400,0.05,0.129,0.83,-0.23,1.0,2,0.268
350,0.05,0.126,0.805,-0.23,1.0,2,0.314
400,0.0,0.126,0.811,-0.248,0.25,8,0.065
400,0.01,0.125,0.798,-0.235,0.333,6,0.094
225,0.04,0.124,0.796,-0.193,1.0,4,0.292
150,0.04,0.124,0.789,-0.233,0.667,6,0.182
150,0.05,0.122,0.778,-0.233,0.667,6,0.178
200,0.1,0.12,0.76,-0.23,1.0,2,0.343
100,0.01,0.117,0.74,-0.22,0.545,22,0.045
300,0.1,0.116,0.733,-0.23,1.0,2,0.291
400,0.02,0.115,0.725,-0.258,0.5,4,0.135
225,0.1,0.115,0.719,-0.23,1.0,2,0.343
100,0.0,0.114,0.716,-0.235,0.348,46,0.019
100,0.02,0.114,0.714,-0.228,0.5,16,0.059
50,0.1,0.112,0.696,-0.205,0.5,4,0.169
250,0.1,0.112,0.702,-0.23,1.0,2,0.329
400,0.03,0.111,0.695,-0.258,0.5,4,0.123
150,0.01,0.107,0.661,-0.197,0.667,12,0.085
150,0.02,0.106,0.656,-0.198,0.667,12,0.074
100,0.05,0.103,0.631,-0.259,0.6,10,0.071
350,0.1,0.102,0.627,-0.228,1.0,2,0.237
100,0.04,0.095,0.575,-0.238,0.667,12,0.057
100,0.03,0.095,0.572,-0.223,0.667,12,0.078
50,0.04,0.081,0.473,-0.361,0.4,20,0.016
150,0.1,0.075,0.438,-0.324,0.5,4,0.086
50,0.05,0.036,0.192,-0.359,0.444,18,0.013
50,0.75,0.0,0.0,0.0,,0,
225,0.75,0.0,0.0,0.0,,0,
200,0.75,0.0,0.0,0.0,,0,
100,0.75,0.0,0.0,0.0,,0,
150,0.75,0.0,0.0,0.0,,0,
300,0.75,0.0,0.0,0.0,,0,
250,0.75,0.0,0.0,0.0,,0,
350,0.75,0.0,0.0,0.0,,0,
400,0.75,0.0,0.0,0.0,,0,
