vix_low,vix_high,cagr,total_return,max_drawdown,win_rate,n_trades
25,40,0.131,0.846,-0.333,0.508,63
25,35,0.128,0.821,-0.339,0.5,64
25,30,0.127,0.815,-0.364,0.487,76
25,28,0.117,0.735,-0.378,0.493,73
22,25,0.106,0.651,-0.333,0.505,99
22,40,0.105,0.643,-0.34,0.519,81
22,35,0.102,0.623,-0.345,0.518,83
22,30,0.102,0.624,-0.368,0.505,95
22,28,0.092,0.552,-0.382,0.5,96
20,25,0.09,0.536,-0.27,0.504,137
20,40,0.089,0.528,-0.278,0.523,111
20,30,0.087,0.513,-0.307,0.508,126
20,35,0.086,0.51,-0.284,0.522,113
15,25,0.084,0.495,-0.184,0.551,89
18,25,0.079,0.462,-0.22,0.531,130
18,40,0.078,0.458,-0.218,0.583,103
20,28,0.077,0.446,-0.322,0.504,127
15,35,0.077,0.451,-0.162,0.619,63
18,30,0.075,0.432,-0.265,0.534,118
18,35,0.075,0.436,-0.231,0.571,105
15,40,0.069,0.398,-0.167,0.623,61
18,28,0.065,0.368,-0.28,0.525,120
15,30,0.061,0.341,-0.216,0.539,76
15,28,0.048,0.262,-0.238,0.526,78
