target_vol,vol_window,max_leverage,cagr,total_return,max_drawdown,win_rate,n_trades
0.25,5,1.0,0.165,1.147,-0.289,,0
0.3,2,1.0,0.165,1.141,-0.342,,0
0.25,2,1.0,0.162,1.116,-0.333,,0
0.2,5,1.0,0.161,1.108,-0.256,,0
0.3,5,1.0,0.161,1.106,-0.315,,0
0.35,2,1.0,0.161,1.109,-0.354,,0
0.2,20,1.0,0.16,1.096,-0.272,,0
0.25,7,1.0,0.157,1.073,-0.314,,0
0.25,20,1.0,0.157,1.069,-0.316,,0
0.35,5,1.0,0.157,1.072,-0.323,,0
0.3,7,1.0,0.156,1.065,-0.327,,0
0.4,2,1.0,0.156,1.061,-0.363,,0
0.2,2,1.0,0.156,1.062,-0.296,,0
0.4,5,1.0,0.155,1.049,-0.33,,0
0.4,7,1.0,0.155,1.054,-0.341,,0
0.35,7,1.0,0.155,1.05,-0.337,,0
0.18,5,1.0,0.154,1.044,-0.239,,0
0.18,20,1.0,0.154,1.045,-0.248,,0
0.4,3,1.0,0.154,1.048,-0.341,,0
0.18,2,1.0,0.153,1.034,-0.279,,0
0.4,10,1.0,0.152,1.028,-0.34,,0
0.35,3,1.0,0.152,1.028,-0.345,,0
0.4,20,1.0,0.151,1.022,-0.352,,0
0.35,20,1.0,0.151,1.022,-0.349,,0
0.3,20,1.0,0.151,1.017,-0.341,,0
0.2,30,1.0,0.151,1.019,-0.268,,0
0.3,3,1.0,0.15,1.013,-0.344,,0
0.2,7,1.0,0.15,1.008,-0.272,,0
0.18,30,1.0,0.15,1.006,-0.245,,0
0.25,3,1.0,0.149,1.002,-0.332,,0
0.35,10,1.0,0.148,0.995,-0.343,,0
0.25,30,1.0,0.146,0.973,-0.317,,0
0.18,7,1.0,0.146,0.972,-0.247,,0
0.3,10,1.0,0.146,0.972,-0.344,,0
0.4,30,1.0,0.145,0.97,-0.349,,0
0.35,30,1.0,0.145,0.966,-0.344,,0
0.15,2,1.0,0.145,0.969,-0.253,,0
0.25,10,1.0,0.145,0.967,-0.332,,0
0.2,3,1.0,0.143,0.949,-0.288,,0
0.3,30,1.0,0.141,0.935,-0.342,,0
0.4,40,1.0,0.14,0.92,-0.352,,0
0.2,10,1.0,0.14,0.927,-0.292,,0
0.18,3,1.0,0.14,0.925,-0.264,,0
0.15,20,1.0,0.139,0.92,-0.213,,0
0.2,40,1.0,0.139,0.913,-0.273,,0
0.15,7,1.0,0.138,0.908,-0.213,,0
0.35,40,1.0,0.138,0.908,-0.347,,0
0.12,3,1.0,0.137,0.902,-0.171,,0
0.18,40,1.0,0.137,0.899,-0.251,,0
0.25,40,1.0,0.137,0.897,-0.321,,0
0.15,30,1.0,0.137,0.902,-0.211,,0
0.3,40,1.0,0.137,0.898,-0.344,,0
0.15,5,1.0,0.136,0.887,-0.212,,0
0.15,3,1.0,0.135,0.883,-0.218,,0
0.18,10,1.0,0.135,0.885,-0.268,,0
0.1,3,1.0,0.134,0.871,-0.141,,0
0.12,2,1.0,0.134,0.876,-0.233,,0
0.4,60,1.0,0.13,0.839,-0.351,,0
0.15,10,1.0,0.129,0.834,-0.226,,0
0.15,40,1.0,0.127,0.82,-0.216,,0
0.35,60,1.0,0.125,0.799,-0.354,,0
0.1,2,1.0,0.124,0.789,-0.215,,0
0.3,60,1.0,0.123,0.782,-0.35,,0
0.25,60,1.0,0.121,0.768,-0.321,,0
0.2,60,1.0,0.12,0.758,-0.282,,0
0.12,7,1.0,0.119,0.753,-0.179,,0
0.12,20,1.0,0.119,0.756,-0.177,,0
0.18,60,1.0,0.118,0.742,-0.261,,0
0.12,5,1.0,0.116,0.732,-0.175,,0
0.12,10,1.0,0.116,0.73,-0.188,,0
0.12,30,1.0,0.115,0.725,-0.175,,0
0.15,60,1.0,0.106,0.652,-0.224,,0
0.12,40,1.0,0.105,0.647,-0.177,,0
0.1,20,1.0,0.102,0.626,-0.15,,0
0.1,7,1.0,0.1,0.612,-0.152,,0
0.1,5,1.0,0.098,0.597,-0.148,,0
0.1,10,1.0,0.097,0.586,-0.159,,0
0.1,30,1.0,0.095,0.575,-0.148,,0
0.12,60,1.0,0.088,0.525,-0.183,,0
0.1,40,1.0,0.087,0.517,-0.149,,0
0.1,60,1.0,0.074,0.425,-0.154,,0
